40,Color [A=255, R=255, G=206, B=31]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
180000,Color [A=255, R=255, G=255, B=255]
180040,Color [A=255, R=0, G=0, B=0]
225880,Color [A=255, R=255, G=255, B=255]
225920,Color [A=255, R=0, G=0, B=0]
234200,Color [A=255, R=255, G=255, B=255]
234240,Color [A=255, R=0, G=0, B=0]
247880,Color [A=255, R=255, G=255, B=255]
247920,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
297720,Color [A=255, R=255, G=255, B=255]
297760,Color [A=255, R=0, G=0, B=0]
322760,Color [A=255, R=255, G=255, B=255]
322800,Color [A=255, R=0, G=0, B=0]
336200,Color [A=255, R=255, G=255, B=255]
336240,Color [A=255, R=0, G=0, B=0]
383760,Color [A=255, R=255, G=255, B=255]
383800,Color [A=255, R=0, G=0, B=0]
388520,Color [A=255, R=255, G=255, B=255]
388560,Color [A=255, R=0, G=0, B=0]
399360,Color [A=255, R=255, G=255, B=255]
399400,Color [A=255, R=0, G=0, B=0]
414120,Color [A=255, R=255, G=255, B=255]
414160,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
485960,Color [A=255, R=255, G=255, B=255]
486000,Color [A=255, R=0, G=0, B=0]
513360,Color [A=255, R=255, G=255, B=255]
513400,Color [A=255, R=0, G=0, B=0]
568360,Color [A=255, R=255, G=255, B=255]
568400,Color [A=255, R=0, G=0, B=0]
604360,Color [A=255, R=255, G=255, B=255]
604400,Color [A=255, R=0, G=0, B=0]
622240,Color [A=255, R=255, G=255, B=255]
622280,Color [A=255, R=0, G=0, B=0]
646920,Color [A=255, R=255, G=255, B=255]
646960,Color [A=255, R=0, G=0, B=0]
674520,Color [A=255, R=255, G=255, B=255]
674560,Color [A=255, R=0, G=0, B=0]
677120,Color [A=255, R=255, G=255, B=255]
677160,Color [A=255, R=0, G=0, B=0]
727440,Color [A=255, R=255, G=255, B=255]
727480,Color [A=255, R=0, G=0, B=0]
727720,Color [A=255, R=255, G=255, B=255]
727760,Color [A=255, R=0, G=0, B=0]
