40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
413600,Color [A=255, R=255, G=255, B=255]
413640,Color [A=255, R=0, G=0, B=0]
479160,Color [A=255, R=255, G=255, B=255]
544680,Color [A=255, R=255, G=255, B=255]
584760,Color [A=255, R=255, G=255, B=255]
584800,Color [A=255, R=0, G=0, B=0]
650320,Color [A=255, R=255, G=255, B=255]
715840,Color [A=255, R=255, G=255, B=255]
781360,Color [A=255, R=255, G=255, B=255]
846880,Color [A=255, R=255, G=255, B=255]
912400,Color [A=255, R=255, G=255, B=255]
977920,Color [A=255, R=255, G=255, B=255]
1043440,Color [A=255, R=255, G=255, B=255]
1108960,Color [A=255, R=255, G=255, B=255]
1174480,Color [A=255, R=255, G=255, B=255]
1240000,Color [A=255, R=255, G=255, B=255]
1305520,Color [A=255, R=255, G=255, B=255]
1371040,Color [A=255, R=255, G=255, B=255]
1436560,Color [A=255, R=255, G=255, B=255]
1438200,Color [A=255, R=255, G=255, B=255]
1438240,Color [A=255, R=0, G=0, B=0]
1440880,Color [A=255, R=255, G=255, B=255]
1440920,Color [A=255, R=0, G=0, B=0]
1443320,Color [A=255, R=255, G=255, B=255]
1443360,Color [A=255, R=0, G=0, B=0]
1490120,Color [A=255, R=255, G=255, B=255]
1490160,Color [A=255, R=0, G=0, B=0]
1492520,Color [A=255, R=255, G=255, B=255]
1492560,Color [A=255, R=0, G=0, B=0]
1496000,Color [A=255, R=255, G=255, B=255]
1496040,Color [A=255, R=0, G=0, B=0]
1496720,Color [A=255, R=255, G=255, B=255]
1496760,Color [A=255, R=0, G=0, B=0]
1499000,Color [A=255, R=255, G=255, B=255]
1499040,Color [A=255, R=0, G=0, B=0]
1528600,Color [A=255, R=255, G=255, B=255]
1528640,Color [A=255, R=0, G=0, B=0]
1544000,Color [A=255, R=255, G=255, B=255]
1544040,Color [A=255, R=0, G=0, B=0]
1547600,Color [A=255, R=255, G=255, B=255]
1547640,Color [A=255, R=0, G=0, B=0]
1555240,Color [A=255, R=255, G=255, B=255]
1555280,Color [A=255, R=0, G=0, B=0]
1620800,Color [A=255, R=255, G=255, B=255]
1686320,Color [A=255, R=255, G=255, B=255]
1751840,Color [A=255, R=255, G=255, B=255]
1786520,Color [A=255, R=255, G=255, B=255]
1786560,Color [A=255, R=0, G=0, B=0]
1788160,Color [A=255, R=255, G=255, B=255]
1788200,Color [A=255, R=0, G=0, B=0]
1796720,Color [A=255, R=255, G=255, B=255]
1796760,Color [A=255, R=0, G=0, B=0]
1862280,Color [A=255, R=255, G=255, B=255]
1927800,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
