40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
655240,Color [A=255, R=255, G=255, B=255]
720760,Color [A=255, R=255, G=255, B=255]
786280,Color [A=255, R=255, G=255, B=255]
851800,Color [A=255, R=255, G=255, B=255]
917320,Color [A=255, R=255, G=255, B=255]
982840,Color [A=255, R=255, G=255, B=255]
1048360,Color [A=255, R=255, G=255, B=255]
1113880,Color [A=255, R=255, G=255, B=255]
1179400,Color [A=255, R=255, G=255, B=255]
1181800,Color [A=255, R=255, G=255, B=255]
1181840,Color [A=255, R=0, G=0, B=0]
1247360,Color [A=255, R=255, G=255, B=255]
1312880,Color [A=255, R=255, G=255, B=255]
1378400,Color [A=255, R=255, G=255, B=255]
1443920,Color [A=255, R=255, G=255, B=255]
1509440,Color [A=255, R=255, G=255, B=255]
1574960,Color [A=255, R=255, G=255, B=255]
1640480,Color [A=255, R=255, G=255, B=255]
1706000,Color [A=255, R=255, G=255, B=255]
1771520,Color [A=255, R=255, G=255, B=255]
1837040,Color [A=255, R=255, G=255, B=255]
1902560,Color [A=255, R=255, G=255, B=255]
1968080,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
