40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
39640,Color [A=255, R=255, G=255, B=255]
39680,Color [A=255, R=0, G=0, B=0]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
67720,Color [A=255, R=255, G=255, B=255]
67760,Color [A=255, R=0, G=0, B=0]
68440,Color [A=255, R=255, G=255, B=255]
68480,Color [A=255, R=0, G=0, B=0]
69320,Color [A=255, R=255, G=255, B=255]
69360,Color [A=255, R=0, G=0, B=0]
88560,Color [A=255, R=255, G=255, B=255]
88600,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
120080,Color [A=255, R=255, G=255, B=255]
120120,Color [A=255, R=0, G=0, B=0]
126680,Color [A=255, R=255, G=255, B=255]
126720,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
136920,Color [A=255, R=255, G=255, B=255]
136960,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
160920,Color [A=255, R=255, G=255, B=255]
160960,Color [A=255, R=0, G=0, B=0]
179880,Color [A=255, R=255, G=255, B=255]
179920,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
198960,Color [A=255, R=255, G=255, B=255]
199000,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
203480,Color [A=255, R=255, G=255, B=255]
203520,Color [A=255, R=0, G=0, B=0]
204920,Color [A=255, R=255, G=255, B=255]
204960,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
208280,Color [A=255, R=255, G=255, B=255]
208320,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
219880,Color [A=255, R=255, G=255, B=255]
219920,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
228840,Color [A=255, R=255, G=255, B=255]
228880,Color [A=255, R=0, G=0, B=0]
231040,Color [A=255, R=255, G=255, B=255]
231080,Color [A=255, R=0, G=0, B=0]
237680,Color [A=255, R=255, G=255, B=255]
237720,Color [A=255, R=0, G=0, B=0]
238080,Color [A=255, R=255, G=255, B=255]
238120,Color [A=255, R=0, G=0, B=0]
238880,Color [A=255, R=255, G=255, B=255]
238920,Color [A=255, R=0, G=0, B=0]
239960,Color [A=255, R=255, G=255, B=255]
240000,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
250120,Color [A=255, R=255, G=255, B=255]
250160,Color [A=255, R=0, G=0, B=0]
251640,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
252840,Color [A=255, R=255, G=255, B=255]
252880,Color [A=255, R=0, G=0, B=0]
305240,Color [A=255, R=255, G=255, B=255]
305280,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
337040,Color [A=255, R=255, G=255, B=255]
337080,Color [A=255, R=0, G=0, B=0]
372120,Color [A=255, R=255, G=255, B=255]
372160,Color [A=255, R=0, G=0, B=0]
396120,Color [A=255, R=255, G=255, B=255]
396160,Color [A=255, R=0, G=0, B=0]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
415960,Color [A=255, R=255, G=255, B=255]
416000,Color [A=255, R=0, G=0, B=0]
431440,Color [A=255, R=255, G=255, B=255]
431480,Color [A=255, R=0, G=0, B=0]
431840,Color [A=255, R=255, G=255, B=255]
431880,Color [A=255, R=0, G=0, B=0]
441040,Color [A=255, R=255, G=255, B=255]
441080,Color [A=255, R=0, G=0, B=0]
443040,Color [A=255, R=255, G=255, B=255]
443080,Color [A=255, R=0, G=0, B=0]
491880,Color [A=255, R=255, G=255, B=255]
491920,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
514920,Color [A=255, R=255, G=255, B=255]
514960,Color [A=255, R=0, G=0, B=0]
522680,Color [A=255, R=255, G=255, B=255]
522720,Color [A=255, R=0, G=0, B=0]
538440,Color [A=255, R=255, G=255, B=255]
538480,Color [A=255, R=0, G=0, B=0]
547680,Color [A=255, R=255, G=255, B=255]
547720,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
554480,Color [A=255, R=255, G=255, B=255]
554520,Color [A=255, R=0, G=0, B=0]
556800,Color [A=255, R=255, G=255, B=255]
556840,Color [A=255, R=0, G=0, B=0]
559280,Color [A=255, R=255, G=255, B=255]
559320,Color [A=255, R=0, G=0, B=0]
561840,Color [A=255, R=255, G=255, B=255]
561880,Color [A=255, R=0, G=0, B=0]
567360,Color [A=255, R=255, G=255, B=255]
567400,Color [A=255, R=0, G=0, B=0]
574640,Color [A=255, R=255, G=255, B=255]
574680,Color [A=255, R=0, G=0, B=0]
589600,Color [A=255, R=255, G=255, B=255]
589640,Color [A=255, R=0, G=0, B=0]
598360,Color [A=255, R=255, G=255, B=255]
598400,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
612200,Color [A=255, R=255, G=255, B=255]
612240,Color [A=255, R=0, G=0, B=0]
617560,Color [A=255, R=255, G=255, B=255]
617600,Color [A=255, R=0, G=0, B=0]
619520,Color [A=255, R=255, G=255, B=255]
619560,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
652440,Color [A=255, R=255, G=255, B=255]
652480,Color [A=255, R=0, G=0, B=0]
653240,Color [A=255, R=255, G=255, B=255]
653280,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
704160,Color [A=255, R=255, G=255, B=255]
704200,Color [A=255, R=0, G=0, B=0]
704600,Color [A=255, R=255, G=255, B=255]
704640,Color [A=255, R=0, G=0, B=0]
704720,Color [A=255, R=255, G=255, B=255]
704760,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
719400,Color [A=255, R=255, G=255, B=255]
719440,Color [A=255, R=0, G=0, B=0]
719720,Color [A=255, R=255, G=255, B=255]
719760,Color [A=255, R=0, G=0, B=0]
719840,Color [A=255, R=255, G=255, B=255]
719880,Color [A=255, R=0, G=0, B=0]
724640,Color [A=255, R=255, G=255, B=255]
724680,Color [A=255, R=0, G=0, B=0]
725920,Color [A=255, R=255, G=255, B=255]
725960,Color [A=255, R=0, G=0, B=0]
728520,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
730000,Color [A=255, R=255, G=255, B=255]
730040,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
732600,Color [A=255, R=255, G=255, B=255]
732640,Color [A=255, R=0, G=0, B=0]
753240,Color [A=255, R=255, G=255, B=255]
753280,Color [A=255, R=0, G=0, B=0]
760680,Color [A=255, R=255, G=255, B=255]
760720,Color [A=255, R=0, G=0, B=0]
767720,Color [A=255, R=255, G=255, B=255]
767760,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
793080,Color [A=255, R=255, G=255, B=255]
793120,Color [A=255, R=0, G=0, B=0]
848200,Color [A=255, R=255, G=255, B=255]
848240,Color [A=255, R=0, G=0, B=0]
852360,Color [A=255, R=255, G=255, B=255]
852400,Color [A=255, R=0, G=0, B=0]
852680,Color [A=255, R=255, G=255, B=255]
852720,Color [A=255, R=0, G=0, B=0]
853120,Color [A=255, R=255, G=255, B=255]
853160,Color [A=255, R=0, G=0, B=0]
854720,Color [A=255, R=255, G=255, B=255]
854760,Color [A=255, R=0, G=0, B=0]
854960,Color [A=255, R=255, G=255, B=255]
855000,Color [A=255, R=0, G=0, B=0]
855160,Color [A=255, R=255, G=255, B=255]
855200,Color [A=255, R=0, G=0, B=0]
860240,Color [A=255, R=255, G=255, B=255]
860280,Color [A=255, R=0, G=0, B=0]
862680,Color [A=255, R=255, G=255, B=255]
862720,Color [A=255, R=0, G=0, B=0]
872000,Color [A=255, R=255, G=255, B=255]
872040,Color [A=255, R=0, G=0, B=0]
879960,Color [A=255, R=255, G=255, B=255]
880000,Color [A=255, R=0, G=0, B=0]
881160,Color [A=255, R=255, G=255, B=255]
881200,Color [A=255, R=0, G=0, B=0]
881240,Color [A=255, R=255, G=255, B=255]
881280,Color [A=255, R=0, G=0, B=0]
881720,Color [A=255, R=255, G=255, B=255]
881760,Color [A=255, R=0, G=0, B=0]
881800,Color [A=255, R=255, G=255, B=255]
881840,Color [A=255, R=0, G=0, B=0]
882000,Color [A=255, R=255, G=255, B=255]
882040,Color [A=255, R=0, G=0, B=0]
882520,Color [A=255, R=255, G=255, B=255]
882560,Color [A=255, R=0, G=0, B=0]
882640,Color [A=255, R=255, G=255, B=255]
882680,Color [A=255, R=0, G=0, B=0]
882760,Color [A=255, R=255, G=255, B=255]
882800,Color [A=255, R=0, G=0, B=0]
883400,Color [A=255, R=255, G=255, B=255]
883440,Color [A=255, R=0, G=0, B=0]
883520,Color [A=255, R=255, G=255, B=255]
883560,Color [A=255, R=0, G=0, B=0]
883720,Color [A=255, R=255, G=255, B=255]
883760,Color [A=255, R=0, G=0, B=0]
883800,Color [A=255, R=255, G=255, B=255]
883840,Color [A=255, R=0, G=0, B=0]
887400,Color [A=255, R=255, G=255, B=255]
887440,Color [A=255, R=0, G=0, B=0]
887840,Color [A=255, R=255, G=255, B=255]
887880,Color [A=255, R=0, G=0, B=0]
888840,Color [A=255, R=255, G=255, B=255]
888880,Color [A=255, R=0, G=0, B=0]
889400,Color [A=255, R=255, G=255, B=255]
889440,Color [A=255, R=0, G=0, B=0]
891960,Color [A=255, R=255, G=255, B=255]
892000,Color [A=255, R=0, G=0, B=0]
892520,Color [A=255, R=255, G=255, B=255]
892560,Color [A=255, R=0, G=0, B=0]
893960,Color [A=255, R=255, G=255, B=255]
894000,Color [A=255, R=0, G=0, B=0]
896600,Color [A=255, R=255, G=255, B=255]
896640,Color [A=255, R=0, G=0, B=0]
896960,Color [A=255, R=255, G=255, B=255]
897000,Color [A=255, R=0, G=0, B=0]
897240,Color [A=255, R=255, G=255, B=255]
897280,Color [A=255, R=0, G=0, B=0]
897920,Color [A=255, R=255, G=255, B=255]
897960,Color [A=255, R=0, G=0, B=0]
903280,Color [A=255, R=255, G=255, B=255]
903320,Color [A=255, R=0, G=0, B=0]
903920,Color [A=255, R=255, G=255, B=255]
903960,Color [A=255, R=0, G=0, B=0]
904280,Color [A=255, R=255, G=255, B=255]
904320,Color [A=255, R=0, G=0, B=0]
904360,Color [A=255, R=255, G=255, B=255]
904400,Color [A=255, R=0, G=0, B=0]
907480,Color [A=255, R=255, G=255, B=255]
907520,Color [A=255, R=0, G=0, B=0]
908640,Color [A=255, R=255, G=255, B=255]
908680,Color [A=255, R=0, G=0, B=0]
911000,Color [A=255, R=255, G=255, B=255]
911040,Color [A=255, R=0, G=0, B=0]
911320,Color [A=255, R=255, G=255, B=255]
911360,Color [A=255, R=0, G=0, B=0]
913440,Color [A=255, R=255, G=255, B=255]
913480,Color [A=255, R=0, G=0, B=0]
919760,Color [A=255, R=255, G=255, B=255]
919800,Color [A=255, R=0, G=0, B=0]
921480,Color [A=255, R=255, G=255, B=255]
921520,Color [A=255, R=0, G=0, B=0]
927160,Color [A=255, R=255, G=255, B=255]
927200,Color [A=255, R=0, G=0, B=0]
927480,Color [A=255, R=255, G=255, B=255]
927520,Color [A=255, R=0, G=0, B=0]
927800,Color [A=255, R=255, G=255, B=255]
927840,Color [A=255, R=0, G=0, B=0]
927880,Color [A=255, R=255, G=255, B=255]
927920,Color [A=255, R=0, G=0, B=0]
930400,Color [A=255, R=255, G=255, B=255]
930440,Color [A=255, R=0, G=0, B=0]
931680,Color [A=255, R=255, G=255, B=255]
931720,Color [A=255, R=0, G=0, B=0]
932240,Color [A=255, R=255, G=255, B=255]
932280,Color [A=255, R=0, G=0, B=0]
932880,Color [A=255, R=255, G=255, B=255]
932920,Color [A=255, R=0, G=0, B=0]
