40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
800,Color [A=255, R=255, G=255, B=255]
840,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5560,Color [A=255, R=255, G=255, B=255]
5600,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
11400,Color [A=255, R=255, G=255, B=255]
11440,Color [A=255, R=0, G=0, B=0]
12280,Color [A=255, R=255, G=255, B=255]
12320,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
22120,Color [A=255, R=255, G=255, B=255]
22160,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25720,Color [A=255, R=255, G=255, B=255]
25760,Color [A=255, R=0, G=0, B=0]
35000,Color [A=255, R=255, G=255, B=255]
35040,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
41760,Color [A=255, R=255, G=255, B=255]
41800,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51400,Color [A=255, R=0, G=0, B=0]
51560,Color [A=255, R=255, G=255, B=255]
51600,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
74160,Color [A=255, R=255, G=255, B=255]
74200,Color [A=255, R=0, G=0, B=0]
75720,Color [A=255, R=255, G=255, B=255]
75760,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
80120,Color [A=255, R=255, G=255, B=255]
80160,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
81920,Color [A=255, R=0, G=0, B=0]
89920,Color [A=255, R=255, G=255, B=255]
89960,Color [A=255, R=0, G=0, B=0]
101680,Color [A=255, R=255, G=255, B=255]
101720,Color [A=255, R=0, G=0, B=0]
103560,Color [A=255, R=255, G=255, B=255]
103600,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
118840,Color [A=255, R=255, G=255, B=255]
118880,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
120600,Color [A=255, R=255, G=255, B=255]
120640,Color [A=255, R=0, G=0, B=0]
124440,Color [A=255, R=255, G=255, B=255]
124480,Color [A=255, R=0, G=0, B=0]
128160,Color [A=255, R=255, G=255, B=255]
128200,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
134800,Color [A=255, R=255, G=255, B=255]
134840,Color [A=255, R=0, G=0, B=0]
137080,Color [A=255, R=255, G=255, B=255]
137120,Color [A=255, R=0, G=0, B=0]
137320,Color [A=255, R=255, G=255, B=255]
137360,Color [A=255, R=0, G=0, B=0]
138600,Color [A=255, R=255, G=255, B=255]
138640,Color [A=255, R=0, G=0, B=0]
139000,Color [A=255, R=255, G=255, B=255]
139040,Color [A=255, R=0, G=0, B=0]
145040,Color [A=255, R=255, G=255, B=255]
145080,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
157080,Color [A=255, R=255, G=255, B=255]
157120,Color [A=255, R=0, G=0, B=0]
162880,Color [A=255, R=255, G=255, B=255]
162920,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
164600,Color [A=255, R=255, G=255, B=255]
164640,Color [A=255, R=0, G=0, B=0]
165400,Color [A=255, R=255, G=255, B=255]
165440,Color [A=255, R=0, G=0, B=0]
166280,Color [A=255, R=255, G=255, B=255]
166320,Color [A=255, R=0, G=0, B=0]
169320,Color [A=255, R=255, G=255, B=255]
169360,Color [A=255, R=0, G=0, B=0]
171680,Color [A=255, R=255, G=255, B=255]
171720,Color [A=255, R=0, G=0, B=0]
174360,Color [A=255, R=255, G=255, B=255]
174400,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
177520,Color [A=255, R=255, G=255, B=255]
177560,Color [A=255, R=0, G=0, B=0]
178040,Color [A=255, R=255, G=255, B=255]
178080,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179800,Color [A=255, R=0, G=0, B=0]
189720,Color [A=255, R=255, G=255, B=255]
189760,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
190760,Color [A=255, R=255, G=255, B=255]
190800,Color [A=255, R=0, G=0, B=0]
193160,Color [A=255, R=255, G=255, B=255]
193200,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195360,Color [A=255, R=0, G=0, B=0]
195760,Color [A=255, R=255, G=255, B=255]
195800,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
199800,Color [A=255, R=255, G=255, B=255]
199840,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204040,Color [A=255, R=255, G=255, B=255]
204080,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
213000,Color [A=255, R=255, G=255, B=255]
213040,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
220080,Color [A=255, R=255, G=255, B=255]
220120,Color [A=255, R=0, G=0, B=0]
220720,Color [A=255, R=255, G=255, B=255]
220760,Color [A=255, R=0, G=0, B=0]
221520,Color [A=255, R=255, G=255, B=255]
221560,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
231120,Color [A=255, R=255, G=255, B=255]
231160,Color [A=255, R=0, G=0, B=0]
234480,Color [A=255, R=255, G=255, B=255]
234520,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
235920,Color [A=255, R=255, G=255, B=255]
235960,Color [A=255, R=0, G=0, B=0]
239520,Color [A=255, R=255, G=255, B=255]
239560,Color [A=255, R=0, G=0, B=0]
239920,Color [A=255, R=255, G=255, B=255]
239960,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
251840,Color [A=255, R=255, G=255, B=255]
251880,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
254000,Color [A=255, R=255, G=255, B=255]
254040,Color [A=255, R=0, G=0, B=0]
259160,Color [A=255, R=255, G=255, B=255]
259200,Color [A=255, R=0, G=0, B=0]
261360,Color [A=255, R=255, G=255, B=255]
261400,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
267600,Color [A=255, R=255, G=255, B=255]
267640,Color [A=255, R=0, G=0, B=0]
275080,Color [A=255, R=255, G=255, B=255]
275120,Color [A=255, R=0, G=0, B=0]
280600,Color [A=255, R=255, G=255, B=255]
280640,Color [A=255, R=0, G=0, B=0]
285640,Color [A=255, R=255, G=255, B=255]
285680,Color [A=255, R=0, G=0, B=0]
288000,Color [A=255, R=255, G=255, B=255]
288040,Color [A=255, R=0, G=0, B=0]
291320,Color [A=255, R=255, G=255, B=255]
291360,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
292560,Color [A=255, R=255, G=255, B=255]
292600,Color [A=255, R=0, G=0, B=0]
299200,Color [A=255, R=255, G=255, B=255]
299240,Color [A=255, R=0, G=0, B=0]
304720,Color [A=255, R=255, G=255, B=255]
304760,Color [A=255, R=0, G=0, B=0]
307240,Color [A=255, R=255, G=255, B=255]
307280,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
326440,Color [A=255, R=255, G=255, B=255]
326480,Color [A=255, R=0, G=0, B=0]
328880,Color [A=255, R=255, G=255, B=255]
328920,Color [A=255, R=0, G=0, B=0]
338920,Color [A=255, R=255, G=255, B=255]
338960,Color [A=255, R=0, G=0, B=0]
341000,Color [A=255, R=255, G=255, B=255]
341040,Color [A=255, R=0, G=0, B=0]
343760,Color [A=255, R=255, G=255, B=255]
343800,Color [A=255, R=0, G=0, B=0]
349080,Color [A=255, R=255, G=255, B=255]
349120,Color [A=255, R=0, G=0, B=0]
