40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
179640,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195320,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
326440,Color [A=255, R=255, G=255, B=255]
326480,Color [A=255, R=0, G=0, B=0]
392000,Color [A=255, R=255, G=255, B=255]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
414040,Color [A=255, R=255, G=255, B=255]
414080,Color [A=255, R=0, G=0, B=0]
440440,Color [A=255, R=255, G=255, B=255]
440480,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
504480,Color [A=255, R=255, G=255, B=255]
504520,Color [A=255, R=0, G=0, B=0]
504640,Color [A=255, R=255, G=255, B=255]
504680,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
598240,Color [A=255, R=255, G=255, B=255]
598280,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
612080,Color [A=255, R=255, G=255, B=255]
612120,Color [A=255, R=0, G=0, B=0]
619400,Color [A=255, R=255, G=255, B=255]
619440,Color [A=255, R=0, G=0, B=0]
636120,Color [A=255, R=255, G=255, B=255]
636160,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
638920,Color [A=255, R=255, G=255, B=255]
638960,Color [A=255, R=0, G=0, B=0]
649800,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
660480,Color [A=255, R=255, G=255, B=255]
660520,Color [A=255, R=0, G=0, B=0]
703600,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
705200,Color [A=255, R=255, G=255, B=255]
705240,Color [A=255, R=0, G=0, B=0]
706440,Color [A=255, R=255, G=255, B=255]
706480,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
727440,Color [A=255, R=255, G=255, B=255]
727480,Color [A=255, R=0, G=0, B=0]
728480,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
731880,Color [A=255, R=255, G=255, B=255]
731920,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
767080,Color [A=255, R=255, G=255, B=255]
767120,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
790120,Color [A=255, R=255, G=255, B=255]
790160,Color [A=255, R=0, G=0, B=0]
806360,Color [A=255, R=255, G=255, B=255]
806400,Color [A=255, R=0, G=0, B=0]
815200,Color [A=255, R=255, G=255, B=255]
815240,Color [A=255, R=0, G=0, B=0]
833120,Color [A=255, R=255, G=255, B=255]
833160,Color [A=255, R=0, G=0, B=0]
843400,Color [A=255, R=255, G=255, B=255]
843440,Color [A=255, R=0, G=0, B=0]
848200,Color [A=255, R=255, G=255, B=255]
848240,Color [A=255, R=0, G=0, B=0]
852480,Color [A=255, R=255, G=255, B=255]
852520,Color [A=255, R=0, G=0, B=0]
852680,Color [A=255, R=255, G=255, B=255]
852720,Color [A=255, R=0, G=0, B=0]
855720,Color [A=255, R=255, G=255, B=255]
855760,Color [A=255, R=0, G=0, B=0]
862680,Color [A=255, R=255, G=255, B=255]
862720,Color [A=255, R=0, G=0, B=0]
872000,Color [A=255, R=255, G=255, B=255]
872040,Color [A=255, R=0, G=0, B=0]
881160,Color [A=255, R=255, G=255, B=255]
881200,Color [A=255, R=0, G=0, B=0]
881720,Color [A=255, R=255, G=255, B=255]
881760,Color [A=255, R=0, G=0, B=0]
882000,Color [A=255, R=255, G=255, B=255]
882040,Color [A=255, R=0, G=0, B=0]
882400,Color [A=255, R=255, G=255, B=255]
882440,Color [A=255, R=0, G=0, B=0]
882520,Color [A=255, R=255, G=255, B=255]
882560,Color [A=255, R=0, G=0, B=0]
882640,Color [A=255, R=255, G=255, B=255]
882680,Color [A=255, R=0, G=0, B=0]
882880,Color [A=255, R=255, G=255, B=255]
882920,Color [A=255, R=0, G=0, B=0]
883080,Color [A=255, R=255, G=255, B=255]
883120,Color [A=255, R=0, G=0, B=0]
883400,Color [A=255, R=255, G=255, B=255]
883440,Color [A=255, R=0, G=0, B=0]
887400,Color [A=255, R=255, G=255, B=255]
887440,Color [A=255, R=0, G=0, B=0]
896960,Color [A=255, R=255, G=255, B=255]
897000,Color [A=255, R=0, G=0, B=0]
911000,Color [A=255, R=255, G=255, B=255]
911040,Color [A=255, R=0, G=0, B=0]
911320,Color [A=255, R=255, G=255, B=255]
911360,Color [A=255, R=0, G=0, B=0]
921480,Color [A=255, R=255, G=255, B=255]
921520,Color [A=255, R=0, G=0, B=0]
927160,Color [A=255, R=255, G=255, B=255]
927200,Color [A=255, R=0, G=0, B=0]
927480,Color [A=255, R=255, G=255, B=255]
927520,Color [A=255, R=0, G=0, B=0]
930040,Color [A=255, R=255, G=255, B=255]
930080,Color [A=255, R=0, G=0, B=0]
930400,Color [A=255, R=255, G=255, B=255]
930440,Color [A=255, R=0, G=0, B=0]
933560,Color [A=255, R=255, G=255, B=255]
933600,Color [A=255, R=0, G=0, B=0]
933720,Color [A=255, R=255, G=255, B=255]
933760,Color [A=255, R=0, G=0, B=0]
934080,Color [A=255, R=255, G=255, B=255]
934120,Color [A=255, R=0, G=0, B=0]
944080,Color [A=255, R=255, G=255, B=255]
944120,Color [A=255, R=0, G=0, B=0]
944400,Color [A=255, R=255, G=255, B=255]
944440,Color [A=255, R=0, G=0, B=0]
992840,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
1001720,Color [A=255, R=255, G=255, B=255]
1001760,Color [A=255, R=0, G=0, B=0]
1020000,Color [A=255, R=255, G=255, B=255]
1020040,Color [A=255, R=0, G=0, B=0]
1027120,Color [A=255, R=255, G=255, B=255]
1027160,Color [A=255, R=0, G=0, B=0]
1046840,Color [A=255, R=255, G=255, B=255]
1046880,Color [A=255, R=0, G=0, B=0]
1080760,Color [A=255, R=255, G=255, B=255]
1080800,Color [A=255, R=0, G=0, B=0]
1084920,Color [A=255, R=255, G=255, B=255]
1084960,Color [A=255, R=0, G=0, B=0]
1104320,Color [A=255, R=255, G=255, B=255]
1104360,Color [A=255, R=0, G=0, B=0]
1107920,Color [A=255, R=255, G=255, B=255]
1107960,Color [A=255, R=0, G=0, B=0]
1120520,Color [A=255, R=255, G=255, B=255]
1120560,Color [A=255, R=0, G=0, B=0]
1121520,Color [A=255, R=255, G=255, B=255]
1121560,Color [A=255, R=0, G=0, B=0]
1122440,Color [A=255, R=255, G=255, B=255]
1122480,Color [A=255, R=0, G=0, B=0]
1155680,Color [A=255, R=255, G=255, B=255]
1155720,Color [A=255, R=0, G=0, B=0]
1156000,Color [A=255, R=255, G=255, B=255]
1156040,Color [A=255, R=0, G=0, B=0]
1163240,Color [A=255, R=255, G=255, B=255]
1163280,Color [A=255, R=0, G=0, B=0]
1169720,Color [A=255, R=255, G=255, B=255]
1169760,Color [A=255, R=0, G=0, B=0]
1198240,Color [A=255, R=255, G=255, B=255]
1198280,Color [A=255, R=0, G=0, B=0]
1213560,Color [A=255, R=255, G=255, B=255]
1213600,Color [A=255, R=0, G=0, B=0]
1213920,Color [A=255, R=255, G=255, B=255]
1213960,Color [A=255, R=0, G=0, B=0]
1217160,Color [A=255, R=255, G=255, B=255]
1217200,Color [A=255, R=0, G=0, B=0]
1226720,Color [A=255, R=255, G=255, B=255]
1226760,Color [A=255, R=0, G=0, B=0]
1237080,Color [A=255, R=255, G=255, B=255]
1237120,Color [A=255, R=0, G=0, B=0]
1248720,Color [A=255, R=255, G=255, B=255]
1248760,Color [A=255, R=0, G=0, B=0]
1249840,Color [A=255, R=255, G=255, B=255]
1249880,Color [A=255, R=0, G=0, B=0]
1253440,Color [A=255, R=255, G=255, B=255]
1253480,Color [A=255, R=0, G=0, B=0]
1274400,Color [A=255, R=255, G=255, B=255]
1274440,Color [A=255, R=0, G=0, B=0]
1281640,Color [A=255, R=255, G=255, B=255]
1281720,Color [A=255, R=0, G=0, B=0]
1291080,Color [A=255, R=255, G=255, B=255]
1291120,Color [A=255, R=0, G=0, B=0]
1291400,Color [A=255, R=255, G=255, B=255]
1291440,Color [A=255, R=0, G=0, B=0]
1293160,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1303320,Color [A=255, R=255, G=255, B=255]
1303360,Color [A=255, R=0, G=0, B=0]
1304280,Color [A=255, R=255, G=255, B=255]
1304320,Color [A=255, R=0, G=0, B=0]
1342680,Color [A=255, R=255, G=255, B=255]
1342760,Color [A=255, R=0, G=0, B=0]
