40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
655240,Color [A=255, R=255, G=255, B=255]
703840,Color [A=255, R=255, G=255, B=255]
703880,Color [A=255, R=0, G=0, B=0]
704360,Color [A=255, R=255, G=255, B=255]
704400,Color [A=255, R=0, G=0, B=0]
769920,Color [A=255, R=255, G=255, B=255]
835440,Color [A=255, R=255, G=255, B=255]
900960,Color [A=255, R=255, G=255, B=255]
966480,Color [A=255, R=255, G=255, B=255]
1032000,Color [A=255, R=255, G=255, B=255]
1097520,Color [A=255, R=255, G=255, B=255]
1163040,Color [A=255, R=255, G=255, B=255]
1228560,Color [A=255, R=255, G=255, B=255]
1293400,Color [A=255, R=255, G=255, B=255]
1293440,Color [A=255, R=0, G=0, B=0]
1293880,Color [A=255, R=255, G=255, B=255]
1293920,Color [A=255, R=0, G=0, B=0]
1359440,Color [A=255, R=255, G=255, B=255]
1424960,Color [A=255, R=255, G=255, B=255]
1490480,Color [A=255, R=255, G=255, B=255]
1556000,Color [A=255, R=255, G=255, B=255]
1621520,Color [A=255, R=255, G=255, B=255]
1687040,Color [A=255, R=255, G=255, B=255]
1752560,Color [A=255, R=255, G=255, B=255]
1818080,Color [A=255, R=255, G=255, B=255]
1883600,Color [A=255, R=255, G=255, B=255]
1949120,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
