40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
640,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
5400,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
6760,Color [A=255, R=255, G=255, B=255]
6800,Color [A=255, R=0, G=0, B=0]
7040,Color [A=255, R=255, G=255, B=255]
7080,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8680,Color [A=255, R=0, G=0, B=0]
12480,Color [A=255, R=255, G=255, B=255]
12520,Color [A=255, R=0, G=0, B=0]
13400,Color [A=255, R=255, G=255, B=255]
13440,Color [A=255, R=0, G=0, B=0]
15400,Color [A=255, R=255, G=255, B=255]
15440,Color [A=255, R=0, G=0, B=0]
15720,Color [A=255, R=255, G=255, B=255]
15760,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21760,Color [A=255, R=0, G=0, B=0]
21800,Color [A=255, R=255, G=255, B=255]
21840,Color [A=255, R=0, G=0, B=0]
23960,Color [A=255, R=255, G=255, B=255]
24000,Color [A=255, R=0, G=0, B=0]
25600,Color [A=255, R=255, G=255, B=255]
25640,Color [A=255, R=0, G=0, B=0]
27040,Color [A=255, R=255, G=255, B=255]
27080,Color [A=255, R=0, G=0, B=0]
30320,Color [A=255, R=255, G=255, B=255]
30360,Color [A=255, R=0, G=0, B=0]
30920,Color [A=255, R=255, G=255, B=255]
30960,Color [A=255, R=0, G=0, B=0]
31600,Color [A=255, R=255, G=255, B=255]
