40,Color [A=255, R=255, G=206, B=31]
1560,Color [A=255, R=255, G=255, B=255]
1600,Color [A=255, R=0, G=0, B=0]
10320,Color [A=255, R=255, G=255, B=255]
10360,Color [A=255, R=0, G=0, B=0]
10800,Color [A=255, R=255, G=255, B=255]
10840,Color [A=255, R=0, G=0, B=0]
14320,Color [A=255, R=255, G=255, B=255]
14360,Color [A=255, R=0, G=0, B=0]
30760,Color [A=255, R=255, G=255, B=255]
30800,Color [A=255, R=0, G=0, B=0]
39240,Color [A=255, R=255, G=255, B=255]
39280,Color [A=255, R=0, G=0, B=0]
41480,Color [A=255, R=255, G=255, B=255]
41520,Color [A=255, R=0, G=0, B=0]
44320,Color [A=255, R=255, G=255, B=255]
44360,Color [A=255, R=0, G=0, B=0]
47720,Color [A=255, R=255, G=255, B=255]
47760,Color [A=255, R=0, G=0, B=0]
48000,Color [A=255, R=255, G=255, B=255]
48040,Color [A=255, R=0, G=0, B=0]
49440,Color [A=255, R=255, G=255, B=255]
49480,Color [A=255, R=0, G=0, B=0]
49600,Color [A=255, R=255, G=255, B=255]
49640,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51400,Color [A=255, R=0, G=0, B=0]
57840,Color [A=255, R=255, G=255, B=255]
57920,Color [A=255, R=0, G=0, B=0]
66600,Color [A=255, R=255, G=255, B=255]
66640,Color [A=255, R=0, G=0, B=0]
71440,Color [A=255, R=255, G=255, B=255]
71480,Color [A=255, R=0, G=0, B=0]
71880,Color [A=255, R=255, G=255, B=255]
71920,Color [A=255, R=0, G=0, B=0]
73440,Color [A=255, R=255, G=255, B=255]
73480,Color [A=255, R=0, G=0, B=0]
73760,Color [A=255, R=255, G=255, B=255]
73800,Color [A=255, R=0, G=0, B=0]
76120,Color [A=255, R=255, G=255, B=255]
76160,Color [A=255, R=0, G=0, B=0]
77520,Color [A=255, R=255, G=255, B=255]
77560,Color [A=255, R=0, G=0, B=0]
77880,Color [A=255, R=255, G=255, B=255]
77920,Color [A=255, R=0, G=0, B=0]
81440,Color [A=255, R=255, G=255, B=255]
81480,Color [A=255, R=0, G=0, B=0]
82080,Color [A=255, R=255, G=255, B=255]
82120,Color [A=255, R=0, G=0, B=0]
83640,Color [A=255, R=255, G=255, B=255]
83680,Color [A=255, R=0, G=0, B=0]
84560,Color [A=255, R=255, G=255, B=255]
84600,Color [A=255, R=0, G=0, B=0]
87160,Color [A=255, R=255, G=255, B=255]
87200,Color [A=255, R=0, G=0, B=0]
89920,Color [A=255, R=255, G=255, B=255]
89960,Color [A=255, R=0, G=0, B=0]
90120,Color [A=255, R=255, G=255, B=255]
90160,Color [A=255, R=0, G=0, B=0]
90760,Color [A=255, R=255, G=255, B=255]
90800,Color [A=255, R=0, G=0, B=0]
92080,Color [A=255, R=255, G=255, B=255]
92120,Color [A=255, R=0, G=0, B=0]
93520,Color [A=255, R=255, G=255, B=255]
93560,Color [A=255, R=0, G=0, B=0]
96280,Color [A=255, R=255, G=255, B=255]
96320,Color [A=255, R=0, G=0, B=0]
99000,Color [A=255, R=255, G=255, B=255]
99040,Color [A=255, R=0, G=0, B=0]
100480,Color [A=255, R=255, G=255, B=255]
100520,Color [A=255, R=0, G=0, B=0]
103040,Color [A=255, R=255, G=255, B=255]
103080,Color [A=255, R=0, G=0, B=0]
103200,Color [A=255, R=255, G=255, B=255]
103240,Color [A=255, R=0, G=0, B=0]
105880,Color [A=255, R=255, G=255, B=255]
105920,Color [A=255, R=0, G=0, B=0]
108320,Color [A=255, R=255, G=255, B=255]
108360,Color [A=255, R=0, G=0, B=0]
115440,Color [A=255, R=255, G=255, B=255]
115480,Color [A=255, R=0, G=0, B=0]
117120,Color [A=255, R=255, G=255, B=255]
117160,Color [A=255, R=0, G=0, B=0]
122400,Color [A=255, R=255, G=255, B=255]
122440,Color [A=255, R=0, G=0, B=0]
122680,Color [A=255, R=255, G=255, B=255]
122720,Color [A=255, R=0, G=0, B=0]
124600,Color [A=255, R=255, G=255, B=255]
124640,Color [A=255, R=0, G=0, B=0]
126880,Color [A=255, R=255, G=255, B=255]
126920,Color [A=255, R=0, G=0, B=0]
128840,Color [A=255, R=255, G=255, B=255]
128880,Color [A=255, R=0, G=0, B=0]
132800,Color [A=255, R=255, G=255, B=255]
132840,Color [A=255, R=0, G=0, B=0]
138360,Color [A=255, R=255, G=255, B=255]
138400,Color [A=255, R=0, G=0, B=0]
138600,Color [A=255, R=255, G=255, B=255]
138640,Color [A=255, R=0, G=0, B=0]
140120,Color [A=255, R=255, G=255, B=255]
140160,Color [A=255, R=0, G=0, B=0]
141160,Color [A=255, R=255, G=255, B=255]
141200,Color [A=255, R=0, G=0, B=0]
143680,Color [A=255, R=255, G=255, B=255]
143720,Color [A=255, R=0, G=0, B=0]
145520,Color [A=255, R=255, G=255, B=255]
145560,Color [A=255, R=0, G=0, B=0]
150040,Color [A=255, R=255, G=255, B=255]
150080,Color [A=255, R=0, G=0, B=0]
152880,Color [A=255, R=255, G=255, B=255]
152920,Color [A=255, R=0, G=0, B=0]
159680,Color [A=255, R=255, G=255, B=255]
159720,Color [A=255, R=0, G=0, B=0]
172520,Color [A=255, R=255, G=255, B=255]
172560,Color [A=255, R=0, G=0, B=0]
178440,Color [A=255, R=255, G=255, B=255]
178480,Color [A=255, R=0, G=0, B=0]
182400,Color [A=255, R=255, G=255, B=255]
182440,Color [A=255, R=0, G=0, B=0]
184360,Color [A=255, R=255, G=255, B=255]
184400,Color [A=255, R=0, G=0, B=0]
184960,Color [A=255, R=255, G=255, B=255]
185000,Color [A=255, R=0, G=0, B=0]
185240,Color [A=255, R=255, G=255, B=255]
185280,Color [A=255, R=0, G=0, B=0]
185640,Color [A=255, R=255, G=255, B=255]
185680,Color [A=255, R=0, G=0, B=0]
186720,Color [A=255, R=255, G=255, B=255]
186760,Color [A=255, R=0, G=0, B=0]
188480,Color [A=255, R=255, G=255, B=255]
188520,Color [A=255, R=0, G=0, B=0]
189160,Color [A=255, R=255, G=255, B=255]
189200,Color [A=255, R=0, G=0, B=0]
196120,Color [A=255, R=255, G=255, B=255]
196160,Color [A=255, R=0, G=0, B=0]
200960,Color [A=255, R=255, G=255, B=255]
201000,Color [A=255, R=0, G=0, B=0]
217560,Color [A=255, R=255, G=255, B=255]
217600,Color [A=255, R=0, G=0, B=0]
217800,Color [A=255, R=255, G=255, B=255]
217840,Color [A=255, R=0, G=0, B=0]
222000,Color [A=255, R=255, G=255, B=255]
222040,Color [A=255, R=0, G=0, B=0]
223160,Color [A=255, R=255, G=255, B=255]
223200,Color [A=255, R=0, G=0, B=0]
226960,Color [A=255, R=255, G=255, B=255]
227000,Color [A=255, R=0, G=0, B=0]
228440,Color [A=255, R=255, G=255, B=255]
228480,Color [A=255, R=0, G=0, B=0]
229760,Color [A=255, R=255, G=255, B=255]
229800,Color [A=255, R=0, G=0, B=0]
232120,Color [A=255, R=255, G=255, B=255]
232200,Color [A=255, R=0, G=0, B=0]
239240,Color [A=255, R=255, G=255, B=255]
239320,Color [A=255, R=0, G=0, B=0]
242600,Color [A=255, R=255, G=255, B=255]
242640,Color [A=255, R=0, G=0, B=0]
249440,Color [A=255, R=255, G=255, B=255]
249520,Color [A=255, R=0, G=0, B=0]
254440,Color [A=255, R=255, G=255, B=255]
254480,Color [A=255, R=0, G=0, B=0]
255160,Color [A=255, R=255, G=255, B=255]
255200,Color [A=255, R=0, G=0, B=0]
257440,Color [A=255, R=255, G=255, B=255]
257480,Color [A=255, R=0, G=0, B=0]
258400,Color [A=255, R=255, G=255, B=255]
258440,Color [A=255, R=0, G=0, B=0]
260280,Color [A=255, R=255, G=255, B=255]
260320,Color [A=255, R=0, G=0, B=0]
260440,Color [A=255, R=255, G=255, B=255]
260480,Color [A=255, R=0, G=0, B=0]
263200,Color [A=255, R=255, G=255, B=255]
263240,Color [A=255, R=0, G=0, B=0]
264680,Color [A=255, R=255, G=255, B=255]
264720,Color [A=255, R=0, G=0, B=0]
265160,Color [A=255, R=255, G=255, B=255]
265200,Color [A=255, R=0, G=0, B=0]
269400,Color [A=255, R=255, G=255, B=255]
269440,Color [A=255, R=0, G=0, B=0]
281480,Color [A=255, R=255, G=255, B=255]
281520,Color [A=255, R=0, G=0, B=0]
286680,Color [A=255, R=255, G=255, B=255]
286720,Color [A=255, R=0, G=0, B=0]
287760,Color [A=255, R=255, G=255, B=255]
287800,Color [A=255, R=0, G=0, B=0]
289760,Color [A=255, R=255, G=255, B=255]
289800,Color [A=255, R=0, G=0, B=0]
291640,Color [A=255, R=255, G=255, B=255]
291720,Color [A=255, R=0, G=0, B=0]
296640,Color [A=255, R=255, G=255, B=255]
296680,Color [A=255, R=0, G=0, B=0]
297760,Color [A=255, R=255, G=255, B=255]
297840,Color [A=255, R=0, G=0, B=0]
298720,Color [A=255, R=255, G=255, B=255]
298760,Color [A=255, R=0, G=0, B=0]
301440,Color [A=255, R=255, G=255, B=255]
301480,Color [A=255, R=0, G=0, B=0]
303720,Color [A=255, R=255, G=255, B=255]
303760,Color [A=255, R=0, G=0, B=0]
309760,Color [A=255, R=255, G=255, B=255]
309800,Color [A=255, R=0, G=0, B=0]
312840,Color [A=255, R=255, G=255, B=255]
312880,Color [A=255, R=0, G=0, B=0]
317160,Color [A=255, R=255, G=255, B=255]
317200,Color [A=255, R=0, G=0, B=0]
324640,Color [A=255, R=255, G=255, B=255]
324680,Color [A=255, R=0, G=0, B=0]
328440,Color [A=255, R=255, G=255, B=255]
328480,Color [A=255, R=0, G=0, B=0]
332840,Color [A=255, R=255, G=255, B=255]
332880,Color [A=255, R=0, G=0, B=0]
334520,Color [A=255, R=255, G=255, B=255]
334560,Color [A=255, R=0, G=0, B=0]
338560,Color [A=255, R=255, G=255, B=255]
338600,Color [A=255, R=0, G=0, B=0]
342440,Color [A=255, R=255, G=255, B=255]
342480,Color [A=255, R=0, G=0, B=0]
343560,Color [A=255, R=255, G=255, B=255]
343600,Color [A=255, R=0, G=0, B=0]
346720,Color [A=255, R=255, G=255, B=255]
346800,Color [A=255, R=0, G=0, B=0]
352240,Color [A=255, R=255, G=255, B=255]
352280,Color [A=255, R=0, G=0, B=0]
352440,Color [A=255, R=255, G=255, B=255]
352480,Color [A=255, R=0, G=0, B=0]
354000,Color [A=255, R=255, G=255, B=255]
354040,Color [A=255, R=0, G=0, B=0]
365320,Color [A=255, R=255, G=255, B=255]
365360,Color [A=255, R=0, G=0, B=0]
365520,Color [A=255, R=255, G=255, B=255]
365560,Color [A=255, R=0, G=0, B=0]
365800,Color [A=255, R=255, G=255, B=255]
365840,Color [A=255, R=0, G=0, B=0]
367840,Color [A=255, R=255, G=255, B=255]
367880,Color [A=255, R=0, G=0, B=0]
378680,Color [A=255, R=255, G=255, B=255]
378720,Color [A=255, R=0, G=0, B=0]
387880,Color [A=255, R=255, G=255, B=255]
387920,Color [A=255, R=0, G=0, B=0]
388280,Color [A=255, R=255, G=255, B=255]
388320,Color [A=255, R=0, G=0, B=0]
389040,Color [A=255, R=255, G=255, B=255]
389080,Color [A=255, R=0, G=0, B=0]
390200,Color [A=255, R=255, G=255, B=255]
390240,Color [A=255, R=0, G=0, B=0]
391480,Color [A=255, R=255, G=255, B=255]
391520,Color [A=255, R=0, G=0, B=0]
391800,Color [A=255, R=255, G=255, B=255]
391840,Color [A=255, R=0, G=0, B=0]
