40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
88600,Color [A=255, R=255, G=255, B=255]
88640,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
141400,Color [A=255, R=255, G=255, B=255]
141440,Color [A=255, R=0, G=0, B=0]
141560,Color [A=255, R=255, G=255, B=255]
141600,Color [A=255, R=0, G=0, B=0]
148480,Color [A=255, R=255, G=255, B=255]
148520,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
179640,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=0, G=0, B=0]
183760,Color [A=255, R=255, G=255, B=255]
183800,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
206800,Color [A=255, R=255, G=255, B=255]
206840,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
310480,Color [A=255, R=255, G=255, B=255]
310520,Color [A=255, R=0, G=0, B=0]
313320,Color [A=255, R=255, G=255, B=255]
313360,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
366440,Color [A=255, R=255, G=255, B=255]
366480,Color [A=255, R=0, G=0, B=0]
390800,Color [A=255, R=255, G=255, B=255]
390840,Color [A=255, R=0, G=0, B=0]
398280,Color [A=255, R=255, G=255, B=255]
398320,Color [A=255, R=0, G=0, B=0]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
414040,Color [A=255, R=255, G=255, B=255]
414080,Color [A=255, R=0, G=0, B=0]
428600,Color [A=255, R=255, G=255, B=255]
428640,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
486960,Color [A=255, R=255, G=255, B=255]
487000,Color [A=255, R=0, G=0, B=0]
501960,Color [A=255, R=255, G=255, B=255]
502000,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
510440,Color [A=255, R=255, G=255, B=255]
510480,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
577960,Color [A=255, R=255, G=255, B=255]
578000,Color [A=255, R=0, G=0, B=0]
594640,Color [A=255, R=255, G=255, B=255]
594680,Color [A=255, R=0, G=0, B=0]
595880,Color [A=255, R=255, G=255, B=255]
595920,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
618240,Color [A=255, R=255, G=255, B=255]
618280,Color [A=255, R=0, G=0, B=0]
627280,Color [A=255, R=255, G=255, B=255]
627320,Color [A=255, R=0, G=0, B=0]
629360,Color [A=255, R=255, G=255, B=255]
629400,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
637080,Color [A=255, R=255, G=255, B=255]
637120,Color [A=255, R=0, G=0, B=0]
645040,Color [A=255, R=255, G=255, B=255]
645080,Color [A=255, R=0, G=0, B=0]
649800,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
650880,Color [A=255, R=255, G=255, B=255]
650920,Color [A=255, R=0, G=0, B=0]
672920,Color [A=255, R=255, G=255, B=255]
672960,Color [A=255, R=0, G=0, B=0]
673760,Color [A=255, R=255, G=255, B=255]
673800,Color [A=255, R=0, G=0, B=0]
674840,Color [A=255, R=255, G=255, B=255]
674880,Color [A=255, R=0, G=0, B=0]
703600,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
704280,Color [A=255, R=255, G=255, B=255]
704320,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
727440,Color [A=255, R=255, G=255, B=255]
727480,Color [A=255, R=0, G=0, B=0]
728480,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
731880,Color [A=255, R=255, G=255, B=255]
731920,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
754320,Color [A=255, R=255, G=255, B=255]
754360,Color [A=255, R=0, G=0, B=0]
774520,Color [A=255, R=255, G=255, B=255]
774560,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
806360,Color [A=255, R=255, G=255, B=255]
806400,Color [A=255, R=0, G=0, B=0]
812680,Color [A=255, R=255, G=255, B=255]
812720,Color [A=255, R=0, G=0, B=0]
824400,Color [A=255, R=255, G=255, B=255]
824440,Color [A=255, R=0, G=0, B=0]
837120,Color [A=255, R=255, G=255, B=255]
837160,Color [A=255, R=0, G=0, B=0]
848200,Color [A=255, R=255, G=255, B=255]
848240,Color [A=255, R=0, G=0, B=0]
852480,Color [A=255, R=255, G=255, B=255]
852520,Color [A=255, R=0, G=0, B=0]
852680,Color [A=255, R=255, G=255, B=255]
852720,Color [A=255, R=0, G=0, B=0]
853000,Color [A=255, R=255, G=255, B=255]
853040,Color [A=255, R=0, G=0, B=0]
855720,Color [A=255, R=255, G=255, B=255]
855760,Color [A=255, R=0, G=0, B=0]
862680,Color [A=255, R=255, G=255, B=255]
862720,Color [A=255, R=0, G=0, B=0]
862920,Color [A=255, R=255, G=255, B=255]
862960,Color [A=255, R=0, G=0, B=0]
864520,Color [A=255, R=255, G=255, B=255]
864560,Color [A=255, R=0, G=0, B=0]
872000,Color [A=255, R=255, G=255, B=255]
872040,Color [A=255, R=0, G=0, B=0]
881160,Color [A=255, R=255, G=255, B=255]
881200,Color [A=255, R=0, G=0, B=0]
881720,Color [A=255, R=255, G=255, B=255]
881760,Color [A=255, R=0, G=0, B=0]
881960,Color [A=255, R=255, G=255, B=255]
882040,Color [A=255, R=0, G=0, B=0]
882360,Color [A=255, R=255, G=255, B=255]
882400,Color [A=255, R=0, G=0, B=0]
882520,Color [A=255, R=255, G=255, B=255]
882560,Color [A=255, R=0, G=0, B=0]
882640,Color [A=255, R=255, G=255, B=255]
882680,Color [A=255, R=0, G=0, B=0]
882720,Color [A=255, R=255, G=255, B=255]
882760,Color [A=255, R=0, G=0, B=0]
882880,Color [A=255, R=255, G=255, B=255]
882920,Color [A=255, R=0, G=0, B=0]
883400,Color [A=255, R=255, G=255, B=255]
883440,Color [A=255, R=0, G=0, B=0]
887400,Color [A=255, R=255, G=255, B=255]
887440,Color [A=255, R=0, G=0, B=0]
895880,Color [A=255, R=255, G=255, B=255]
895920,Color [A=255, R=0, G=0, B=0]
896960,Color [A=255, R=255, G=255, B=255]
897000,Color [A=255, R=0, G=0, B=0]
898520,Color [A=255, R=255, G=255, B=255]
898560,Color [A=255, R=0, G=0, B=0]
903880,Color [A=255, R=255, G=255, B=255]
903920,Color [A=255, R=0, G=0, B=0]
904160,Color [A=255, R=255, G=255, B=255]
904200,Color [A=255, R=0, G=0, B=0]
911000,Color [A=255, R=255, G=255, B=255]
911040,Color [A=255, R=0, G=0, B=0]
911320,Color [A=255, R=255, G=255, B=255]
911360,Color [A=255, R=0, G=0, B=0]
921480,Color [A=255, R=255, G=255, B=255]
921520,Color [A=255, R=0, G=0, B=0]
927160,Color [A=255, R=255, G=255, B=255]
927200,Color [A=255, R=0, G=0, B=0]
927480,Color [A=255, R=255, G=255, B=255]
927520,Color [A=255, R=0, G=0, B=0]
930400,Color [A=255, R=255, G=255, B=255]
930440,Color [A=255, R=0, G=0, B=0]
933560,Color [A=255, R=255, G=255, B=255]
933600,Color [A=255, R=0, G=0, B=0]
933720,Color [A=255, R=255, G=255, B=255]
933760,Color [A=255, R=0, G=0, B=0]
934080,Color [A=255, R=255, G=255, B=255]
934120,Color [A=255, R=0, G=0, B=0]
943480,Color [A=255, R=255, G=255, B=255]
943520,Color [A=255, R=0, G=0, B=0]
944080,Color [A=255, R=255, G=255, B=255]
944120,Color [A=255, R=0, G=0, B=0]
944400,Color [A=255, R=255, G=255, B=255]
944440,Color [A=255, R=0, G=0, B=0]
992840,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
999560,Color [A=255, R=255, G=255, B=255]
999600,Color [A=255, R=0, G=0, B=0]
1001720,Color [A=255, R=255, G=255, B=255]
1001760,Color [A=255, R=0, G=0, B=0]
1013960,Color [A=255, R=255, G=255, B=255]
1014000,Color [A=255, R=0, G=0, B=0]
1027120,Color [A=255, R=255, G=255, B=255]
1027160,Color [A=255, R=0, G=0, B=0]
1028480,Color [A=255, R=255, G=255, B=255]
1028520,Color [A=255, R=0, G=0, B=0]
1036800,Color [A=255, R=255, G=255, B=255]
1036840,Color [A=255, R=0, G=0, B=0]
1038000,Color [A=255, R=255, G=255, B=255]
1038040,Color [A=255, R=0, G=0, B=0]
1046840,Color [A=255, R=255, G=255, B=255]
1046880,Color [A=255, R=0, G=0, B=0]
1064600,Color [A=255, R=255, G=255, B=255]
1064640,Color [A=255, R=0, G=0, B=0]
1070280,Color [A=255, R=255, G=255, B=255]
1070320,Color [A=255, R=0, G=0, B=0]
1072680,Color [A=255, R=255, G=255, B=255]
1072720,Color [A=255, R=0, G=0, B=0]
1078520,Color [A=255, R=255, G=255, B=255]
1078560,Color [A=255, R=0, G=0, B=0]
1080760,Color [A=255, R=255, G=255, B=255]
1080800,Color [A=255, R=0, G=0, B=0]
1084920,Color [A=255, R=255, G=255, B=255]
1084960,Color [A=255, R=0, G=0, B=0]
1086000,Color [A=255, R=255, G=255, B=255]
1086040,Color [A=255, R=0, G=0, B=0]
1091400,Color [A=255, R=255, G=255, B=255]
1091440,Color [A=255, R=0, G=0, B=0]
1092280,Color [A=255, R=255, G=255, B=255]
