40,Color [A=255, R=255, G=206, B=31]
1440,Color [A=255, R=255, G=255, B=255]
1480,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2960,Color [A=255, R=255, G=255, B=255]
3000,Color [A=255, R=0, G=0, B=0]
3200,Color [A=255, R=255, G=255, B=255]
3240,Color [A=255, R=0, G=0, B=0]
3320,Color [A=255, R=255, G=255, B=255]
3360,Color [A=255, R=0, G=0, B=0]
3840,Color [A=255, R=255, G=255, B=255]
3920,Color [A=255, R=0, G=0, B=0]
4160,Color [A=255, R=255, G=255, B=255]
4200,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
4920,Color [A=255, R=0, G=0, B=0]
5440,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
5720,Color [A=255, R=255, G=255, B=255]
5760,Color [A=255, R=0, G=0, B=0]
5880,Color [A=255, R=255, G=255, B=255]
5960,Color [A=255, R=0, G=0, B=0]
6240,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
6360,Color [A=255, R=255, G=255, B=255]
6400,Color [A=255, R=0, G=0, B=0]
6440,Color [A=255, R=255, G=255, B=255]
6480,Color [A=255, R=0, G=0, B=0]
6640,Color [A=255, R=255, G=255, B=255]
6680,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
7600,Color [A=255, R=255, G=255, B=255]
7640,Color [A=255, R=0, G=0, B=0]
7960,Color [A=255, R=255, G=255, B=255]
8000,Color [A=255, R=0, G=0, B=0]
8040,Color [A=255, R=255, G=255, B=255]
8080,Color [A=255, R=0, G=0, B=0]
8440,Color [A=255, R=255, G=255, B=255]
8480,Color [A=255, R=0, G=0, B=0]
8600,Color [A=255, R=255, G=255, B=255]
8640,Color [A=255, R=0, G=0, B=0]
9880,Color [A=255, R=255, G=255, B=255]
9920,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
10200,Color [A=255, R=255, G=255, B=255]
10240,Color [A=255, R=0, G=0, B=0]
10520,Color [A=255, R=255, G=255, B=255]
10560,Color [A=255, R=0, G=0, B=0]
10760,Color [A=255, R=255, G=255, B=255]
10800,Color [A=255, R=0, G=0, B=0]
11960,Color [A=255, R=255, G=255, B=255]
12000,Color [A=255, R=0, G=0, B=0]
12640,Color [A=255, R=255, G=255, B=255]
12680,Color [A=255, R=0, G=0, B=0]
13680,Color [A=255, R=255, G=255, B=255]
13720,Color [A=255, R=0, G=0, B=0]
13920,Color [A=255, R=255, G=255, B=255]
13960,Color [A=255, R=0, G=0, B=0]
14400,Color [A=255, R=255, G=255, B=255]
14480,Color [A=255, R=0, G=0, B=0]
14520,Color [A=255, R=255, G=255, B=255]
14560,Color [A=255, R=0, G=0, B=0]
14640,Color [A=255, R=255, G=255, B=255]
14680,Color [A=255, R=0, G=0, B=0]
15080,Color [A=255, R=255, G=255, B=255]
15120,Color [A=255, R=0, G=0, B=0]
15280,Color [A=255, R=255, G=255, B=255]
15320,Color [A=255, R=0, G=0, B=0]
15520,Color [A=255, R=255, G=255, B=255]
15560,Color [A=255, R=0, G=0, B=0]
15960,Color [A=255, R=255, G=255, B=255]
16000,Color [A=255, R=0, G=0, B=0]
22360,Color [A=255, R=255, G=255, B=255]
22440,Color [A=255, R=0, G=0, B=0]
22600,Color [A=255, R=255, G=255, B=255]
22640,Color [A=255, R=0, G=0, B=0]
22840,Color [A=255, R=255, G=255, B=255]
22880,Color [A=255, R=0, G=0, B=0]
22960,Color [A=255, R=255, G=255, B=255]
23000,Color [A=255, R=0, G=0, B=0]
23080,Color [A=255, R=255, G=255, B=255]
23120,Color [A=255, R=0, G=0, B=0]
23200,Color [A=255, R=255, G=255, B=255]
23240,Color [A=255, R=0, G=0, B=0]
24400,Color [A=255, R=255, G=255, B=255]
24440,Color [A=255, R=0, G=0, B=0]
24800,Color [A=255, R=255, G=255, B=255]
24880,Color [A=255, R=0, G=0, B=0]
24960,Color [A=255, R=255, G=255, B=255]
25000,Color [A=255, R=0, G=0, B=0]
25320,Color [A=255, R=255, G=255, B=255]
25360,Color [A=255, R=0, G=0, B=0]
25440,Color [A=255, R=255, G=255, B=255]
25480,Color [A=255, R=0, G=0, B=0]
26760,Color [A=255, R=255, G=255, B=255]
26800,Color [A=255, R=0, G=0, B=0]
27080,Color [A=255, R=255, G=255, B=255]
27120,Color [A=255, R=0, G=0, B=0]
27320,Color [A=255, R=255, G=255, B=255]
27360,Color [A=255, R=0, G=0, B=0]
27840,Color [A=255, R=255, G=255, B=255]
27880,Color [A=255, R=0, G=0, B=0]
28320,Color [A=255, R=255, G=255, B=255]
28360,Color [A=255, R=0, G=0, B=0]
28440,Color [A=255, R=255, G=255, B=255]
28480,Color [A=255, R=0, G=0, B=0]
28880,Color [A=255, R=255, G=255, B=255]
28920,Color [A=255, R=0, G=0, B=0]
29160,Color [A=255, R=255, G=255, B=255]
29200,Color [A=255, R=0, G=0, B=0]
29720,Color [A=255, R=255, G=255, B=255]
29800,Color [A=255, R=0, G=0, B=0]
29920,Color [A=255, R=255, G=255, B=255]
29960,Color [A=255, R=0, G=0, B=0]
30240,Color [A=255, R=255, G=255, B=255]
30280,Color [A=255, R=0, G=0, B=0]
30360,Color [A=255, R=255, G=255, B=255]
30400,Color [A=255, R=0, G=0, B=0]
31080,Color [A=255, R=255, G=255, B=255]
31120,Color [A=255, R=0, G=0, B=0]
32120,Color [A=255, R=255, G=255, B=255]
32160,Color [A=255, R=0, G=0, B=0]
32720,Color [A=255, R=255, G=255, B=255]
32760,Color [A=255, R=0, G=0, B=0]
32960,Color [A=255, R=255, G=255, B=255]
33000,Color [A=255, R=0, G=0, B=0]
33880,Color [A=255, R=255, G=255, B=255]
33920,Color [A=255, R=0, G=0, B=0]
34600,Color [A=255, R=255, G=255, B=255]
34640,Color [A=255, R=0, G=0, B=0]
36120,Color [A=255, R=255, G=255, B=255]
36160,Color [A=255, R=0, G=0, B=0]
36440,Color [A=255, R=255, G=255, B=255]
36520,Color [A=255, R=0, G=0, B=0]
37280,Color [A=255, R=255, G=255, B=255]
37320,Color [A=255, R=0, G=0, B=0]
37800,Color [A=255, R=255, G=255, B=255]
37880,Color [A=255, R=0, G=0, B=0]
39200,Color [A=255, R=255, G=255, B=255]
39240,Color [A=255, R=0, G=0, B=0]
40080,Color [A=255, R=255, G=255, B=255]
40120,Color [A=255, R=0, G=0, B=0]
40240,Color [A=255, R=255, G=255, B=255]
40280,Color [A=255, R=0, G=0, B=0]
