40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
34720,Color [A=255, R=255, G=255, B=255]
34760,Color [A=255, R=0, G=0, B=0]
34800,Color [A=255, R=255, G=255, B=255]
34840,Color [A=255, R=0, G=0, B=0]
38360,Color [A=255, R=255, G=255, B=255]
38400,Color [A=255, R=0, G=0, B=0]
38440,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51440,Color [A=255, R=255, G=255, B=255]
51480,Color [A=255, R=0, G=0, B=0]
51520,Color [A=255, R=255, G=255, B=255]
51560,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
65880,Color [A=255, R=255, G=255, B=255]
65920,Color [A=255, R=0, G=0, B=0]
65960,Color [A=255, R=255, G=255, B=255]
66000,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
80000,Color [A=255, R=255, G=255, B=255]
80040,Color [A=255, R=0, G=0, B=0]
80080,Color [A=255, R=255, G=255, B=255]
80120,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
81920,Color [A=255, R=0, G=0, B=0]
101560,Color [A=255, R=255, G=255, B=255]
101600,Color [A=255, R=0, G=0, B=0]
101640,Color [A=255, R=255, G=255, B=255]
101680,Color [A=255, R=0, G=0, B=0]
115800,Color [A=255, R=255, G=255, B=255]
115840,Color [A=255, R=0, G=0, B=0]
115880,Color [A=255, R=255, G=255, B=255]
115920,Color [A=255, R=0, G=0, B=0]
120480,Color [A=255, R=255, G=255, B=255]
120520,Color [A=255, R=0, G=0, B=0]
120560,Color [A=255, R=255, G=255, B=255]
120600,Color [A=255, R=0, G=0, B=0]
140920,Color [A=255, R=255, G=255, B=255]
140960,Color [A=255, R=0, G=0, B=0]
141000,Color [A=255, R=255, G=255, B=255]
141040,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
164280,Color [A=255, R=255, G=255, B=255]
164320,Color [A=255, R=0, G=0, B=0]
164360,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
171080,Color [A=255, R=255, G=255, B=255]
171120,Color [A=255, R=0, G=0, B=0]
171160,Color [A=255, R=255, G=255, B=255]
171200,Color [A=255, R=0, G=0, B=0]
177240,Color [A=255, R=255, G=255, B=255]
177280,Color [A=255, R=0, G=0, B=0]
177320,Color [A=255, R=255, G=255, B=255]
177360,Color [A=255, R=0, G=0, B=0]
179560,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
179880,Color [A=255, R=255, G=255, B=255]
179920,Color [A=255, R=0, G=0, B=0]
179960,Color [A=255, R=255, G=255, B=255]
180000,Color [A=255, R=0, G=0, B=0]
182000,Color [A=255, R=255, G=255, B=255]
182040,Color [A=255, R=0, G=0, B=0]
182080,Color [A=255, R=255, G=255, B=255]
182120,Color [A=255, R=0, G=0, B=0]
195640,Color [A=255, R=255, G=255, B=255]
195680,Color [A=255, R=0, G=0, B=0]
195720,Color [A=255, R=255, G=255, B=255]
195760,Color [A=255, R=0, G=0, B=0]
203920,Color [A=255, R=255, G=255, B=255]
203960,Color [A=255, R=0, G=0, B=0]
204000,Color [A=255, R=255, G=255, B=255]
204040,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
217400,Color [A=255, R=255, G=255, B=255]
217440,Color [A=255, R=0, G=0, B=0]
219960,Color [A=255, R=255, G=255, B=255]
220000,Color [A=255, R=0, G=0, B=0]
220040,Color [A=255, R=255, G=255, B=255]
220080,Color [A=255, R=0, G=0, B=0]
224680,Color [A=255, R=255, G=255, B=255]
224720,Color [A=255, R=0, G=0, B=0]
224760,Color [A=255, R=255, G=255, B=255]
224800,Color [A=255, R=0, G=0, B=0]
226480,Color [A=255, R=255, G=255, B=255]
226520,Color [A=255, R=0, G=0, B=0]
228920,Color [A=255, R=255, G=255, B=255]
228960,Color [A=255, R=0, G=0, B=0]
229000,Color [A=255, R=255, G=255, B=255]
229040,Color [A=255, R=0, G=0, B=0]
237760,Color [A=255, R=255, G=255, B=255]
237800,Color [A=255, R=0, G=0, B=0]
237840,Color [A=255, R=255, G=255, B=255]
237880,Color [A=255, R=0, G=0, B=0]
238480,Color [A=255, R=255, G=255, B=255]
238520,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
251720,Color [A=255, R=255, G=255, B=255]
251760,Color [A=255, R=0, G=0, B=0]
251800,Color [A=255, R=255, G=255, B=255]
251840,Color [A=255, R=0, G=0, B=0]
261960,Color [A=255, R=255, G=255, B=255]
262000,Color [A=255, R=0, G=0, B=0]
262040,Color [A=255, R=255, G=255, B=255]
262080,Color [A=255, R=0, G=0, B=0]
263760,Color [A=255, R=255, G=255, B=255]
263800,Color [A=255, R=0, G=0, B=0]
263840,Color [A=255, R=255, G=255, B=255]
263880,Color [A=255, R=0, G=0, B=0]
280480,Color [A=255, R=255, G=255, B=255]
280520,Color [A=255, R=0, G=0, B=0]
280560,Color [A=255, R=255, G=255, B=255]
280600,Color [A=255, R=0, G=0, B=0]
297600,Color [A=255, R=255, G=255, B=255]
297640,Color [A=255, R=0, G=0, B=0]
297680,Color [A=255, R=255, G=255, B=255]
297720,Color [A=255, R=0, G=0, B=0]
299080,Color [A=255, R=255, G=255, B=255]
299120,Color [A=255, R=0, G=0, B=0]
299160,Color [A=255, R=255, G=255, B=255]
299200,Color [A=255, R=0, G=0, B=0]
314200,Color [A=255, R=255, G=255, B=255]
314240,Color [A=255, R=0, G=0, B=0]
314280,Color [A=255, R=255, G=255, B=255]
314320,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
328760,Color [A=255, R=255, G=255, B=255]
328800,Color [A=255, R=0, G=0, B=0]
328840,Color [A=255, R=255, G=255, B=255]
328880,Color [A=255, R=0, G=0, B=0]
336080,Color [A=255, R=255, G=255, B=255]
336120,Color [A=255, R=0, G=0, B=0]
336160,Color [A=255, R=255, G=255, B=255]
336200,Color [A=255, R=0, G=0, B=0]
340880,Color [A=255, R=255, G=255, B=255]
340920,Color [A=255, R=0, G=0, B=0]
340960,Color [A=255, R=255, G=255, B=255]
341000,Color [A=255, R=0, G=0, B=0]
356080,Color [A=255, R=255, G=255, B=255]
356120,Color [A=255, R=0, G=0, B=0]
356160,Color [A=255, R=255, G=255, B=255]
356200,Color [A=255, R=0, G=0, B=0]
363720,Color [A=255, R=255, G=255, B=255]
363760,Color [A=255, R=0, G=0, B=0]
363800,Color [A=255, R=255, G=255, B=255]
363840,Color [A=255, R=0, G=0, B=0]
366440,Color [A=255, R=255, G=255, B=255]
366480,Color [A=255, R=0, G=0, B=0]
390640,Color [A=255, R=255, G=255, B=255]
390680,Color [A=255, R=0, G=0, B=0]
390760,Color [A=255, R=255, G=255, B=255]
390840,Color [A=255, R=0, G=0, B=0]
396480,Color [A=255, R=255, G=255, B=255]
396520,Color [A=255, R=0, G=0, B=0]
396560,Color [A=255, R=255, G=255, B=255]
396600,Color [A=255, R=0, G=0, B=0]
398280,Color [A=255, R=255, G=255, B=255]
398320,Color [A=255, R=0, G=0, B=0]
399360,Color [A=255, R=255, G=255, B=255]
399400,Color [A=255, R=0, G=0, B=0]
401880,Color [A=255, R=255, G=255, B=255]
401920,Color [A=255, R=0, G=0, B=0]
401960,Color [A=255, R=255, G=255, B=255]
402000,Color [A=255, R=0, G=0, B=0]
403320,Color [A=255, R=255, G=255, B=255]
403360,Color [A=255, R=0, G=0, B=0]
403400,Color [A=255, R=255, G=255, B=255]
403440,Color [A=255, R=0, G=0, B=0]
403520,Color [A=255, R=255, G=255, B=255]
403560,Color [A=255, R=0, G=0, B=0]
403600,Color [A=255, R=255, G=255, B=255]
403680,Color [A=255, R=0, G=0, B=0]
403720,Color [A=255, R=255, G=255, B=255]
403760,Color [A=255, R=0, G=0, B=0]
403880,Color [A=255, R=255, G=255, B=255]
403920,Color [A=255, R=0, G=0, B=0]
404080,Color [A=255, R=255, G=255, B=255]
404280,Color [A=255, R=0, G=0, B=0]
404360,Color [A=255, R=255, G=255, B=255]
404440,Color [A=255, R=0, G=0, B=0]
404560,Color [A=255, R=255, G=255, B=255]
404680,Color [A=255, R=0, G=0, B=0]
404760,Color [A=255, R=255, G=255, B=255]
404800,Color [A=255, R=0, G=0, B=0]
404880,Color [A=255, R=255, G=255, B=255]
405000,Color [A=255, R=0, G=0, B=0]
405040,Color [A=255, R=255, G=255, B=255]
405120,Color [A=255, R=0, G=0, B=0]
405200,Color [A=255, R=255, G=255, B=255]
405240,Color [A=255, R=0, G=0, B=0]
405280,Color [A=255, R=255, G=255, B=255]
405400,Color [A=255, R=0, G=0, B=0]
405480,Color [A=255, R=255, G=255, B=255]
405520,Color [A=255, R=0, G=0, B=0]
405680,Color [A=255, R=255, G=255, B=255]
406000,Color [A=255, R=0, G=0, B=0]
406040,Color [A=255, R=255, G=255, B=255]
406080,Color [A=255, R=0, G=0, B=0]
406160,Color [A=255, R=255, G=255, B=255]
406200,Color [A=255, R=0, G=0, B=0]
