40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
800,Color [A=255, R=255, G=255, B=255]
840,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5560,Color [A=255, R=255, G=255, B=255]
5600,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
11400,Color [A=255, R=255, G=255, B=255]
11440,Color [A=255, R=0, G=0, B=0]
12280,Color [A=255, R=255, G=255, B=255]
12320,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
22120,Color [A=255, R=255, G=255, B=255]
22160,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25720,Color [A=255, R=255, G=255, B=255]
25760,Color [A=255, R=0, G=0, B=0]
35000,Color [A=255, R=255, G=255, B=255]
35040,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
41760,Color [A=255, R=255, G=255, B=255]
41800,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50480,Color [A=255, R=255, G=255, B=255]
50520,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51400,Color [A=255, R=0, G=0, B=0]
51560,Color [A=255, R=255, G=255, B=255]
51600,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
67280,Color [A=255, R=255, G=255, B=255]
67320,Color [A=255, R=0, G=0, B=0]
67800,Color [A=255, R=255, G=255, B=255]
67840,Color [A=255, R=0, G=0, B=0]
68520,Color [A=255, R=255, G=255, B=255]
68560,Color [A=255, R=0, G=0, B=0]
74160,Color [A=255, R=255, G=255, B=255]
74200,Color [A=255, R=0, G=0, B=0]
75720,Color [A=255, R=255, G=255, B=255]
75760,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
80120,Color [A=255, R=255, G=255, B=255]
80160,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
