40,Color [A=255, R=255, G=206, B=31]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
640,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
840,Color [A=255, R=255, G=255, B=255]
880,Color [A=255, R=0, G=0, B=0]
920,Color [A=255, R=255, G=255, B=255]
1000,Color [A=255, R=0, G=0, B=0]
1080,Color [A=255, R=255, G=255, B=255]
1160,Color [A=255, R=0, G=0, B=0]
1200,Color [A=255, R=255, G=255, B=255]
1280,Color [A=255, R=0, G=0, B=0]
1320,Color [A=255, R=255, G=255, B=255]
1360,Color [A=255, R=0, G=0, B=0]
1640,Color [A=255, R=255, G=255, B=255]
1680,Color [A=255, R=0, G=0, B=0]
1880,Color [A=255, R=255, G=255, B=255]
1920,Color [A=255, R=0, G=0, B=0]
1960,Color [A=255, R=255, G=255, B=255]
2000,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2240,Color [A=255, R=255, G=255, B=255]
2280,Color [A=255, R=0, G=0, B=0]
2360,Color [A=255, R=255, G=255, B=255]
2400,Color [A=255, R=0, G=0, B=0]
2520,Color [A=255, R=255, G=255, B=255]
2560,Color [A=255, R=0, G=0, B=0]
2600,Color [A=255, R=255, G=255, B=255]
2640,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2960,Color [A=255, R=255, G=255, B=255]
3000,Color [A=255, R=0, G=0, B=0]
3040,Color [A=255, R=255, G=255, B=255]
3120,Color [A=255, R=0, G=0, B=0]
3200,Color [A=255, R=255, G=255, B=255]
3320,Color [A=255, R=0, G=0, B=0]
3480,Color [A=255, R=255, G=255, B=255]
3560,Color [A=255, R=0, G=0, B=0]
3600,Color [A=255, R=255, G=255, B=255]
3640,Color [A=255, R=0, G=0, B=0]
3840,Color [A=255, R=255, G=255, B=255]
3920,Color [A=255, R=0, G=0, B=0]
4040,Color [A=255, R=255, G=255, B=255]
4120,Color [A=255, R=0, G=0, B=0]
4280,Color [A=255, R=255, G=255, B=255]
4320,Color [A=255, R=0, G=0, B=0]
4480,Color [A=255, R=255, G=255, B=255]
4520,Color [A=255, R=0, G=0, B=0]
4600,Color [A=255, R=255, G=255, B=255]
4640,Color [A=255, R=0, G=0, B=0]
4680,Color [A=255, R=255, G=255, B=255]
4720,Color [A=255, R=0, G=0, B=0]
4760,Color [A=255, R=255, G=255, B=255]
4840,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5240,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
5680,Color [A=255, R=255, G=255, B=255]
5720,Color [A=255, R=0, G=0, B=0]
5840,Color [A=255, R=255, G=255, B=255]
5960,Color [A=255, R=0, G=0, B=0]
6040,Color [A=255, R=255, G=255, B=255]
6080,Color [A=255, R=0, G=0, B=0]
6440,Color [A=255, R=255, G=255, B=255]
6480,Color [A=255, R=0, G=0, B=0]
6520,Color [A=255, R=255, G=255, B=255]
6560,Color [A=255, R=0, G=0, B=0]
6640,Color [A=255, R=255, G=255, B=255]
6680,Color [A=255, R=0, G=0, B=0]
6800,Color [A=255, R=255, G=255, B=255]
6840,Color [A=255, R=0, G=0, B=0]
6880,Color [A=255, R=255, G=255, B=255]
6920,Color [A=255, R=0, G=0, B=0]
6960,Color [A=255, R=255, G=255, B=255]
7000,Color [A=255, R=0, G=0, B=0]
7200,Color [A=255, R=255, G=255, B=255]
7240,Color [A=255, R=0, G=0, B=0]
7400,Color [A=255, R=255, G=255, B=255]
7480,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7600,Color [A=255, R=0, G=0, B=0]
8040,Color [A=255, R=255, G=255, B=255]
8200,Color [A=255, R=0, G=0, B=0]
8240,Color [A=255, R=255, G=255, B=255]
8280,Color [A=255, R=0, G=0, B=0]
8400,Color [A=255, R=255, G=255, B=255]
8480,Color [A=255, R=0, G=0, B=0]
8520,Color [A=255, R=255, G=255, B=255]
8560,Color [A=255, R=0, G=0, B=0]
8600,Color [A=255, R=255, G=255, B=255]
8640,Color [A=255, R=0, G=0, B=0]
8680,Color [A=255, R=255, G=255, B=255]
8800,Color [A=255, R=0, G=0, B=0]
8920,Color [A=255, R=255, G=255, B=255]
9000,Color [A=255, R=0, G=0, B=0]
9040,Color [A=255, R=255, G=255, B=255]
9080,Color [A=255, R=0, G=0, B=0]
9160,Color [A=255, R=255, G=255, B=255]
9240,Color [A=255, R=0, G=0, B=0]
9320,Color [A=255, R=255, G=255, B=255]
9360,Color [A=255, R=0, G=0, B=0]
9400,Color [A=255, R=255, G=255, B=255]
9440,Color [A=255, R=0, G=0, B=0]
9480,Color [A=255, R=255, G=255, B=255]
9560,Color [A=255, R=0, G=0, B=0]
9640,Color [A=255, R=255, G=255, B=255]
9760,Color [A=255, R=0, G=0, B=0]
9880,Color [A=255, R=255, G=255, B=255]
9920,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
10160,Color [A=255, R=255, G=255, B=255]
10200,Color [A=255, R=0, G=0, B=0]
10440,Color [A=255, R=255, G=255, B=255]
10520,Color [A=255, R=0, G=0, B=0]
10640,Color [A=255, R=255, G=255, B=255]
10680,Color [A=255, R=0, G=0, B=0]
10920,Color [A=255, R=255, G=255, B=255]
10960,Color [A=255, R=0, G=0, B=0]
11000,Color [A=255, R=255, G=255, B=255]
11040,Color [A=255, R=0, G=0, B=0]
11120,Color [A=255, R=255, G=255, B=255]
11160,Color [A=255, R=0, G=0, B=0]
11520,Color [A=255, R=255, G=255, B=255]
11640,Color [A=255, R=0, G=0, B=0]
11680,Color [A=255, R=255, G=255, B=255]
11720,Color [A=255, R=0, G=0, B=0]
12080,Color [A=255, R=255, G=255, B=255]
12120,Color [A=255, R=0, G=0, B=0]
12160,Color [A=255, R=255, G=255, B=255]
12240,Color [A=255, R=0, G=0, B=0]
12360,Color [A=255, R=255, G=255, B=255]
12400,Color [A=255, R=0, G=0, B=0]
12440,Color [A=255, R=255, G=255, B=255]
12480,Color [A=255, R=0, G=0, B=0]
12520,Color [A=255, R=255, G=255, B=255]
12560,Color [A=255, R=0, G=0, B=0]
12720,Color [A=255, R=255, G=255, B=255]
12760,Color [A=255, R=0, G=0, B=0]
12800,Color [A=255, R=255, G=255, B=255]
12840,Color [A=255, R=0, G=0, B=0]
12960,Color [A=255, R=255, G=255, B=255]
13000,Color [A=255, R=0, G=0, B=0]
13040,Color [A=255, R=255, G=255, B=255]
13080,Color [A=255, R=0, G=0, B=0]
13120,Color [A=255, R=255, G=255, B=255]
13160,Color [A=255, R=0, G=0, B=0]
13200,Color [A=255, R=255, G=255, B=255]
13240,Color [A=255, R=0, G=0, B=0]
13440,Color [A=255, R=255, G=255, B=255]
13480,Color [A=255, R=0, G=0, B=0]
13520,Color [A=255, R=255, G=255, B=255]
13560,Color [A=255, R=0, G=0, B=0]
13680,Color [A=255, R=255, G=255, B=255]
13720,Color [A=255, R=0, G=0, B=0]
13840,Color [A=255, R=255, G=255, B=255]
