40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
66080,Color [A=255, R=255, G=255, B=255]
131600,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=255, G=255, B=255]
179720,Color [A=255, R=0, G=0, B=0]
245240,Color [A=255, R=255, G=255, B=255]
251640,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
317200,Color [A=255, R=255, G=255, B=255]
382720,Color [A=255, R=255, G=255, B=255]
414080,Color [A=255, R=255, G=255, B=255]
414120,Color [A=255, R=0, G=0, B=0]
479640,Color [A=255, R=255, G=255, B=255]
545160,Color [A=255, R=255, G=255, B=255]
610680,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=255, G=255, B=255]
649920,Color [A=255, R=0, G=0, B=0]
703680,Color [A=255, R=255, G=255, B=255]
703720,Color [A=255, R=0, G=0, B=0]
769240,Color [A=255, R=255, G=255, B=255]
806400,Color [A=255, R=255, G=255, B=255]
806440,Color [A=255, R=0, G=0, B=0]
871960,Color [A=255, R=255, G=255, B=255]
937480,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=255, G=255, B=255]
992960,Color [A=255, R=0, G=0, B=0]
993040,Color [A=255, R=255, G=255, B=255]
993080,Color [A=255, R=0, G=0, B=0]
1058600,Color [A=255, R=255, G=255, B=255]
1104360,Color [A=255, R=255, G=255, B=255]
1104400,Color [A=255, R=0, G=0, B=0]
1169920,Color [A=255, R=255, G=255, B=255]
1213600,Color [A=255, R=255, G=255, B=255]
1213640,Color [A=255, R=0, G=0, B=0]
1279160,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=255, G=255, B=255]
1293280,Color [A=255, R=0, G=0, B=0]
1358800,Color [A=255, R=255, G=255, B=255]
1424320,Color [A=255, R=255, G=255, B=255]
1489840,Color [A=255, R=255, G=255, B=255]
1555360,Color [A=255, R=255, G=255, B=255]
1566320,Color [A=255, R=255, G=255, B=255]
1566360,Color [A=255, R=0, G=0, B=0]
1631880,Color [A=255, R=255, G=255, B=255]
1697400,Color [A=255, R=255, G=255, B=255]
1734200,Color [A=255, R=255, G=255, B=255]
1734240,Color [A=255, R=0, G=0, B=0]
1799760,Color [A=255, R=255, G=255, B=255]
1865280,Color [A=255, R=255, G=255, B=255]
1930800,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
