40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
39640,Color [A=255, R=255, G=255, B=255]
39680,Color [A=255, R=0, G=0, B=0]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
88560,Color [A=255, R=255, G=255, B=255]
88600,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
136920,Color [A=255, R=255, G=255, B=255]
136960,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
179880,Color [A=255, R=255, G=255, B=255]
179920,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
198960,Color [A=255, R=255, G=255, B=255]
199000,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
203480,Color [A=255, R=255, G=255, B=255]
203520,Color [A=255, R=0, G=0, B=0]
204920,Color [A=255, R=255, G=255, B=255]
204960,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
251640,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
252840,Color [A=255, R=255, G=255, B=255]
252880,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
383480,Color [A=255, R=255, G=255, B=255]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
415960,Color [A=255, R=255, G=255, B=255]
416000,Color [A=255, R=0, G=0, B=0]
431440,Color [A=255, R=255, G=255, B=255]
431480,Color [A=255, R=0, G=0, B=0]
441040,Color [A=255, R=255, G=255, B=255]
441080,Color [A=255, R=0, G=0, B=0]
443040,Color [A=255, R=255, G=255, B=255]
443080,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
514920,Color [A=255, R=255, G=255, B=255]
514960,Color [A=255, R=0, G=0, B=0]
538440,Color [A=255, R=255, G=255, B=255]
538480,Color [A=255, R=0, G=0, B=0]
547680,Color [A=255, R=255, G=255, B=255]
547720,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
574640,Color [A=255, R=255, G=255, B=255]
574680,Color [A=255, R=0, G=0, B=0]
589600,Color [A=255, R=255, G=255, B=255]
589640,Color [A=255, R=0, G=0, B=0]
598360,Color [A=255, R=255, G=255, B=255]
598400,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
612200,Color [A=255, R=255, G=255, B=255]
612240,Color [A=255, R=0, G=0, B=0]
617560,Color [A=255, R=255, G=255, B=255]
617600,Color [A=255, R=0, G=0, B=0]
619520,Color [A=255, R=255, G=255, B=255]
619560,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
704600,Color [A=255, R=255, G=255, B=255]
704640,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
719720,Color [A=255, R=255, G=255, B=255]
719760,Color [A=255, R=0, G=0, B=0]
724640,Color [A=255, R=255, G=255, B=255]
724680,Color [A=255, R=0, G=0, B=0]
725920,Color [A=255, R=255, G=255, B=255]
725960,Color [A=255, R=0, G=0, B=0]
728520,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
760680,Color [A=255, R=255, G=255, B=255]
760720,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
844880,Color [A=255, R=255, G=255, B=255]
848200,Color [A=255, R=255, G=255, B=255]
848240,Color [A=255, R=0, G=0, B=0]
852360,Color [A=255, R=255, G=255, B=255]
852400,Color [A=255, R=0, G=0, B=0]
852680,Color [A=255, R=255, G=255, B=255]
852720,Color [A=255, R=0, G=0, B=0]
855160,Color [A=255, R=255, G=255, B=255]
855200,Color [A=255, R=0, G=0, B=0]
860240,Color [A=255, R=255, G=255, B=255]
860280,Color [A=255, R=0, G=0, B=0]
862680,Color [A=255, R=255, G=255, B=255]
862720,Color [A=255, R=0, G=0, B=0]
872000,Color [A=255, R=255, G=255, B=255]
872040,Color [A=255, R=0, G=0, B=0]
881160,Color [A=255, R=255, G=255, B=255]
881200,Color [A=255, R=0, G=0, B=0]
881720,Color [A=255, R=255, G=255, B=255]
881760,Color [A=255, R=0, G=0, B=0]
882000,Color [A=255, R=255, G=255, B=255]
882040,Color [A=255, R=0, G=0, B=0]
882520,Color [A=255, R=255, G=255, B=255]
882560,Color [A=255, R=0, G=0, B=0]
882640,Color [A=255, R=255, G=255, B=255]
882680,Color [A=255, R=0, G=0, B=0]
883400,Color [A=255, R=255, G=255, B=255]
883440,Color [A=255, R=0, G=0, B=0]
883800,Color [A=255, R=255, G=255, B=255]
883840,Color [A=255, R=0, G=0, B=0]
887400,Color [A=255, R=255, G=255, B=255]
887440,Color [A=255, R=0, G=0, B=0]
896960,Color [A=255, R=255, G=255, B=255]
897000,Color [A=255, R=0, G=0, B=0]
904360,Color [A=255, R=255, G=255, B=255]
904400,Color [A=255, R=0, G=0, B=0]
911000,Color [A=255, R=255, G=255, B=255]
911040,Color [A=255, R=0, G=0, B=0]
911320,Color [A=255, R=255, G=255, B=255]
911360,Color [A=255, R=0, G=0, B=0]
919760,Color [A=255, R=255, G=255, B=255]
919800,Color [A=255, R=0, G=0, B=0]
921480,Color [A=255, R=255, G=255, B=255]
921520,Color [A=255, R=0, G=0, B=0]
927160,Color [A=255, R=255, G=255, B=255]
927200,Color [A=255, R=0, G=0, B=0]
927480,Color [A=255, R=255, G=255, B=255]
927520,Color [A=255, R=0, G=0, B=0]
927880,Color [A=255, R=255, G=255, B=255]
927920,Color [A=255, R=0, G=0, B=0]
930400,Color [A=255, R=255, G=255, B=255]
930440,Color [A=255, R=0, G=0, B=0]
933560,Color [A=255, R=255, G=255, B=255]
933600,Color [A=255, R=0, G=0, B=0]
933720,Color [A=255, R=255, G=255, B=255]
933760,Color [A=255, R=0, G=0, B=0]
934080,Color [A=255, R=255, G=255, B=255]
934120,Color [A=255, R=0, G=0, B=0]
938760,Color [A=255, R=255, G=255, B=255]
938800,Color [A=255, R=0, G=0, B=0]
944080,Color [A=255, R=255, G=255, B=255]
944120,Color [A=255, R=0, G=0, B=0]
944400,Color [A=255, R=255, G=255, B=255]
944440,Color [A=255, R=0, G=0, B=0]
961720,Color [A=255, R=255, G=255, B=255]
961760,Color [A=255, R=0, G=0, B=0]
963200,Color [A=255, R=255, G=255, B=255]
963240,Color [A=255, R=0, G=0, B=0]
992880,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
993600,Color [A=255, R=255, G=255, B=255]
993640,Color [A=255, R=0, G=0, B=0]
998560,Color [A=255, R=255, G=255, B=255]
998600,Color [A=255, R=0, G=0, B=0]
1001720,Color [A=255, R=255, G=255, B=255]
1001760,Color [A=255, R=0, G=0, B=0]
1002520,Color [A=255, R=255, G=255, B=255]
1002560,Color [A=255, R=0, G=0, B=0]
1015080,Color [A=255, R=255, G=255, B=255]
1015120,Color [A=255, R=0, G=0, B=0]
1016040,Color [A=255, R=255, G=255, B=255]
1016080,Color [A=255, R=0, G=0, B=0]
1021000,Color [A=255, R=255, G=255, B=255]
1021040,Color [A=255, R=0, G=0, B=0]
1027120,Color [A=255, R=255, G=255, B=255]
1027160,Color [A=255, R=0, G=0, B=0]
1038920,Color [A=255, R=255, G=255, B=255]
1038960,Color [A=255, R=0, G=0, B=0]
1041400,Color [A=255, R=255, G=255, B=255]
1041440,Color [A=255, R=0, G=0, B=0]
1042120,Color [A=255, R=255, G=255, B=255]
1042160,Color [A=255, R=0, G=0, B=0]
1043880,Color [A=255, R=255, G=255, B=255]
1043920,Color [A=255, R=0, G=0, B=0]
1046840,Color [A=255, R=255, G=255, B=255]
1046880,Color [A=255, R=0, G=0, B=0]
1074040,Color [A=255, R=255, G=255, B=255]
1074080,Color [A=255, R=0, G=0, B=0]
1075040,Color [A=255, R=255, G=255, B=255]
1075080,Color [A=255, R=0, G=0, B=0]
1080760,Color [A=255, R=255, G=255, B=255]
1080800,Color [A=255, R=0, G=0, B=0]
1084920,Color [A=255, R=255, G=255, B=255]
1084960,Color [A=255, R=0, G=0, B=0]
1120880,Color [A=255, R=255, G=255, B=255]
1120920,Color [A=255, R=0, G=0, B=0]
1148320,Color [A=255, R=255, G=255, B=255]
1148360,Color [A=255, R=0, G=0, B=0]
1155680,Color [A=255, R=255, G=255, B=255]
1155720,Color [A=255, R=0, G=0, B=0]
1156000,Color [A=255, R=255, G=255, B=255]
1156040,Color [A=255, R=0, G=0, B=0]
1163240,Color [A=255, R=255, G=255, B=255]
1163280,Color [A=255, R=0, G=0, B=0]
1167960,Color [A=255, R=255, G=255, B=255]
1168000,Color [A=255, R=0, G=0, B=0]
1169680,Color [A=255, R=255, G=255, B=255]
1169720,Color [A=255, R=0, G=0, B=0]
1194440,Color [A=255, R=255, G=255, B=255]
1194480,Color [A=255, R=0, G=0, B=0]
1198240,Color [A=255, R=255, G=255, B=255]
1198280,Color [A=255, R=0, G=0, B=0]
1209560,Color [A=255, R=255, G=255, B=255]
1209600,Color [A=255, R=0, G=0, B=0]
1213920,Color [A=255, R=255, G=255, B=255]
1213960,Color [A=255, R=0, G=0, B=0]
1224080,Color [A=255, R=255, G=255, B=255]
1224120,Color [A=255, R=0, G=0, B=0]
1249840,Color [A=255, R=255, G=255, B=255]
1249880,Color [A=255, R=0, G=0, B=0]
1255840,Color [A=255, R=255, G=255, B=255]
1255880,Color [A=255, R=0, G=0, B=0]
1257040,Color [A=255, R=255, G=255, B=255]
1257080,Color [A=255, R=0, G=0, B=0]
1269000,Color [A=255, R=255, G=255, B=255]
1269040,Color [A=255, R=0, G=0, B=0]
1281680,Color [A=255, R=255, G=255, B=255]
1281720,Color [A=255, R=0, G=0, B=0]
1284400,Color [A=255, R=255, G=255, B=255]
1284440,Color [A=255, R=0, G=0, B=0]
1291080,Color [A=255, R=255, G=255, B=255]
1291120,Color [A=255, R=0, G=0, B=0]
1291400,Color [A=255, R=255, G=255, B=255]
1291440,Color [A=255, R=0, G=0, B=0]
1293200,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1294080,Color [A=255, R=255, G=255, B=255]
1294120,Color [A=255, R=0, G=0, B=0]
1303520,Color [A=255, R=255, G=255, B=255]
1303560,Color [A=255, R=0, G=0, B=0]
1306360,Color [A=255, R=255, G=255, B=255]
1306400,Color [A=255, R=0, G=0, B=0]
1342720,Color [A=255, R=255, G=255, B=255]
1342760,Color [A=255, R=0, G=0, B=0]
1398240,Color [A=255, R=255, G=255, B=255]
1398280,Color [A=255, R=0, G=0, B=0]
1409480,Color [A=255, R=255, G=255, B=255]
1409520,Color [A=255, R=0, G=0, B=0]
1421680,Color [A=255, R=255, G=255, B=255]
1421720,Color [A=255, R=0, G=0, B=0]
1487240,Color [A=255, R=255, G=255, B=255]
1552760,Color [A=255, R=255, G=255, B=255]
1577000,Color [A=255, R=255, G=255, B=255]
1577040,Color [A=255, R=0, G=0, B=0]
1585400,Color [A=255, R=255, G=255, B=255]
1585440,Color [A=255, R=0, G=0, B=0]
1594360,Color [A=255, R=255, G=255, B=255]
1594400,Color [A=255, R=0, G=0, B=0]
1615600,Color [A=255, R=255, G=255, B=255]
1615640,Color [A=255, R=0, G=0, B=0]
1615840,Color [A=255, R=255, G=255, B=255]
1615880,Color [A=255, R=0, G=0, B=0]
1619080,Color [A=255, R=255, G=255, B=255]
1619120,Color [A=255, R=0, G=0, B=0]
1621720,Color [A=255, R=255, G=255, B=255]
1621760,Color [A=255, R=0, G=0, B=0]
1630760,Color [A=255, R=255, G=255, B=255]
