40,Color [A=255, R=255, G=206, B=31]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
88560,Color [A=255, R=255, G=255, B=255]
88600,Color [A=255, R=0, G=0, B=0]
136920,Color [A=255, R=255, G=255, B=255]
136960,Color [A=255, R=0, G=0, B=0]
202480,Color [A=255, R=255, G=255, B=255]
268000,Color [A=255, R=255, G=255, B=255]
333520,Color [A=255, R=255, G=255, B=255]
399040,Color [A=255, R=255, G=255, B=255]
464560,Color [A=255, R=255, G=255, B=255]
530080,Color [A=255, R=255, G=255, B=255]
595600,Color [A=255, R=255, G=255, B=255]
661120,Color [A=255, R=255, G=255, B=255]
726640,Color [A=255, R=255, G=255, B=255]
792160,Color [A=255, R=255, G=255, B=255]
857680,Color [A=255, R=255, G=255, B=255]
923200,Color [A=255, R=255, G=255, B=255]
974480,Color [A=255, R=255, G=255, B=255]
974520,Color [A=255, R=0, G=0, B=0]
1040040,Color [A=255, R=255, G=255, B=255]
1105560,Color [A=255, R=255, G=255, B=255]
1171080,Color [A=255, R=255, G=255, B=255]
1236600,Color [A=255, R=255, G=255, B=255]
1302120,Color [A=255, R=255, G=255, B=255]
1367640,Color [A=255, R=255, G=255, B=255]
1428080,Color [A=255, R=255, G=255, B=255]
1428720,Color [A=255, R=0, G=0, B=0]
1440880,Color [A=255, R=255, G=255, B=255]
1440920,Color [A=255, R=0, G=0, B=0]
1461520,Color [A=255, R=255, G=255, B=255]
1461560,Color [A=255, R=0, G=0, B=0]
1490120,Color [A=255, R=255, G=255, B=255]
1490160,Color [A=255, R=0, G=0, B=0]
1492520,Color [A=255, R=255, G=255, B=255]
1492560,Color [A=255, R=0, G=0, B=0]
1496000,Color [A=255, R=255, G=255, B=255]
1496040,Color [A=255, R=0, G=0, B=0]
1499000,Color [A=255, R=255, G=255, B=255]
1499040,Color [A=255, R=0, G=0, B=0]
1528600,Color [A=255, R=255, G=255, B=255]
1528640,Color [A=255, R=0, G=0, B=0]
1547600,Color [A=255, R=255, G=255, B=255]
1547640,Color [A=255, R=0, G=0, B=0]
1555240,Color [A=255, R=255, G=255, B=255]
1555280,Color [A=255, R=0, G=0, B=0]
1620800,Color [A=255, R=255, G=255, B=255]
1686320,Color [A=255, R=255, G=255, B=255]
1751840,Color [A=255, R=255, G=255, B=255]
1812680,Color [A=255, R=255, G=255, B=255]
1812720,Color [A=255, R=0, G=0, B=0]
1878240,Color [A=255, R=255, G=255, B=255]
1918360,Color [A=255, R=255, G=255, B=255]
1918400,Color [A=255, R=0, G=0, B=0]
1962200,Color [A=255, R=255, G=255, B=255]
1962240,Color [A=255, R=0, G=0, B=0]
1968480,Color [A=255, R=255, G=255, B=255]
