40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
22960,Color [A=255, R=255, G=255, B=255]
23000,Color [A=255, R=0, G=0, B=0]
25320,Color [A=255, R=255, G=255, B=255]
25360,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
29160,Color [A=255, R=255, G=255, B=255]
29200,Color [A=255, R=0, G=0, B=0]
29920,Color [A=255, R=255, G=255, B=255]
29960,Color [A=255, R=0, G=0, B=0]
36480,Color [A=255, R=255, G=255, B=255]
36520,Color [A=255, R=0, G=0, B=0]
41840,Color [A=255, R=255, G=255, B=255]
41880,Color [A=255, R=0, G=0, B=0]
46160,Color [A=255, R=255, G=255, B=255]
46200,Color [A=255, R=0, G=0, B=0]
48560,Color [A=255, R=255, G=255, B=255]
48600,Color [A=255, R=0, G=0, B=0]
54560,Color [A=255, R=255, G=255, B=255]
54600,Color [A=255, R=0, G=0, B=0]
58560,Color [A=255, R=255, G=255, B=255]
58600,Color [A=255, R=0, G=0, B=0]
58920,Color [A=255, R=255, G=255, B=255]
58960,Color [A=255, R=0, G=0, B=0]
59120,Color [A=255, R=255, G=255, B=255]
59160,Color [A=255, R=0, G=0, B=0]
59800,Color [A=255, R=255, G=255, B=255]
59840,Color [A=255, R=0, G=0, B=0]
61440,Color [A=255, R=255, G=255, B=255]
61480,Color [A=255, R=0, G=0, B=0]
63880,Color [A=255, R=255, G=255, B=255]
63920,Color [A=255, R=0, G=0, B=0]
69000,Color [A=255, R=255, G=255, B=255]
69040,Color [A=255, R=0, G=0, B=0]
70640,Color [A=255, R=255, G=255, B=255]
70680,Color [A=255, R=0, G=0, B=0]
84640,Color [A=255, R=255, G=255, B=255]
84680,Color [A=255, R=0, G=0, B=0]
85120,Color [A=255, R=255, G=255, B=255]
85160,Color [A=255, R=0, G=0, B=0]
86800,Color [A=255, R=255, G=255, B=255]
86840,Color [A=255, R=0, G=0, B=0]
88720,Color [A=255, R=255, G=255, B=255]
88760,Color [A=255, R=0, G=0, B=0]
93280,Color [A=255, R=255, G=255, B=255]
93320,Color [A=255, R=0, G=0, B=0]
101240,Color [A=255, R=255, G=255, B=255]
101280,Color [A=255, R=0, G=0, B=0]
101760,Color [A=255, R=255, G=255, B=255]
101800,Color [A=255, R=0, G=0, B=0]
102120,Color [A=255, R=255, G=255, B=255]
102160,Color [A=255, R=0, G=0, B=0]
109880,Color [A=255, R=255, G=255, B=255]
109920,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
113480,Color [A=255, R=255, G=255, B=255]
113520,Color [A=255, R=0, G=0, B=0]
116920,Color [A=255, R=255, G=255, B=255]
116960,Color [A=255, R=0, G=0, B=0]
119680,Color [A=255, R=255, G=255, B=255]
119720,Color [A=255, R=0, G=0, B=0]
126600,Color [A=255, R=255, G=255, B=255]
126640,Color [A=255, R=0, G=0, B=0]
128360,Color [A=255, R=255, G=255, B=255]
128400,Color [A=255, R=0, G=0, B=0]
129160,Color [A=255, R=255, G=255, B=255]
129200,Color [A=255, R=0, G=0, B=0]
130120,Color [A=255, R=255, G=255, B=255]
130160,Color [A=255, R=0, G=0, B=0]
134800,Color [A=255, R=255, G=255, B=255]
134840,Color [A=255, R=0, G=0, B=0]
136000,Color [A=255, R=255, G=255, B=255]
136040,Color [A=255, R=0, G=0, B=0]
137160,Color [A=255, R=255, G=255, B=255]
137200,Color [A=255, R=0, G=0, B=0]
137320,Color [A=255, R=255, G=255, B=255]
137360,Color [A=255, R=0, G=0, B=0]
142400,Color [A=255, R=255, G=255, B=255]
142440,Color [A=255, R=0, G=0, B=0]
147160,Color [A=255, R=255, G=255, B=255]
147200,Color [A=255, R=0, G=0, B=0]
150160,Color [A=255, R=255, G=255, B=255]
150200,Color [A=255, R=0, G=0, B=0]
151480,Color [A=255, R=255, G=255, B=255]
151520,Color [A=255, R=0, G=0, B=0]
153840,Color [A=255, R=255, G=255, B=255]
153880,Color [A=255, R=0, G=0, B=0]
155600,Color [A=255, R=255, G=255, B=255]
155640,Color [A=255, R=0, G=0, B=0]
158680,Color [A=255, R=255, G=255, B=255]
158720,Color [A=255, R=0, G=0, B=0]
171520,Color [A=255, R=255, G=255, B=255]
171560,Color [A=255, R=0, G=0, B=0]
174200,Color [A=255, R=255, G=255, B=255]
174240,Color [A=255, R=0, G=0, B=0]
176160,Color [A=255, R=255, G=255, B=255]
176200,Color [A=255, R=0, G=0, B=0]
178120,Color [A=255, R=255, G=255, B=255]
178160,Color [A=255, R=0, G=0, B=0]
178360,Color [A=255, R=255, G=255, B=255]
178400,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
186960,Color [A=255, R=255, G=255, B=255]
187000,Color [A=255, R=0, G=0, B=0]
187520,Color [A=255, R=255, G=255, B=255]
187560,Color [A=255, R=0, G=0, B=0]
189360,Color [A=255, R=255, G=255, B=255]
189400,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
190560,Color [A=255, R=255, G=255, B=255]
190600,Color [A=255, R=0, G=0, B=0]
194880,Color [A=255, R=255, G=255, B=255]
194920,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
196840,Color [A=255, R=255, G=255, B=255]
196880,Color [A=255, R=0, G=0, B=0]
199440,Color [A=255, R=255, G=255, B=255]
199480,Color [A=255, R=0, G=0, B=0]
200120,Color [A=255, R=255, G=255, B=255]
200160,Color [A=255, R=0, G=0, B=0]
204040,Color [A=255, R=255, G=255, B=255]
204080,Color [A=255, R=0, G=0, B=0]
210720,Color [A=255, R=255, G=255, B=255]
210760,Color [A=255, R=0, G=0, B=0]
212320,Color [A=255, R=255, G=255, B=255]
212360,Color [A=255, R=0, G=0, B=0]
213080,Color [A=255, R=255, G=255, B=255]
213120,Color [A=255, R=0, G=0, B=0]
215400,Color [A=255, R=255, G=255, B=255]
215440,Color [A=255, R=0, G=0, B=0]
216040,Color [A=255, R=255, G=255, B=255]
216080,Color [A=255, R=0, G=0, B=0]
216240,Color [A=255, R=255, G=255, B=255]
216280,Color [A=255, R=0, G=0, B=0]
216880,Color [A=255, R=255, G=255, B=255]
216920,Color [A=255, R=0, G=0, B=0]
216960,Color [A=255, R=255, G=255, B=255]
217000,Color [A=255, R=0, G=0, B=0]
217400,Color [A=255, R=255, G=255, B=255]
217440,Color [A=255, R=0, G=0, B=0]
221600,Color [A=255, R=255, G=255, B=255]
221640,Color [A=255, R=0, G=0, B=0]
222800,Color [A=255, R=255, G=255, B=255]
222840,Color [A=255, R=0, G=0, B=0]
226240,Color [A=255, R=255, G=255, B=255]
226280,Color [A=255, R=0, G=0, B=0]
226480,Color [A=255, R=255, G=255, B=255]
226520,Color [A=255, R=0, G=0, B=0]
227600,Color [A=255, R=255, G=255, B=255]
227640,Color [A=255, R=0, G=0, B=0]
238480,Color [A=255, R=255, G=255, B=255]
238520,Color [A=255, R=0, G=0, B=0]
239800,Color [A=255, R=255, G=255, B=255]
239840,Color [A=255, R=0, G=0, B=0]
241960,Color [A=255, R=255, G=255, B=255]
242000,Color [A=255, R=0, G=0, B=0]
243800,Color [A=255, R=255, G=255, B=255]
243840,Color [A=255, R=0, G=0, B=0]
245120,Color [A=255, R=255, G=255, B=255]
245160,Color [A=255, R=0, G=0, B=0]
245520,Color [A=255, R=255, G=255, B=255]
245560,Color [A=255, R=0, G=0, B=0]
248000,Color [A=255, R=255, G=255, B=255]
248040,Color [A=255, R=0, G=0, B=0]
250360,Color [A=255, R=255, G=255, B=255]
250400,Color [A=255, R=0, G=0, B=0]
258200,Color [A=255, R=255, G=255, B=255]
258240,Color [A=255, R=0, G=0, B=0]
261680,Color [A=255, R=255, G=255, B=255]
261720,Color [A=255, R=0, G=0, B=0]
262560,Color [A=255, R=255, G=255, B=255]
262600,Color [A=255, R=0, G=0, B=0]
268000,Color [A=255, R=255, G=255, B=255]
268040,Color [A=255, R=0, G=0, B=0]
268120,Color [A=255, R=255, G=255, B=255]
268160,Color [A=255, R=0, G=0, B=0]
271560,Color [A=255, R=255, G=255, B=255]
271600,Color [A=255, R=0, G=0, B=0]
271960,Color [A=255, R=255, G=255, B=255]
272000,Color [A=255, R=0, G=0, B=0]
272080,Color [A=255, R=255, G=255, B=255]
272120,Color [A=255, R=0, G=0, B=0]
276840,Color [A=255, R=255, G=255, B=255]
276880,Color [A=255, R=0, G=0, B=0]
277360,Color [A=255, R=255, G=255, B=255]
277400,Color [A=255, R=0, G=0, B=0]
280240,Color [A=255, R=255, G=255, B=255]
280280,Color [A=255, R=0, G=0, B=0]
282480,Color [A=255, R=255, G=255, B=255]
282520,Color [A=255, R=0, G=0, B=0]
285640,Color [A=255, R=255, G=255, B=255]
285680,Color [A=255, R=0, G=0, B=0]
288120,Color [A=255, R=255, G=255, B=255]
288160,Color [A=255, R=0, G=0, B=0]
292440,Color [A=255, R=255, G=255, B=255]
292480,Color [A=255, R=0, G=0, B=0]
293240,Color [A=255, R=255, G=255, B=255]
293280,Color [A=255, R=0, G=0, B=0]
294400,Color [A=255, R=255, G=255, B=255]
294440,Color [A=255, R=0, G=0, B=0]
298400,Color [A=255, R=255, G=255, B=255]
298440,Color [A=255, R=0, G=0, B=0]
301200,Color [A=255, R=255, G=255, B=255]
301240,Color [A=255, R=0, G=0, B=0]
302120,Color [A=255, R=255, G=255, B=255]
302160,Color [A=255, R=0, G=0, B=0]
304720,Color [A=255, R=255, G=255, B=255]
304760,Color [A=255, R=0, G=0, B=0]
305680,Color [A=255, R=255, G=255, B=255]
305720,Color [A=255, R=0, G=0, B=0]
