40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
131360,Color [A=255, R=255, G=255, B=255]
196880,Color [A=255, R=255, G=255, B=255]
262400,Color [A=255, R=255, G=255, B=255]
327920,Color [A=255, R=255, G=255, B=255]
393440,Color [A=255, R=255, G=255, B=255]
458960,Color [A=255, R=255, G=255, B=255]
524480,Color [A=255, R=255, G=255, B=255]
590000,Color [A=255, R=255, G=255, B=255]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
769200,Color [A=255, R=255, G=255, B=255]
834720,Color [A=255, R=255, G=255, B=255]
900240,Color [A=255, R=255, G=255, B=255]
965760,Color [A=255, R=255, G=255, B=255]
992880,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
1058440,Color [A=255, R=255, G=255, B=255]
1123960,Color [A=255, R=255, G=255, B=255]
1189480,Color [A=255, R=255, G=255, B=255]
1255000,Color [A=255, R=255, G=255, B=255]
1293200,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1358760,Color [A=255, R=255, G=255, B=255]
1424280,Color [A=255, R=255, G=255, B=255]
1489800,Color [A=255, R=255, G=255, B=255]
1555320,Color [A=255, R=255, G=255, B=255]
1620840,Color [A=255, R=255, G=255, B=255]
1686360,Color [A=255, R=255, G=255, B=255]
1695080,Color [A=255, R=255, G=255, B=255]
1695120,Color [A=255, R=0, G=0, B=0]
1760640,Color [A=255, R=255, G=255, B=255]
1826160,Color [A=255, R=255, G=255, B=255]
1891680,Color [A=255, R=255, G=255, B=255]
1957200,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
