40,Color [A=255, R=255, G=206, B=31]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
2080,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
5080,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
6120,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
12840,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
14240,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
23800,Color [A=255, R=255, G=255, B=255]
23840,Color [A=255, R=0, G=0, B=0]
24040,Color [A=255, R=255, G=255, B=255]
24080,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
25920,Color [A=255, R=255, G=255, B=255]
25960,Color [A=255, R=0, G=0, B=0]
26320,Color [A=255, R=255, G=255, B=255]
26360,Color [A=255, R=0, G=0, B=0]
29280,Color [A=255, R=255, G=255, B=255]
29320,Color [A=255, R=0, G=0, B=0]
30160,Color [A=255, R=255, G=255, B=255]
30200,Color [A=255, R=0, G=0, B=0]
34480,Color [A=255, R=255, G=255, B=255]
34520,Color [A=255, R=0, G=0, B=0]
34720,Color [A=255, R=255, G=255, B=255]
34760,Color [A=255, R=0, G=0, B=0]
34800,Color [A=255, R=255, G=255, B=255]
34840,Color [A=255, R=0, G=0, B=0]
34920,Color [A=255, R=255, G=255, B=255]
34960,Color [A=255, R=0, G=0, B=0]
35880,Color [A=255, R=255, G=255, B=255]
35920,Color [A=255, R=0, G=0, B=0]
37200,Color [A=255, R=255, G=255, B=255]
37240,Color [A=255, R=0, G=0, B=0]
38360,Color [A=255, R=255, G=255, B=255]
38400,Color [A=255, R=0, G=0, B=0]
38440,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
40720,Color [A=255, R=255, G=255, B=255]
40760,Color [A=255, R=0, G=0, B=0]
41960,Color [A=255, R=255, G=255, B=255]
42000,Color [A=255, R=0, G=0, B=0]
