40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
655240,Color [A=255, R=255, G=255, B=255]
704480,Color [A=255, R=255, G=255, B=255]
704520,Color [A=255, R=0, G=0, B=0]
770040,Color [A=255, R=255, G=255, B=255]
835560,Color [A=255, R=255, G=255, B=255]
901080,Color [A=255, R=255, G=255, B=255]
966600,Color [A=255, R=255, G=255, B=255]
993200,Color [A=255, R=255, G=255, B=255]
993240,Color [A=255, R=0, G=0, B=0]
1058760,Color [A=255, R=255, G=255, B=255]
1124280,Color [A=255, R=255, G=255, B=255]
1189800,Color [A=255, R=255, G=255, B=255]
1255320,Color [A=255, R=255, G=255, B=255]
1320840,Color [A=255, R=255, G=255, B=255]
1386360,Color [A=255, R=255, G=255, B=255]
1451880,Color [A=255, R=255, G=255, B=255]
1517400,Color [A=255, R=255, G=255, B=255]
1582920,Color [A=255, R=255, G=255, B=255]
1648440,Color [A=255, R=255, G=255, B=255]
1713960,Color [A=255, R=255, G=255, B=255]
1779480,Color [A=255, R=255, G=255, B=255]
1845000,Color [A=255, R=255, G=255, B=255]
1910520,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
