40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
1080,Color [A=255, R=255, G=255, B=255]
1160,Color [A=255, R=0, G=0, B=0]
3480,Color [A=255, R=255, G=255, B=255]
3560,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
8720,Color [A=255, R=255, G=255, B=255]
8760,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
10640,Color [A=255, R=255, G=255, B=255]
10680,Color [A=255, R=0, G=0, B=0]
12720,Color [A=255, R=255, G=255, B=255]
12760,Color [A=255, R=0, G=0, B=0]
14760,Color [A=255, R=255, G=255, B=255]
14800,Color [A=255, R=0, G=0, B=0]
15680,Color [A=255, R=255, G=255, B=255]
15720,Color [A=255, R=0, G=0, B=0]
23440,Color [A=255, R=255, G=255, B=255]
23480,Color [A=255, R=0, G=0, B=0]
23880,Color [A=255, R=255, G=255, B=255]
23920,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25800,Color [A=255, R=255, G=255, B=255]
25840,Color [A=255, R=0, G=0, B=0]
26400,Color [A=255, R=255, G=255, B=255]
26480,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
28600,Color [A=255, R=255, G=255, B=255]
28640,Color [A=255, R=0, G=0, B=0]
33640,Color [A=255, R=255, G=255, B=255]
33680,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
35080,Color [A=255, R=255, G=255, B=255]
35120,Color [A=255, R=0, G=0, B=0]
35520,Color [A=255, R=255, G=255, B=255]
35560,Color [A=255, R=0, G=0, B=0]
36680,Color [A=255, R=255, G=255, B=255]
36720,Color [A=255, R=0, G=0, B=0]
38080,Color [A=255, R=255, G=255, B=255]
38120,Color [A=255, R=0, G=0, B=0]
38480,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
38920,Color [A=255, R=255, G=255, B=255]
38960,Color [A=255, R=0, G=0, B=0]
39600,Color [A=255, R=255, G=255, B=255]
39760,Color [A=255, R=0, G=0, B=0]
42160,Color [A=255, R=255, G=255, B=255]
42200,Color [A=255, R=0, G=0, B=0]
43840,Color [A=255, R=255, G=255, B=255]
43880,Color [A=255, R=0, G=0, B=0]
44080,Color [A=255, R=255, G=255, B=255]
44120,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
45480,Color [A=255, R=255, G=255, B=255]
45520,Color [A=255, R=0, G=0, B=0]
47520,Color [A=255, R=255, G=255, B=255]
47560,Color [A=255, R=0, G=0, B=0]
48280,Color [A=255, R=255, G=255, B=255]
48320,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
52840,Color [A=255, R=255, G=255, B=255]
52880,Color [A=255, R=0, G=0, B=0]
54040,Color [A=255, R=255, G=255, B=255]
54080,Color [A=255, R=0, G=0, B=0]
55520,Color [A=255, R=255, G=255, B=255]
55560,Color [A=255, R=0, G=0, B=0]
58280,Color [A=255, R=255, G=255, B=255]
58320,Color [A=255, R=0, G=0, B=0]
58760,Color [A=255, R=255, G=255, B=255]
58800,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
62560,Color [A=255, R=255, G=255, B=255]
62600,Color [A=255, R=0, G=0, B=0]
63360,Color [A=255, R=255, G=255, B=255]
63400,Color [A=255, R=0, G=0, B=0]
63600,Color [A=255, R=255, G=255, B=255]
63640,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
65160,Color [A=255, R=255, G=255, B=255]
65200,Color [A=255, R=0, G=0, B=0]
65400,Color [A=255, R=255, G=255, B=255]
65440,Color [A=255, R=0, G=0, B=0]
66000,Color [A=255, R=255, G=255, B=255]
66040,Color [A=255, R=0, G=0, B=0]
67320,Color [A=255, R=255, G=255, B=255]
67360,Color [A=255, R=0, G=0, B=0]
67720,Color [A=255, R=255, G=255, B=255]
67760,Color [A=255, R=0, G=0, B=0]
68440,Color [A=255, R=255, G=255, B=255]
68480,Color [A=255, R=0, G=0, B=0]
69320,Color [A=255, R=255, G=255, B=255]
69360,Color [A=255, R=0, G=0, B=0]
69800,Color [A=255, R=255, G=255, B=255]
69840,Color [A=255, R=0, G=0, B=0]
70520,Color [A=255, R=255, G=255, B=255]
70560,Color [A=255, R=0, G=0, B=0]
72160,Color [A=255, R=255, G=255, B=255]
72200,Color [A=255, R=0, G=0, B=0]
72640,Color [A=255, R=255, G=255, B=255]
72680,Color [A=255, R=0, G=0, B=0]
73280,Color [A=255, R=255, G=255, B=255]
73320,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
79000,Color [A=255, R=255, G=255, B=255]
79040,Color [A=255, R=0, G=0, B=0]
79520,Color [A=255, R=255, G=255, B=255]
79560,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
