40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
22960,Color [A=255, R=255, G=255, B=255]
23000,Color [A=255, R=0, G=0, B=0]
25320,Color [A=255, R=255, G=255, B=255]
25360,Color [A=255, R=0, G=0, B=0]
29160,Color [A=255, R=255, G=255, B=255]
29200,Color [A=255, R=0, G=0, B=0]
29920,Color [A=255, R=255, G=255, B=255]
29960,Color [A=255, R=0, G=0, B=0]
36480,Color [A=255, R=255, G=255, B=255]
36520,Color [A=255, R=0, G=0, B=0]
41840,Color [A=255, R=255, G=255, B=255]
41880,Color [A=255, R=0, G=0, B=0]
46160,Color [A=255, R=255, G=255, B=255]
46200,Color [A=255, R=0, G=0, B=0]
48560,Color [A=255, R=255, G=255, B=255]
48600,Color [A=255, R=0, G=0, B=0]
54560,Color [A=255, R=255, G=255, B=255]
54600,Color [A=255, R=0, G=0, B=0]
58560,Color [A=255, R=255, G=255, B=255]
58600,Color [A=255, R=0, G=0, B=0]
58920,Color [A=255, R=255, G=255, B=255]
58960,Color [A=255, R=0, G=0, B=0]
59120,Color [A=255, R=255, G=255, B=255]
59160,Color [A=255, R=0, G=0, B=0]
59800,Color [A=255, R=255, G=255, B=255]
59840,Color [A=255, R=0, G=0, B=0]
61440,Color [A=255, R=255, G=255, B=255]
61480,Color [A=255, R=0, G=0, B=0]
63880,Color [A=255, R=255, G=255, B=255]
63920,Color [A=255, R=0, G=0, B=0]
69000,Color [A=255, R=255, G=255, B=255]
69040,Color [A=255, R=0, G=0, B=0]
70640,Color [A=255, R=255, G=255, B=255]
70680,Color [A=255, R=0, G=0, B=0]
84640,Color [A=255, R=255, G=255, B=255]
84680,Color [A=255, R=0, G=0, B=0]
85120,Color [A=255, R=255, G=255, B=255]
85160,Color [A=255, R=0, G=0, B=0]
86800,Color [A=255, R=255, G=255, B=255]
86840,Color [A=255, R=0, G=0, B=0]
88720,Color [A=255, R=255, G=255, B=255]
88760,Color [A=255, R=0, G=0, B=0]
93280,Color [A=255, R=255, G=255, B=255]
93320,Color [A=255, R=0, G=0, B=0]
101240,Color [A=255, R=255, G=255, B=255]
101280,Color [A=255, R=0, G=0, B=0]
101760,Color [A=255, R=255, G=255, B=255]
101800,Color [A=255, R=0, G=0, B=0]
102120,Color [A=255, R=255, G=255, B=255]
102160,Color [A=255, R=0, G=0, B=0]
109880,Color [A=255, R=255, G=255, B=255]
109920,Color [A=255, R=0, G=0, B=0]
113480,Color [A=255, R=255, G=255, B=255]
113520,Color [A=255, R=0, G=0, B=0]
116920,Color [A=255, R=255, G=255, B=255]
116960,Color [A=255, R=0, G=0, B=0]
119680,Color [A=255, R=255, G=255, B=255]
119720,Color [A=255, R=0, G=0, B=0]
126600,Color [A=255, R=255, G=255, B=255]
126640,Color [A=255, R=0, G=0, B=0]
128360,Color [A=255, R=255, G=255, B=255]
128400,Color [A=255, R=0, G=0, B=0]
129160,Color [A=255, R=255, G=255, B=255]
