40,Color [A=255, R=255, G=206, B=31]
6240,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
7600,Color [A=255, R=255, G=255, B=255]
7640,Color [A=255, R=0, G=0, B=0]
10520,Color [A=255, R=255, G=255, B=255]
10560,Color [A=255, R=0, G=0, B=0]
12640,Color [A=255, R=255, G=255, B=255]
12680,Color [A=255, R=0, G=0, B=0]
14640,Color [A=255, R=255, G=255, B=255]
14680,Color [A=255, R=0, G=0, B=0]
22400,Color [A=255, R=255, G=255, B=255]
22440,Color [A=255, R=0, G=0, B=0]
22840,Color [A=255, R=255, G=255, B=255]
22880,Color [A=255, R=0, G=0, B=0]
24960,Color [A=255, R=255, G=255, B=255]
25000,Color [A=255, R=0, G=0, B=0]
27320,Color [A=255, R=255, G=255, B=255]
27360,Color [A=255, R=0, G=0, B=0]
36120,Color [A=255, R=255, G=255, B=255]
36160,Color [A=255, R=0, G=0, B=0]
39200,Color [A=255, R=255, G=255, B=255]
39240,Color [A=255, R=0, G=0, B=0]
41640,Color [A=255, R=255, G=255, B=255]
41680,Color [A=255, R=0, G=0, B=0]
43560,Color [A=255, R=255, G=255, B=255]
43600,Color [A=255, R=0, G=0, B=0]
45720,Color [A=255, R=255, G=255, B=255]
45760,Color [A=255, R=0, G=0, B=0]
48880,Color [A=255, R=255, G=255, B=255]
48920,Color [A=255, R=0, G=0, B=0]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
50160,Color [A=255, R=255, G=255, B=255]
50200,Color [A=255, R=0, G=0, B=0]
50760,Color [A=255, R=255, G=255, B=255]
50800,Color [A=255, R=0, G=0, B=0]
53240,Color [A=255, R=255, G=255, B=255]
53280,Color [A=255, R=0, G=0, B=0]
54800,Color [A=255, R=255, G=255, B=255]
54840,Color [A=255, R=0, G=0, B=0]
56080,Color [A=255, R=255, G=255, B=255]
56120,Color [A=255, R=0, G=0, B=0]
58200,Color [A=255, R=255, G=255, B=255]
58240,Color [A=255, R=0, G=0, B=0]
59880,Color [A=255, R=255, G=255, B=255]
59920,Color [A=255, R=0, G=0, B=0]
60000,Color [A=255, R=255, G=255, B=255]
60040,Color [A=255, R=0, G=0, B=0]
60400,Color [A=255, R=255, G=255, B=255]
60440,Color [A=255, R=0, G=0, B=0]
63160,Color [A=255, R=255, G=255, B=255]
63200,Color [A=255, R=0, G=0, B=0]
68360,Color [A=255, R=255, G=255, B=255]
68400,Color [A=255, R=0, G=0, B=0]
69280,Color [A=255, R=255, G=255, B=255]
69320,Color [A=255, R=0, G=0, B=0]
74840,Color [A=255, R=255, G=255, B=255]
74880,Color [A=255, R=0, G=0, B=0]
76840,Color [A=255, R=255, G=255, B=255]
76880,Color [A=255, R=0, G=0, B=0]
78520,Color [A=255, R=255, G=255, B=255]
78560,Color [A=255, R=0, G=0, B=0]
79320,Color [A=255, R=255, G=255, B=255]
79360,Color [A=255, R=0, G=0, B=0]
80240,Color [A=255, R=255, G=255, B=255]
80280,Color [A=255, R=0, G=0, B=0]
80480,Color [A=255, R=255, G=255, B=255]
80520,Color [A=255, R=0, G=0, B=0]
80720,Color [A=255, R=255, G=255, B=255]
80760,Color [A=255, R=0, G=0, B=0]
82320,Color [A=255, R=255, G=255, B=255]
82360,Color [A=255, R=0, G=0, B=0]
83400,Color [A=255, R=255, G=255, B=255]
