40,Color [A=255, R=255, G=206, B=31]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
66160,Color [A=255, R=255, G=255, B=255]
131680,Color [A=255, R=255, G=255, B=255]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
245280,Color [A=255, R=255, G=255, B=255]
310800,Color [A=255, R=255, G=255, B=255]
376320,Color [A=255, R=255, G=255, B=255]
403520,Color [A=255, R=255, G=255, B=255]
403560,Color [A=255, R=0, G=0, B=0]
403640,Color [A=255, R=255, G=255, B=255]
403680,Color [A=255, R=0, G=0, B=0]
403720,Color [A=255, R=255, G=255, B=255]
403760,Color [A=255, R=0, G=0, B=0]
404160,Color [A=255, R=255, G=255, B=255]
404200,Color [A=255, R=0, G=0, B=0]
404360,Color [A=255, R=255, G=255, B=255]
404400,Color [A=255, R=0, G=0, B=0]
404440,Color [A=255, R=255, G=255, B=255]
404480,Color [A=255, R=0, G=0, B=0]
405320,Color [A=255, R=255, G=255, B=255]
405360,Color [A=255, R=0, G=0, B=0]
405720,Color [A=255, R=255, G=255, B=255]
405760,Color [A=255, R=0, G=0, B=0]
405840,Color [A=255, R=255, G=255, B=255]
405880,Color [A=255, R=0, G=0, B=0]
406320,Color [A=255, R=255, G=255, B=255]
406360,Color [A=255, R=0, G=0, B=0]
406680,Color [A=255, R=255, G=255, B=255]
406720,Color [A=255, R=0, G=0, B=0]
407160,Color [A=255, R=255, G=255, B=255]
407240,Color [A=255, R=0, G=0, B=0]
407680,Color [A=255, R=255, G=255, B=255]
407720,Color [A=255, R=0, G=0, B=0]
408000,Color [A=255, R=255, G=255, B=255]
408040,Color [A=255, R=0, G=0, B=0]
408440,Color [A=255, R=255, G=255, B=255]
408480,Color [A=255, R=0, G=0, B=0]
408680,Color [A=255, R=255, G=255, B=255]
408720,Color [A=255, R=0, G=0, B=0]
408960,Color [A=255, R=255, G=255, B=255]
409000,Color [A=255, R=0, G=0, B=0]
409040,Color [A=255, R=255, G=255, B=255]
409080,Color [A=255, R=0, G=0, B=0]
410320,Color [A=255, R=255, G=255, B=255]
410360,Color [A=255, R=0, G=0, B=0]
410440,Color [A=255, R=255, G=255, B=255]
410480,Color [A=255, R=0, G=0, B=0]
410880,Color [A=255, R=255, G=255, B=255]
410920,Color [A=255, R=0, G=0, B=0]
410960,Color [A=255, R=255, G=255, B=255]
411000,Color [A=255, R=0, G=0, B=0]
411240,Color [A=255, R=255, G=255, B=255]
411280,Color [A=255, R=0, G=0, B=0]
411800,Color [A=255, R=255, G=255, B=255]
411840,Color [A=255, R=0, G=0, B=0]
412480,Color [A=255, R=255, G=255, B=255]
412520,Color [A=255, R=0, G=0, B=0]
412720,Color [A=255, R=255, G=255, B=255]
412760,Color [A=255, R=0, G=0, B=0]
412960,Color [A=255, R=255, G=255, B=255]
413000,Color [A=255, R=0, G=0, B=0]
413280,Color [A=255, R=255, G=255, B=255]
