40,Color [A=255, R=255, G=206, B=31]
1440,Color [A=255, R=255, G=255, B=255]
1480,Color [A=255, R=0, G=0, B=0]
2760,Color [A=255, R=255, G=255, B=255]
2800,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
4920,Color [A=255, R=0, G=0, B=0]
4960,Color [A=255, R=255, G=255, B=255]
5040,Color [A=255, R=0, G=0, B=0]
5440,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
9120,Color [A=255, R=255, G=255, B=255]
9160,Color [A=255, R=0, G=0, B=0]
10360,Color [A=255, R=255, G=255, B=255]
10400,Color [A=255, R=0, G=0, B=0]
10840,Color [A=255, R=255, G=255, B=255]
10880,Color [A=255, R=0, G=0, B=0]
11760,Color [A=255, R=255, G=255, B=255]
11800,Color [A=255, R=0, G=0, B=0]
11840,Color [A=255, R=255, G=255, B=255]
11880,Color [A=255, R=0, G=0, B=0]
12560,Color [A=255, R=255, G=255, B=255]
12640,Color [A=255, R=0, G=0, B=0]
13360,Color [A=255, R=255, G=255, B=255]
13400,Color [A=255, R=0, G=0, B=0]
14040,Color [A=255, R=255, G=255, B=255]
14080,Color [A=255, R=0, G=0, B=0]
22040,Color [A=255, R=255, G=255, B=255]
22080,Color [A=255, R=0, G=0, B=0]
23920,Color [A=255, R=255, G=255, B=255]
23960,Color [A=255, R=0, G=0, B=0]
25440,Color [A=255, R=255, G=255, B=255]
25480,Color [A=255, R=0, G=0, B=0]
27440,Color [A=255, R=255, G=255, B=255]
27480,Color [A=255, R=0, G=0, B=0]
28880,Color [A=255, R=255, G=255, B=255]
28920,Color [A=255, R=0, G=0, B=0]
30000,Color [A=255, R=255, G=255, B=255]
30080,Color [A=255, R=0, G=0, B=0]
33680,Color [A=255, R=255, G=255, B=255]
33720,Color [A=255, R=0, G=0, B=0]
34160,Color [A=255, R=255, G=255, B=255]
34240,Color [A=255, R=0, G=0, B=0]
35760,Color [A=255, R=255, G=255, B=255]
35840,Color [A=255, R=0, G=0, B=0]
38680,Color [A=255, R=255, G=255, B=255]
38720,Color [A=255, R=0, G=0, B=0]
39880,Color [A=255, R=255, G=255, B=255]
39920,Color [A=255, R=0, G=0, B=0]
42680,Color [A=255, R=255, G=255, B=255]
42720,Color [A=255, R=0, G=0, B=0]
43400,Color [A=255, R=255, G=255, B=255]
43440,Color [A=255, R=0, G=0, B=0]
44360,Color [A=255, R=255, G=255, B=255]
44400,Color [A=255, R=0, G=0, B=0]
45160,Color [A=255, R=255, G=255, B=255]
45200,Color [A=255, R=0, G=0, B=0]
45840,Color [A=255, R=255, G=255, B=255]
45880,Color [A=255, R=0, G=0, B=0]
46560,Color [A=255, R=255, G=255, B=255]
46600,Color [A=255, R=0, G=0, B=0]
47120,Color [A=255, R=255, G=255, B=255]
47160,Color [A=255, R=0, G=0, B=0]
47760,Color [A=255, R=255, G=255, B=255]
47800,Color [A=255, R=0, G=0, B=0]
49360,Color [A=255, R=255, G=255, B=255]
49400,Color [A=255, R=0, G=0, B=0]
50240,Color [A=255, R=255, G=255, B=255]
50280,Color [A=255, R=0, G=0, B=0]
50600,Color [A=255, R=255, G=255, B=255]
50640,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51400,Color [A=255, R=0, G=0, B=0]
52200,Color [A=255, R=255, G=255, B=255]
52240,Color [A=255, R=0, G=0, B=0]
53200,Color [A=255, R=255, G=255, B=255]
53240,Color [A=255, R=0, G=0, B=0]
53760,Color [A=255, R=255, G=255, B=255]
53800,Color [A=255, R=0, G=0, B=0]
54680,Color [A=255, R=255, G=255, B=255]
54720,Color [A=255, R=0, G=0, B=0]
54760,Color [A=255, R=255, G=255, B=255]
54800,Color [A=255, R=0, G=0, B=0]
55040,Color [A=255, R=255, G=255, B=255]
55080,Color [A=255, R=0, G=0, B=0]
55880,Color [A=255, R=255, G=255, B=255]
55920,Color [A=255, R=0, G=0, B=0]
55960,Color [A=255, R=255, G=255, B=255]
56000,Color [A=255, R=0, G=0, B=0]
59040,Color [A=255, R=255, G=255, B=255]
59080,Color [A=255, R=0, G=0, B=0]
59240,Color [A=255, R=255, G=255, B=255]
59280,Color [A=255, R=0, G=0, B=0]
59360,Color [A=255, R=255, G=255, B=255]
59400,Color [A=255, R=0, G=0, B=0]
59480,Color [A=255, R=255, G=255, B=255]
59520,Color [A=255, R=0, G=0, B=0]
59960,Color [A=255, R=255, G=255, B=255]
60000,Color [A=255, R=0, G=0, B=0]
60480,Color [A=255, R=255, G=255, B=255]
60520,Color [A=255, R=0, G=0, B=0]
61560,Color [A=255, R=255, G=255, B=255]
61600,Color [A=255, R=0, G=0, B=0]
61680,Color [A=255, R=255, G=255, B=255]
61720,Color [A=255, R=0, G=0, B=0]
64080,Color [A=255, R=255, G=255, B=255]
64120,Color [A=255, R=0, G=0, B=0]
64200,Color [A=255, R=255, G=255, B=255]
64240,Color [A=255, R=0, G=0, B=0]
64520,Color [A=255, R=255, G=255, B=255]
64560,Color [A=255, R=0, G=0, B=0]
64960,Color [A=255, R=255, G=255, B=255]
65000,Color [A=255, R=0, G=0, B=0]
66240,Color [A=255, R=255, G=255, B=255]
66280,Color [A=255, R=0, G=0, B=0]
67160,Color [A=255, R=255, G=255, B=255]
67200,Color [A=255, R=0, G=0, B=0]
69160,Color [A=255, R=255, G=255, B=255]
69200,Color [A=255, R=0, G=0, B=0]
70240,Color [A=255, R=255, G=255, B=255]
70280,Color [A=255, R=0, G=0, B=0]
70840,Color [A=255, R=255, G=255, B=255]
70880,Color [A=255, R=0, G=0, B=0]
71480,Color [A=255, R=255, G=255, B=255]
71520,Color [A=255, R=0, G=0, B=0]
71960,Color [A=255, R=255, G=255, B=255]
72040,Color [A=255, R=0, G=0, B=0]
73240,Color [A=255, R=255, G=255, B=255]
73280,Color [A=255, R=0, G=0, B=0]
74800,Color [A=255, R=255, G=255, B=255]
74840,Color [A=255, R=0, G=0, B=0]
75440,Color [A=255, R=255, G=255, B=255]
75520,Color [A=255, R=0, G=0, B=0]
78640,Color [A=255, R=255, G=255, B=255]
78680,Color [A=255, R=0, G=0, B=0]
79240,Color [A=255, R=255, G=255, B=255]
79320,Color [A=255, R=0, G=0, B=0]
79480,Color [A=255, R=255, G=255, B=255]
79520,Color [A=255, R=0, G=0, B=0]
79760,Color [A=255, R=255, G=255, B=255]
79800,Color [A=255, R=0, G=0, B=0]
80440,Color [A=255, R=255, G=255, B=255]
80480,Color [A=255, R=0, G=0, B=0]
81360,Color [A=255, R=255, G=255, B=255]
81400,Color [A=255, R=0, G=0, B=0]
82560,Color [A=255, R=255, G=255, B=255]
82600,Color [A=255, R=0, G=0, B=0]
83680,Color [A=255, R=255, G=255, B=255]
83720,Color [A=255, R=0, G=0, B=0]
