40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
270120,Color [A=255, R=255, G=255, B=255]
270160,Color [A=255, R=0, G=0, B=0]
270200,Color [A=255, R=255, G=255, B=255]
270240,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
383480,Color [A=255, R=255, G=255, B=255]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
440440,Color [A=255, R=255, G=255, B=255]
440480,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
636120,Color [A=255, R=255, G=255, B=255]
636160,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
638920,Color [A=255, R=255, G=255, B=255]
638960,Color [A=255, R=0, G=0, B=0]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
727440,Color [A=255, R=255, G=255, B=255]
727480,Color [A=255, R=0, G=0, B=0]
728480,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
731880,Color [A=255, R=255, G=255, B=255]
731920,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
843280,Color [A=255, R=255, G=255, B=255]
843320,Color [A=255, R=0, G=0, B=0]
848200,Color [A=255, R=255, G=255, B=255]
848240,Color [A=255, R=0, G=0, B=0]
852480,Color [A=255, R=255, G=255, B=255]
852520,Color [A=255, R=0, G=0, B=0]
852680,Color [A=255, R=255, G=255, B=255]
852720,Color [A=255, R=0, G=0, B=0]
855720,Color [A=255, R=255, G=255, B=255]
855760,Color [A=255, R=0, G=0, B=0]
862680,Color [A=255, R=255, G=255, B=255]
862720,Color [A=255, R=0, G=0, B=0]
872000,Color [A=255, R=255, G=255, B=255]
872040,Color [A=255, R=0, G=0, B=0]
881160,Color [A=255, R=255, G=255, B=255]
881200,Color [A=255, R=0, G=0, B=0]
881720,Color [A=255, R=255, G=255, B=255]
881760,Color [A=255, R=0, G=0, B=0]
882000,Color [A=255, R=255, G=255, B=255]
882040,Color [A=255, R=0, G=0, B=0]
882400,Color [A=255, R=255, G=255, B=255]
882440,Color [A=255, R=0, G=0, B=0]
882520,Color [A=255, R=255, G=255, B=255]
882560,Color [A=255, R=0, G=0, B=0]
882640,Color [A=255, R=255, G=255, B=255]
882680,Color [A=255, R=0, G=0, B=0]
882880,Color [A=255, R=255, G=255, B=255]
882920,Color [A=255, R=0, G=0, B=0]
883400,Color [A=255, R=255, G=255, B=255]
883440,Color [A=255, R=0, G=0, B=0]
887400,Color [A=255, R=255, G=255, B=255]
887440,Color [A=255, R=0, G=0, B=0]
895440,Color [A=255, R=255, G=255, B=255]
895480,Color [A=255, R=0, G=0, B=0]
896960,Color [A=255, R=255, G=255, B=255]
897000,Color [A=255, R=0, G=0, B=0]
911000,Color [A=255, R=255, G=255, B=255]
911040,Color [A=255, R=0, G=0, B=0]
911320,Color [A=255, R=255, G=255, B=255]
911360,Color [A=255, R=0, G=0, B=0]
921480,Color [A=255, R=255, G=255, B=255]
921520,Color [A=255, R=0, G=0, B=0]
927160,Color [A=255, R=255, G=255, B=255]
927200,Color [A=255, R=0, G=0, B=0]
927480,Color [A=255, R=255, G=255, B=255]
927520,Color [A=255, R=0, G=0, B=0]
930040,Color [A=255, R=255, G=255, B=255]
930080,Color [A=255, R=0, G=0, B=0]
930400,Color [A=255, R=255, G=255, B=255]
930440,Color [A=255, R=0, G=0, B=0]
933560,Color [A=255, R=255, G=255, B=255]
933600,Color [A=255, R=0, G=0, B=0]
933720,Color [A=255, R=255, G=255, B=255]
933760,Color [A=255, R=0, G=0, B=0]
934080,Color [A=255, R=255, G=255, B=255]
934120,Color [A=255, R=0, G=0, B=0]
944080,Color [A=255, R=255, G=255, B=255]
944120,Color [A=255, R=0, G=0, B=0]
944400,Color [A=255, R=255, G=255, B=255]
944440,Color [A=255, R=0, G=0, B=0]
992880,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
1001720,Color [A=255, R=255, G=255, B=255]
1001760,Color [A=255, R=0, G=0, B=0]
1027120,Color [A=255, R=255, G=255, B=255]
1027160,Color [A=255, R=0, G=0, B=0]
1046840,Color [A=255, R=255, G=255, B=255]
1046880,Color [A=255, R=0, G=0, B=0]
1080760,Color [A=255, R=255, G=255, B=255]
1080800,Color [A=255, R=0, G=0, B=0]
1084920,Color [A=255, R=255, G=255, B=255]
1084960,Color [A=255, R=0, G=0, B=0]
1150480,Color [A=255, R=255, G=255, B=255]
1155680,Color [A=255, R=255, G=255, B=255]
1155720,Color [A=255, R=0, G=0, B=0]
1156000,Color [A=255, R=255, G=255, B=255]
1156040,Color [A=255, R=0, G=0, B=0]
1163240,Color [A=255, R=255, G=255, B=255]
1163280,Color [A=255, R=0, G=0, B=0]
1198240,Color [A=255, R=255, G=255, B=255]
1198280,Color [A=255, R=0, G=0, B=0]
1213920,Color [A=255, R=255, G=255, B=255]
1213960,Color [A=255, R=0, G=0, B=0]
1226720,Color [A=255, R=255, G=255, B=255]
1226760,Color [A=255, R=0, G=0, B=0]
1237080,Color [A=255, R=255, G=255, B=255]
1237120,Color [A=255, R=0, G=0, B=0]
1248720,Color [A=255, R=255, G=255, B=255]
1248760,Color [A=255, R=0, G=0, B=0]
1249840,Color [A=255, R=255, G=255, B=255]
1249880,Color [A=255, R=0, G=0, B=0]
1274400,Color [A=255, R=255, G=255, B=255]
1274440,Color [A=255, R=0, G=0, B=0]
1281640,Color [A=255, R=255, G=255, B=255]
1281720,Color [A=255, R=0, G=0, B=0]
1291080,Color [A=255, R=255, G=255, B=255]
1291120,Color [A=255, R=0, G=0, B=0]
1291400,Color [A=255, R=255, G=255, B=255]
1291440,Color [A=255, R=0, G=0, B=0]
1293200,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1294080,Color [A=255, R=255, G=255, B=255]
1294120,Color [A=255, R=0, G=0, B=0]
1342680,Color [A=255, R=255, G=255, B=255]
1342760,Color [A=255, R=0, G=0, B=0]
1346240,Color [A=255, R=255, G=255, B=255]
1346280,Color [A=255, R=0, G=0, B=0]
1360040,Color [A=255, R=255, G=255, B=255]
1360080,Color [A=255, R=0, G=0, B=0]
1398240,Color [A=255, R=255, G=255, B=255]
1398280,Color [A=255, R=0, G=0, B=0]
1401040,Color [A=255, R=255, G=255, B=255]
1401080,Color [A=255, R=0, G=0, B=0]
1421680,Color [A=255, R=255, G=255, B=255]
1421720,Color [A=255, R=0, G=0, B=0]
1424640,Color [A=255, R=255, G=255, B=255]
1424720,Color [A=255, R=0, G=0, B=0]
1490240,Color [A=255, R=255, G=255, B=255]
1511520,Color [A=255, R=255, G=255, B=255]
1511560,Color [A=255, R=0, G=0, B=0]
1522760,Color [A=255, R=255, G=255, B=255]
1522800,Color [A=255, R=0, G=0, B=0]
1577440,Color [A=255, R=255, G=255, B=255]
1577480,Color [A=255, R=0, G=0, B=0]
1585400,Color [A=255, R=255, G=255, B=255]
1585440,Color [A=255, R=0, G=0, B=0]
1615400,Color [A=255, R=255, G=255, B=255]
1615440,Color [A=255, R=0, G=0, B=0]
1615840,Color [A=255, R=255, G=255, B=255]
1615880,Color [A=255, R=0, G=0, B=0]
1631480,Color [A=255, R=255, G=255, B=255]
1631520,Color [A=255, R=0, G=0, B=0]
1632000,Color [A=255, R=255, G=255, B=255]
1632040,Color [A=255, R=0, G=0, B=0]
1634960,Color [A=255, R=255, G=255, B=255]
1635000,Color [A=255, R=0, G=0, B=0]
1640000,Color [A=255, R=255, G=255, B=255]
1640040,Color [A=255, R=0, G=0, B=0]
1643320,Color [A=255, R=255, G=255, B=255]
1643360,Color [A=255, R=0, G=0, B=0]
1651800,Color [A=255, R=255, G=255, B=255]
1651920,Color [A=255, R=0, G=0, B=0]
1652040,Color [A=255, R=255, G=255, B=255]
1652120,Color [A=255, R=0, G=0, B=0]
1652240,Color [A=255, R=255, G=255, B=255]
1652280,Color [A=255, R=0, G=0, B=0]
1652600,Color [A=255, R=255, G=255, B=255]
1652640,Color [A=255, R=0, G=0, B=0]
1653400,Color [A=255, R=255, G=255, B=255]
1653440,Color [A=255, R=0, G=0, B=0]
1654360,Color [A=255, R=255, G=255, B=255]
1654400,Color [A=255, R=0, G=0, B=0]
1654760,Color [A=255, R=255, G=255, B=255]
1654800,Color [A=255, R=0, G=0, B=0]
1658640,Color [A=255, R=255, G=255, B=255]
1658680,Color [A=255, R=0, G=0, B=0]
1660000,Color [A=255, R=255, G=255, B=255]
1660040,Color [A=255, R=0, G=0, B=0]
1662920,Color [A=255, R=255, G=255, B=255]
1662960,Color [A=255, R=0, G=0, B=0]
1668720,Color [A=255, R=255, G=255, B=255]
1668760,Color [A=255, R=0, G=0, B=0]
1679880,Color [A=255, R=255, G=255, B=255]
1679920,Color [A=255, R=0, G=0, B=0]
1681080,Color [A=255, R=255, G=255, B=255]
1681120,Color [A=255, R=0, G=0, B=0]
1701520,Color [A=255, R=255, G=255, B=255]
1701560,Color [A=255, R=0, G=0, B=0]
1701960,Color [A=255, R=255, G=255, B=255]
1702000,Color [A=255, R=0, G=0, B=0]
1711000,Color [A=255, R=255, G=255, B=255]
1711040,Color [A=255, R=0, G=0, B=0]
1716680,Color [A=255, R=255, G=255, B=255]
1716720,Color [A=255, R=0, G=0, B=0]
1718240,Color [A=255, R=255, G=255, B=255]
1718280,Color [A=255, R=0, G=0, B=0]
1718680,Color [A=255, R=255, G=255, B=255]
1718720,Color [A=255, R=0, G=0, B=0]
1732360,Color [A=255, R=255, G=255, B=255]
1732400,Color [A=255, R=0, G=0, B=0]
1745880,Color [A=255, R=255, G=255, B=255]
1745920,Color [A=255, R=0, G=0, B=0]
1811440,Color [A=255, R=255, G=255, B=255]
1825760,Color [A=255, R=255, G=255, B=255]
1825800,Color [A=255, R=0, G=0, B=0]
1851400,Color [A=255, R=255, G=255, B=255]
1851440,Color [A=255, R=0, G=0, B=0]
1854880,Color [A=255, R=255, G=255, B=255]
1854920,Color [A=255, R=0, G=0, B=0]
1855560,Color [A=255, R=255, G=255, B=255]
1855600,Color [A=255, R=0, G=0, B=0]
1860040,Color [A=255, R=255, G=255, B=255]
1860080,Color [A=255, R=0, G=0, B=0]
1884480,Color [A=255, R=255, G=255, B=255]
1884520,Color [A=255, R=0, G=0, B=0]
1950040,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
