40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
1040,Color [A=255, R=255, G=255, B=255]
1080,Color [A=255, R=0, G=0, B=0]
1480,Color [A=255, R=255, G=255, B=255]
1560,Color [A=255, R=0, G=0, B=0]
1680,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
1840,Color [A=255, R=255, G=255, B=255]
1880,Color [A=255, R=0, G=0, B=0]
2040,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2280,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2400,Color [A=255, R=255, G=255, B=255]
2480,Color [A=255, R=0, G=0, B=0]
2640,Color [A=255, R=255, G=255, B=255]
2680,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
2920,Color [A=255, R=255, G=255, B=255]
2960,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3360,Color [A=255, R=255, G=255, B=255]
3400,Color [A=255, R=0, G=0, B=0]
3640,Color [A=255, R=255, G=255, B=255]
3720,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
4200,Color [A=255, R=255, G=255, B=255]
4240,Color [A=255, R=0, G=0, B=0]
4320,Color [A=255, R=255, G=255, B=255]
4360,Color [A=255, R=0, G=0, B=0]
4400,Color [A=255, R=255, G=255, B=255]
4440,Color [A=255, R=0, G=0, B=0]
4720,Color [A=255, R=255, G=255, B=255]
4760,Color [A=255, R=0, G=0, B=0]
5040,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5360,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
5640,Color [A=255, R=255, G=255, B=255]
5680,Color [A=255, R=0, G=0, B=0]
5760,Color [A=255, R=255, G=255, B=255]
5800,Color [A=255, R=0, G=0, B=0]
6080,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
6320,Color [A=255, R=255, G=255, B=255]
6360,Color [A=255, R=0, G=0, B=0]
6760,Color [A=255, R=255, G=255, B=255]
6800,Color [A=255, R=0, G=0, B=0]
6920,Color [A=255, R=255, G=255, B=255]
6960,Color [A=255, R=0, G=0, B=0]
7040,Color [A=255, R=255, G=255, B=255]
7080,Color [A=255, R=0, G=0, B=0]
7120,Color [A=255, R=255, G=255, B=255]
7160,Color [A=255, R=0, G=0, B=0]
7240,Color [A=255, R=255, G=255, B=255]
7320,Color [A=255, R=0, G=0, B=0]
7480,Color [A=255, R=255, G=255, B=255]
7520,Color [A=255, R=0, G=0, B=0]
7760,Color [A=255, R=255, G=255, B=255]
7840,Color [A=255, R=0, G=0, B=0]
7920,Color [A=255, R=255, G=255, B=255]
7960,Color [A=255, R=0, G=0, B=0]
8280,Color [A=255, R=255, G=255, B=255]
8320,Color [A=255, R=0, G=0, B=0]
8360,Color [A=255, R=255, G=255, B=255]
8400,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8680,Color [A=255, R=0, G=0, B=0]
8840,Color [A=255, R=255, G=255, B=255]
8880,Color [A=255, R=0, G=0, B=0]
9000,Color [A=255, R=255, G=255, B=255]
9040,Color [A=255, R=0, G=0, B=0]
9280,Color [A=255, R=255, G=255, B=255]
9320,Color [A=255, R=0, G=0, B=0]
9440,Color [A=255, R=255, G=255, B=255]
9480,Color [A=255, R=0, G=0, B=0]
9760,Color [A=255, R=255, G=255, B=255]
9800,Color [A=255, R=0, G=0, B=0]
10040,Color [A=255, R=255, G=255, B=255]
10080,Color [A=255, R=0, G=0, B=0]
10120,Color [A=255, R=255, G=255, B=255]
10160,Color [A=255, R=0, G=0, B=0]
10240,Color [A=255, R=255, G=255, B=255]
10280,Color [A=255, R=0, G=0, B=0]
10400,Color [A=255, R=255, G=255, B=255]
10440,Color [A=255, R=0, G=0, B=0]
10720,Color [A=255, R=255, G=255, B=255]
10760,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
11800,Color [A=255, R=255, G=255, B=255]
