40,Color [A=255, R=255, G=206, B=31]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
840,Color [A=255, R=255, G=255, B=255]
880,Color [A=255, R=0, G=0, B=0]
960,Color [A=255, R=255, G=255, B=255]
1000,Color [A=255, R=0, G=0, B=0]
1160,Color [A=255, R=255, G=255, B=255]
1200,Color [A=255, R=0, G=0, B=0]
1360,Color [A=255, R=255, G=255, B=255]
1400,Color [A=255, R=0, G=0, B=0]
1680,Color [A=255, R=255, G=255, B=255]
1720,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
1880,Color [A=255, R=255, G=255, B=255]
1920,Color [A=255, R=0, G=0, B=0]
2080,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2280,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2400,Color [A=255, R=255, G=255, B=255]
2440,Color [A=255, R=0, G=0, B=0]
2600,Color [A=255, R=255, G=255, B=255]
2640,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2760,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
3080,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3440,Color [A=255, R=255, G=255, B=255]
3480,Color [A=255, R=0, G=0, B=0]
3640,Color [A=255, R=255, G=255, B=255]
3680,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
3920,Color [A=255, R=255, G=255, B=255]
3960,Color [A=255, R=0, G=0, B=0]
4560,Color [A=255, R=255, G=255, B=255]
4640,Color [A=255, R=0, G=0, B=0]
4720,Color [A=255, R=255, G=255, B=255]
4760,Color [A=255, R=0, G=0, B=0]
5080,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5360,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
5640,Color [A=255, R=255, G=255, B=255]
5680,Color [A=255, R=0, G=0, B=0]
6040,Color [A=255, R=255, G=255, B=255]
6080,Color [A=255, R=0, G=0, B=0]
6120,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
6400,Color [A=255, R=255, G=255, B=255]
6440,Color [A=255, R=0, G=0, B=0]
6560,Color [A=255, R=255, G=255, B=255]
6600,Color [A=255, R=0, G=0, B=0]
6720,Color [A=255, R=255, G=255, B=255]
6800,Color [A=255, R=0, G=0, B=0]
6920,Color [A=255, R=255, G=255, B=255]
6960,Color [A=255, R=0, G=0, B=0]
7000,Color [A=255, R=255, G=255, B=255]
7080,Color [A=255, R=0, G=0, B=0]
7120,Color [A=255, R=255, G=255, B=255]
7160,Color [A=255, R=0, G=0, B=0]
7240,Color [A=255, R=255, G=255, B=255]
7280,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
7760,Color [A=255, R=255, G=255, B=255]
7800,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
8360,Color [A=255, R=255, G=255, B=255]
8400,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8680,Color [A=255, R=0, G=0, B=0]
9440,Color [A=255, R=255, G=255, B=255]
9480,Color [A=255, R=0, G=0, B=0]
9520,Color [A=255, R=255, G=255, B=255]
9560,Color [A=255, R=0, G=0, B=0]
9760,Color [A=255, R=255, G=255, B=255]
9800,Color [A=255, R=0, G=0, B=0]
9920,Color [A=255, R=255, G=255, B=255]
9960,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
10120,Color [A=255, R=255, G=255, B=255]
10160,Color [A=255, R=0, G=0, B=0]
10440,Color [A=255, R=255, G=255, B=255]
10480,Color [A=255, R=0, G=0, B=0]
10600,Color [A=255, R=255, G=255, B=255]
10640,Color [A=255, R=0, G=0, B=0]
10880,Color [A=255, R=255, G=255, B=255]
10920,Color [A=255, R=0, G=0, B=0]
11000,Color [A=255, R=255, G=255, B=255]
11040,Color [A=255, R=0, G=0, B=0]
11160,Color [A=255, R=255, G=255, B=255]
11200,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11320,Color [A=255, R=0, G=0, B=0]
11560,Color [A=255, R=255, G=255, B=255]
11680,Color [A=255, R=0, G=0, B=0]
11760,Color [A=255, R=255, G=255, B=255]
11800,Color [A=255, R=0, G=0, B=0]
12120,Color [A=255, R=255, G=255, B=255]
12160,Color [A=255, R=0, G=0, B=0]
12480,Color [A=255, R=255, G=255, B=255]
12520,Color [A=255, R=0, G=0, B=0]
12800,Color [A=255, R=255, G=255, B=255]
12880,Color [A=255, R=0, G=0, B=0]
13200,Color [A=255, R=255, G=255, B=255]
13240,Color [A=255, R=0, G=0, B=0]
13360,Color [A=255, R=255, G=255, B=255]
13440,Color [A=255, R=0, G=0, B=0]
13560,Color [A=255, R=255, G=255, B=255]
13600,Color [A=255, R=0, G=0, B=0]
13720,Color [A=255, R=255, G=255, B=255]
13760,Color [A=255, R=0, G=0, B=0]
14200,Color [A=255, R=255, G=255, B=255]
14280,Color [A=255, R=0, G=0, B=0]
14720,Color [A=255, R=255, G=255, B=255]
14760,Color [A=255, R=0, G=0, B=0]
14880,Color [A=255, R=255, G=255, B=255]
14920,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
15200,Color [A=255, R=255, G=255, B=255]
15280,Color [A=255, R=0, G=0, B=0]
15400,Color [A=255, R=255, G=255, B=255]
15440,Color [A=255, R=0, G=0, B=0]
15640,Color [A=255, R=255, G=255, B=255]
15680,Color [A=255, R=0, G=0, B=0]
15720,Color [A=255, R=255, G=255, B=255]
15760,Color [A=255, R=0, G=0, B=0]
16040,Color [A=255, R=255, G=255, B=255]
16080,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
21920,Color [A=255, R=255, G=255, B=255]
21960,Color [A=255, R=0, G=0, B=0]
22280,Color [A=255, R=255, G=255, B=255]
22320,Color [A=255, R=0, G=0, B=0]
22440,Color [A=255, R=255, G=255, B=255]
22480,Color [A=255, R=0, G=0, B=0]
22520,Color [A=255, R=255, G=255, B=255]
22560,Color [A=255, R=0, G=0, B=0]
22800,Color [A=255, R=255, G=255, B=255]
