40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
65920,Color [A=255, R=255, G=255, B=255]
131440,Color [A=255, R=255, G=255, B=255]
196960,Color [A=255, R=255, G=255, B=255]
262480,Color [A=255, R=255, G=255, B=255]
328000,Color [A=255, R=255, G=255, B=255]
393520,Color [A=255, R=255, G=255, B=255]
459040,Color [A=255, R=255, G=255, B=255]
524560,Color [A=255, R=255, G=255, B=255]
590080,Color [A=255, R=255, G=255, B=255]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
704480,Color [A=255, R=255, G=255, B=255]
704520,Color [A=255, R=0, G=0, B=0]
770040,Color [A=255, R=255, G=255, B=255]
835560,Color [A=255, R=255, G=255, B=255]
901080,Color [A=255, R=255, G=255, B=255]
966600,Color [A=255, R=255, G=255, B=255]
974480,Color [A=255, R=255, G=255, B=255]
974520,Color [A=255, R=0, G=0, B=0]
992880,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
993200,Color [A=255, R=255, G=255, B=255]
993240,Color [A=255, R=0, G=0, B=0]
1058760,Color [A=255, R=255, G=255, B=255]
1124280,Color [A=255, R=255, G=255, B=255]
1189800,Color [A=255, R=255, G=255, B=255]
1255320,Color [A=255, R=255, G=255, B=255]
1293200,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1358760,Color [A=255, R=255, G=255, B=255]
1424280,Color [A=255, R=255, G=255, B=255]
1461520,Color [A=255, R=255, G=255, B=255]
1461560,Color [A=255, R=0, G=0, B=0]
1527080,Color [A=255, R=255, G=255, B=255]
1566520,Color [A=255, R=255, G=255, B=255]
1566560,Color [A=255, R=0, G=0, B=0]
1632080,Color [A=255, R=255, G=255, B=255]
1697600,Color [A=255, R=255, G=255, B=255]
1763120,Color [A=255, R=255, G=255, B=255]
1828640,Color [A=255, R=255, G=255, B=255]
1894160,Color [A=255, R=255, G=255, B=255]
1918360,Color [A=255, R=255, G=255, B=255]
1918400,Color [A=255, R=0, G=0, B=0]
1962200,Color [A=255, R=255, G=255, B=255]
1962240,Color [A=255, R=0, G=0, B=0]
1968480,Color [A=255, R=255, G=255, B=255]
