40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21760,Color [A=255, R=0, G=0, B=0]
21800,Color [A=255, R=255, G=255, B=255]
21840,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34720,Color [A=255, R=0, G=0, B=0]
34760,Color [A=255, R=255, G=255, B=255]
34800,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38360,Color [A=255, R=0, G=0, B=0]
38400,Color [A=255, R=255, G=255, B=255]
38440,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51400,Color [A=255, R=255, G=255, B=255]
51440,Color [A=255, R=0, G=0, B=0]
51480,Color [A=255, R=255, G=255, B=255]
51520,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
65880,Color [A=255, R=0, G=0, B=0]
65920,Color [A=255, R=255, G=255, B=255]
65960,Color [A=255, R=0, G=0, B=0]
75720,Color [A=255, R=255, G=255, B=255]
75760,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
79960,Color [A=255, R=255, G=255, B=255]
80000,Color [A=255, R=0, G=0, B=0]
80040,Color [A=255, R=255, G=255, B=255]
80080,Color [A=255, R=0, G=0, B=0]
80120,Color [A=255, R=255, G=255, B=255]
80160,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
81920,Color [A=255, R=0, G=0, B=0]
101520,Color [A=255, R=255, G=255, B=255]
101560,Color [A=255, R=0, G=0, B=0]
101600,Color [A=255, R=255, G=255, B=255]
101640,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
115760,Color [A=255, R=255, G=255, B=255]
115800,Color [A=255, R=0, G=0, B=0]
115840,Color [A=255, R=255, G=255, B=255]
115880,Color [A=255, R=0, G=0, B=0]
120440,Color [A=255, R=255, G=255, B=255]
120480,Color [A=255, R=0, G=0, B=0]
120520,Color [A=255, R=255, G=255, B=255]
120560,Color [A=255, R=0, G=0, B=0]
124440,Color [A=255, R=255, G=255, B=255]
124480,Color [A=255, R=0, G=0, B=0]
128160,Color [A=255, R=255, G=255, B=255]
128200,Color [A=255, R=0, G=0, B=0]
139000,Color [A=255, R=255, G=255, B=255]
139040,Color [A=255, R=0, G=0, B=0]
140880,Color [A=255, R=255, G=255, B=255]
140920,Color [A=255, R=0, G=0, B=0]
140960,Color [A=255, R=255, G=255, B=255]
141000,Color [A=255, R=0, G=0, B=0]
145040,Color [A=255, R=255, G=255, B=255]
145080,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
164240,Color [A=255, R=255, G=255, B=255]
164280,Color [A=255, R=0, G=0, B=0]
164320,Color [A=255, R=255, G=255, B=255]
164360,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
165400,Color [A=255, R=255, G=255, B=255]
165440,Color [A=255, R=0, G=0, B=0]
166280,Color [A=255, R=255, G=255, B=255]
166320,Color [A=255, R=0, G=0, B=0]
171040,Color [A=255, R=255, G=255, B=255]
171080,Color [A=255, R=0, G=0, B=0]
171120,Color [A=255, R=255, G=255, B=255]
171160,Color [A=255, R=0, G=0, B=0]
177200,Color [A=255, R=255, G=255, B=255]
177240,Color [A=255, R=0, G=0, B=0]
177280,Color [A=255, R=255, G=255, B=255]
177320,Color [A=255, R=0, G=0, B=0]
179520,Color [A=255, R=255, G=255, B=255]
179560,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
179840,Color [A=255, R=255, G=255, B=255]
179880,Color [A=255, R=0, G=0, B=0]
179920,Color [A=255, R=255, G=255, B=255]
179960,Color [A=255, R=0, G=0, B=0]
180160,Color [A=255, R=255, G=255, B=255]
180200,Color [A=255, R=0, G=0, B=0]
181960,Color [A=255, R=255, G=255, B=255]
182000,Color [A=255, R=0, G=0, B=0]
182040,Color [A=255, R=255, G=255, B=255]
182080,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
195600,Color [A=255, R=255, G=255, B=255]
195640,Color [A=255, R=0, G=0, B=0]
195680,Color [A=255, R=255, G=255, B=255]
195720,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
198960,Color [A=255, R=255, G=255, B=255]
199000,Color [A=255, R=0, G=0, B=0]
199800,Color [A=255, R=255, G=255, B=255]
199840,Color [A=255, R=0, G=0, B=0]
203480,Color [A=255, R=255, G=255, B=255]
203520,Color [A=255, R=0, G=0, B=0]
203880,Color [A=255, R=255, G=255, B=255]
203920,Color [A=255, R=0, G=0, B=0]
203960,Color [A=255, R=255, G=255, B=255]
204000,Color [A=255, R=0, G=0, B=0]
204920,Color [A=255, R=255, G=255, B=255]
204960,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
217360,Color [A=255, R=255, G=255, B=255]
217440,Color [A=255, R=0, G=0, B=0]
217480,Color [A=255, R=255, G=255, B=255]
217520,Color [A=255, R=0, G=0, B=0]
219920,Color [A=255, R=255, G=255, B=255]
219960,Color [A=255, R=0, G=0, B=0]
220000,Color [A=255, R=255, G=255, B=255]
220040,Color [A=255, R=0, G=0, B=0]
224640,Color [A=255, R=255, G=255, B=255]
224680,Color [A=255, R=0, G=0, B=0]
224720,Color [A=255, R=255, G=255, B=255]
224760,Color [A=255, R=0, G=0, B=0]
226440,Color [A=255, R=255, G=255, B=255]
226520,Color [A=255, R=0, G=0, B=0]
228880,Color [A=255, R=255, G=255, B=255]
228920,Color [A=255, R=0, G=0, B=0]
228960,Color [A=255, R=255, G=255, B=255]
229000,Color [A=255, R=0, G=0, B=0]
237720,Color [A=255, R=255, G=255, B=255]
237760,Color [A=255, R=0, G=0, B=0]
237800,Color [A=255, R=255, G=255, B=255]
237840,Color [A=255, R=0, G=0, B=0]
238480,Color [A=255, R=255, G=255, B=255]
238520,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
251680,Color [A=255, R=255, G=255, B=255]
251720,Color [A=255, R=0, G=0, B=0]
251760,Color [A=255, R=255, G=255, B=255]
251800,Color [A=255, R=0, G=0, B=0]
252840,Color [A=255, R=255, G=255, B=255]
252880,Color [A=255, R=0, G=0, B=0]
254000,Color [A=255, R=255, G=255, B=255]
254040,Color [A=255, R=0, G=0, B=0]
261920,Color [A=255, R=255, G=255, B=255]
261960,Color [A=255, R=0, G=0, B=0]
262000,Color [A=255, R=255, G=255, B=255]
262040,Color [A=255, R=0, G=0, B=0]
263720,Color [A=255, R=255, G=255, B=255]
263760,Color [A=255, R=0, G=0, B=0]
263800,Color [A=255, R=255, G=255, B=255]
263840,Color [A=255, R=0, G=0, B=0]
267600,Color [A=255, R=255, G=255, B=255]
267640,Color [A=255, R=0, G=0, B=0]
270160,Color [A=255, R=255, G=255, B=255]
270200,Color [A=255, R=0, G=0, B=0]
280440,Color [A=255, R=255, G=255, B=255]
280480,Color [A=255, R=0, G=0, B=0]
280520,Color [A=255, R=255, G=255, B=255]
280560,Color [A=255, R=0, G=0, B=0]
285640,Color [A=255, R=255, G=255, B=255]
285680,Color [A=255, R=0, G=0, B=0]
297560,Color [A=255, R=255, G=255, B=255]
297600,Color [A=255, R=0, G=0, B=0]
297640,Color [A=255, R=255, G=255, B=255]
297680,Color [A=255, R=0, G=0, B=0]
299040,Color [A=255, R=255, G=255, B=255]
299080,Color [A=255, R=0, G=0, B=0]
299120,Color [A=255, R=255, G=255, B=255]
299160,Color [A=255, R=0, G=0, B=0]
314160,Color [A=255, R=255, G=255, B=255]
314200,Color [A=255, R=0, G=0, B=0]
314240,Color [A=255, R=255, G=255, B=255]
314280,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
328720,Color [A=255, R=255, G=255, B=255]
328760,Color [A=255, R=0, G=0, B=0]
328800,Color [A=255, R=255, G=255, B=255]
328840,Color [A=255, R=0, G=0, B=0]
336040,Color [A=255, R=255, G=255, B=255]
336080,Color [A=255, R=0, G=0, B=0]
336120,Color [A=255, R=255, G=255, B=255]
336160,Color [A=255, R=0, G=0, B=0]
340840,Color [A=255, R=255, G=255, B=255]
340880,Color [A=255, R=0, G=0, B=0]
340920,Color [A=255, R=255, G=255, B=255]
340960,Color [A=255, R=0, G=0, B=0]
