40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
629360,Color [A=255, R=255, G=255, B=255]
629400,Color [A=255, R=0, G=0, B=0]
694920,Color [A=255, R=255, G=255, B=255]
760440,Color [A=255, R=255, G=255, B=255]
825960,Color [A=255, R=255, G=255, B=255]
891480,Color [A=255, R=255, G=255, B=255]
957000,Color [A=255, R=255, G=255, B=255]
1022520,Color [A=255, R=255, G=255, B=255]
1088040,Color [A=255, R=255, G=255, B=255]
1153560,Color [A=255, R=255, G=255, B=255]
1219080,Color [A=255, R=255, G=255, B=255]
1284600,Color [A=255, R=255, G=255, B=255]
1350120,Color [A=255, R=255, G=255, B=255]
1415640,Color [A=255, R=255, G=255, B=255]
1481160,Color [A=255, R=255, G=255, B=255]
1546680,Color [A=255, R=255, G=255, B=255]
1612200,Color [A=255, R=255, G=255, B=255]
1677720,Color [A=255, R=255, G=255, B=255]
1695080,Color [A=255, R=255, G=255, B=255]
1695120,Color [A=255, R=0, G=0, B=0]
1760640,Color [A=255, R=255, G=255, B=255]
1826160,Color [A=255, R=255, G=255, B=255]
1891680,Color [A=255, R=255, G=255, B=255]
1957200,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
