40,Color [A=255, R=255, G=206, B=31]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
39600,Color [A=255, R=255, G=255, B=255]
39640,Color [A=255, R=0, G=0, B=0]
39720,Color [A=255, R=255, G=255, B=255]
39760,Color [A=255, R=0, G=0, B=0]
67280,Color [A=255, R=255, G=255, B=255]
67320,Color [A=255, R=0, G=0, B=0]
67800,Color [A=255, R=255, G=255, B=255]
67840,Color [A=255, R=0, G=0, B=0]
68520,Color [A=255, R=255, G=255, B=255]
68560,Color [A=255, R=0, G=0, B=0]
125760,Color [A=255, R=255, G=255, B=255]
125800,Color [A=255, R=0, G=0, B=0]
180200,Color [A=255, R=255, G=255, B=255]
180240,Color [A=255, R=0, G=0, B=0]
198960,Color [A=255, R=255, G=255, B=255]
199000,Color [A=255, R=0, G=0, B=0]
203480,Color [A=255, R=255, G=255, B=255]
203520,Color [A=255, R=0, G=0, B=0]
204920,Color [A=255, R=255, G=255, B=255]
204960,Color [A=255, R=0, G=0, B=0]
206760,Color [A=255, R=255, G=255, B=255]
206800,Color [A=255, R=0, G=0, B=0]
209920,Color [A=255, R=255, G=255, B=255]
209960,Color [A=255, R=0, G=0, B=0]
224800,Color [A=255, R=255, G=255, B=255]
224840,Color [A=255, R=0, G=0, B=0]
229040,Color [A=255, R=255, G=255, B=255]
229080,Color [A=255, R=0, G=0, B=0]
231760,Color [A=255, R=255, G=255, B=255]
231800,Color [A=255, R=0, G=0, B=0]
237880,Color [A=255, R=255, G=255, B=255]
237920,Color [A=255, R=0, G=0, B=0]
239480,Color [A=255, R=255, G=255, B=255]
239520,Color [A=255, R=0, G=0, B=0]
249320,Color [A=255, R=255, G=255, B=255]
249360,Color [A=255, R=0, G=0, B=0]
251640,Color [A=255, R=255, G=255, B=255]
251680,Color [A=255, R=0, G=0, B=0]
252840,Color [A=255, R=255, G=255, B=255]
252880,Color [A=255, R=0, G=0, B=0]
318400,Color [A=255, R=255, G=255, B=255]
371560,Color [A=255, R=255, G=255, B=255]
371600,Color [A=255, R=0, G=0, B=0]
415960,Color [A=255, R=255, G=255, B=255]
416000,Color [A=255, R=0, G=0, B=0]
431400,Color [A=255, R=255, G=255, B=255]
431480,Color [A=255, R=0, G=0, B=0]
441040,Color [A=255, R=255, G=255, B=255]
441080,Color [A=255, R=0, G=0, B=0]
443000,Color [A=255, R=255, G=255, B=255]
443040,Color [A=255, R=0, G=0, B=0]
443120,Color [A=255, R=255, G=255, B=255]
443160,Color [A=255, R=0, G=0, B=0]
490000,Color [A=255, R=255, G=255, B=255]
490040,Color [A=255, R=0, G=0, B=0]
514920,Color [A=255, R=255, G=255, B=255]
514960,Color [A=255, R=0, G=0, B=0]
521840,Color [A=255, R=255, G=255, B=255]
521880,Color [A=255, R=0, G=0, B=0]
538440,Color [A=255, R=255, G=255, B=255]
538480,Color [A=255, R=0, G=0, B=0]
547680,Color [A=255, R=255, G=255, B=255]
547720,Color [A=255, R=0, G=0, B=0]
574600,Color [A=255, R=255, G=255, B=255]
574640,Color [A=255, R=0, G=0, B=0]
574720,Color [A=255, R=255, G=255, B=255]
574760,Color [A=255, R=0, G=0, B=0]
589600,Color [A=255, R=255, G=255, B=255]
589640,Color [A=255, R=0, G=0, B=0]
598360,Color [A=255, R=255, G=255, B=255]
598400,Color [A=255, R=0, G=0, B=0]
612200,Color [A=255, R=255, G=255, B=255]
612240,Color [A=255, R=0, G=0, B=0]
617520,Color [A=255, R=255, G=255, B=255]
617560,Color [A=255, R=0, G=0, B=0]
617640,Color [A=255, R=255, G=255, B=255]
617680,Color [A=255, R=0, G=0, B=0]
619520,Color [A=255, R=255, G=255, B=255]
619560,Color [A=255, R=0, G=0, B=0]
652200,Color [A=255, R=255, G=255, B=255]
652240,Color [A=255, R=0, G=0, B=0]
704600,Color [A=255, R=255, G=255, B=255]
704640,Color [A=255, R=0, G=0, B=0]
719720,Color [A=255, R=255, G=255, B=255]
719760,Color [A=255, R=0, G=0, B=0]
724640,Color [A=255, R=255, G=255, B=255]
724680,Color [A=255, R=0, G=0, B=0]
725920,Color [A=255, R=255, G=255, B=255]
725960,Color [A=255, R=0, G=0, B=0]
728840,Color [A=255, R=255, G=255, B=255]
728880,Color [A=255, R=0, G=0, B=0]
731160,Color [A=255, R=255, G=255, B=255]
731200,Color [A=255, R=0, G=0, B=0]
760680,Color [A=255, R=255, G=255, B=255]
760720,Color [A=255, R=0, G=0, B=0]
806600,Color [A=255, R=255, G=255, B=255]
806640,Color [A=255, R=0, G=0, B=0]
852360,Color [A=255, R=255, G=255, B=255]
852400,Color [A=255, R=0, G=0, B=0]
852960,Color [A=255, R=255, G=255, B=255]
853000,Color [A=255, R=0, G=0, B=0]
854600,Color [A=255, R=255, G=255, B=255]
854640,Color [A=255, R=0, G=0, B=0]
855160,Color [A=255, R=255, G=255, B=255]
855200,Color [A=255, R=0, G=0, B=0]
860200,Color [A=255, R=255, G=255, B=255]
860280,Color [A=255, R=0, G=0, B=0]
883360,Color [A=255, R=255, G=255, B=255]
883400,Color [A=255, R=0, G=0, B=0]
883800,Color [A=255, R=255, G=255, B=255]
883840,Color [A=255, R=0, G=0, B=0]
887360,Color [A=255, R=255, G=255, B=255]
887400,Color [A=255, R=0, G=0, B=0]
888760,Color [A=255, R=255, G=255, B=255]
888800,Color [A=255, R=0, G=0, B=0]
889240,Color [A=255, R=255, G=255, B=255]
889280,Color [A=255, R=0, G=0, B=0]
897440,Color [A=255, R=255, G=255, B=255]
897480,Color [A=255, R=0, G=0, B=0]
903120,Color [A=255, R=255, G=255, B=255]
903160,Color [A=255, R=0, G=0, B=0]
904120,Color [A=255, R=255, G=255, B=255]
904160,Color [A=255, R=0, G=0, B=0]
904360,Color [A=255, R=255, G=255, B=255]
904400,Color [A=255, R=0, G=0, B=0]
907000,Color [A=255, R=255, G=255, B=255]
907040,Color [A=255, R=0, G=0, B=0]
919760,Color [A=255, R=255, G=255, B=255]
919800,Color [A=255, R=0, G=0, B=0]
926680,Color [A=255, R=255, G=255, B=255]
926720,Color [A=255, R=0, G=0, B=0]
927880,Color [A=255, R=255, G=255, B=255]
927920,Color [A=255, R=0, G=0, B=0]
928600,Color [A=255, R=255, G=255, B=255]
928640,Color [A=255, R=0, G=0, B=0]
931880,Color [A=255, R=255, G=255, B=255]
931920,Color [A=255, R=0, G=0, B=0]
933520,Color [A=255, R=255, G=255, B=255]
933560,Color [A=255, R=0, G=0, B=0]
938760,Color [A=255, R=255, G=255, B=255]
938800,Color [A=255, R=0, G=0, B=0]
940440,Color [A=255, R=255, G=255, B=255]
940480,Color [A=255, R=0, G=0, B=0]
961720,Color [A=255, R=255, G=255, B=255]
961760,Color [A=255, R=0, G=0, B=0]
963200,Color [A=255, R=255, G=255, B=255]
963240,Color [A=255, R=0, G=0, B=0]
966880,Color [A=255, R=255, G=255, B=255]
966920,Color [A=255, R=0, G=0, B=0]
968640,Color [A=255, R=255, G=255, B=255]
968680,Color [A=255, R=0, G=0, B=0]
993600,Color [A=255, R=255, G=255, B=255]
993640,Color [A=255, R=0, G=0, B=0]
998560,Color [A=255, R=255, G=255, B=255]
998600,Color [A=255, R=0, G=0, B=0]
1002520,Color [A=255, R=255, G=255, B=255]
