40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=0, G=0, B=0]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
600,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
800,Color [A=255, R=255, G=255, B=255]
840,Color [A=255, R=0, G=0, B=0]
1040,Color [A=255, R=255, G=255, B=255]
1080,Color [A=255, R=0, G=0, B=0]
1480,Color [A=255, R=255, G=255, B=255]
1600,Color [A=255, R=0, G=0, B=0]
1720,Color [A=255, R=255, G=255, B=255]
1760,Color [A=255, R=0, G=0, B=0]
1840,Color [A=255, R=255, G=255, B=255]
1880,Color [A=255, R=0, G=0, B=0]
2040,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2440,Color [A=255, R=255, G=255, B=255]
2480,Color [A=255, R=0, G=0, B=0]
2640,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
2920,Color [A=255, R=255, G=255, B=255]
2960,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3320,Color [A=255, R=255, G=255, B=255]
3400,Color [A=255, R=0, G=0, B=0]
3680,Color [A=255, R=255, G=255, B=255]
3720,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
3960,Color [A=255, R=255, G=255, B=255]
4000,Color [A=255, R=0, G=0, B=0]
4160,Color [A=255, R=255, G=255, B=255]
4240,Color [A=255, R=0, G=0, B=0]
4320,Color [A=255, R=255, G=255, B=255]
4360,Color [A=255, R=0, G=0, B=0]
4400,Color [A=255, R=255, G=255, B=255]
4480,Color [A=255, R=0, G=0, B=0]
5040,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5240,Color [A=255, R=255, G=255, B=255]
5280,Color [A=255, R=0, G=0, B=0]
5400,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
5560,Color [A=255, R=255, G=255, B=255]
5600,Color [A=255, R=0, G=0, B=0]
5720,Color [A=255, R=255, G=255, B=255]
5800,Color [A=255, R=0, G=0, B=0]
6080,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6240,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
6320,Color [A=255, R=255, G=255, B=255]
6360,Color [A=255, R=0, G=0, B=0]
