40,Color [A=255, R=255, G=206, B=31]
560,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
6360,Color [A=255, R=255, G=255, B=255]
6400,Color [A=255, R=0, G=0, B=0]
7960,Color [A=255, R=255, G=255, B=255]
8000,Color [A=255, R=0, G=0, B=0]
10760,Color [A=255, R=255, G=255, B=255]
10800,Color [A=255, R=0, G=0, B=0]
15080,Color [A=255, R=255, G=255, B=255]
15120,Color [A=255, R=0, G=0, B=0]
24400,Color [A=255, R=255, G=255, B=255]
24440,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
41600,Color [A=255, R=255, G=255, B=255]
41640,Color [A=255, R=0, G=0, B=0]
42480,Color [A=255, R=255, G=255, B=255]
42520,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
63120,Color [A=255, R=255, G=255, B=255]
63160,Color [A=255, R=0, G=0, B=0]
75800,Color [A=255, R=255, G=255, B=255]
75840,Color [A=255, R=0, G=0, B=0]
116440,Color [A=255, R=255, G=255, B=255]
116480,Color [A=255, R=0, G=0, B=0]
124520,Color [A=255, R=255, G=255, B=255]
124560,Color [A=255, R=0, G=0, B=0]
128240,Color [A=255, R=255, G=255, B=255]
128280,Color [A=255, R=0, G=0, B=0]
136560,Color [A=255, R=255, G=255, B=255]
136600,Color [A=255, R=0, G=0, B=0]
139080,Color [A=255, R=255, G=255, B=255]
139120,Color [A=255, R=0, G=0, B=0]
143640,Color [A=255, R=255, G=255, B=255]
143680,Color [A=255, R=0, G=0, B=0]
145120,Color [A=255, R=255, G=255, B=255]
145160,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
165480,Color [A=255, R=255, G=255, B=255]
165520,Color [A=255, R=0, G=0, B=0]
166360,Color [A=255, R=255, G=255, B=255]
166400,Color [A=255, R=0, G=0, B=0]
179160,Color [A=255, R=255, G=255, B=255]
179200,Color [A=255, R=0, G=0, B=0]
180000,Color [A=255, R=255, G=255, B=255]
180040,Color [A=255, R=0, G=0, B=0]
181160,Color [A=255, R=255, G=255, B=255]
181200,Color [A=255, R=0, G=0, B=0]
183880,Color [A=255, R=255, G=255, B=255]
183920,Color [A=255, R=0, G=0, B=0]
185760,Color [A=255, R=255, G=255, B=255]
185800,Color [A=255, R=0, G=0, B=0]
199880,Color [A=255, R=255, G=255, B=255]
199920,Color [A=255, R=0, G=0, B=0]
225880,Color [A=255, R=255, G=255, B=255]
225920,Color [A=255, R=0, G=0, B=0]
234200,Color [A=255, R=255, G=255, B=255]
234240,Color [A=255, R=0, G=0, B=0]
242240,Color [A=255, R=255, G=255, B=255]
242280,Color [A=255, R=0, G=0, B=0]
247880,Color [A=255, R=255, G=255, B=255]
247920,Color [A=255, R=0, G=0, B=0]
254080,Color [A=255, R=255, G=255, B=255]
254120,Color [A=255, R=0, G=0, B=0]
255120,Color [A=255, R=255, G=255, B=255]
255160,Color [A=255, R=0, G=0, B=0]
262760,Color [A=255, R=255, G=255, B=255]
262800,Color [A=255, R=0, G=0, B=0]
267680,Color [A=255, R=255, G=255, B=255]
267720,Color [A=255, R=0, G=0, B=0]
282800,Color [A=255, R=255, G=255, B=255]
282840,Color [A=255, R=0, G=0, B=0]
283360,Color [A=255, R=255, G=255, B=255]
283400,Color [A=255, R=0, G=0, B=0]
290960,Color [A=255, R=255, G=255, B=255]
291000,Color [A=255, R=0, G=0, B=0]
297720,Color [A=255, R=255, G=255, B=255]
297760,Color [A=255, R=0, G=0, B=0]
322760,Color [A=255, R=255, G=255, B=255]
322800,Color [A=255, R=0, G=0, B=0]
326600,Color [A=255, R=255, G=255, B=255]
326640,Color [A=255, R=0, G=0, B=0]
327440,Color [A=255, R=255, G=255, B=255]
327480,Color [A=255, R=0, G=0, B=0]
329640,Color [A=255, R=255, G=255, B=255]
329680,Color [A=255, R=0, G=0, B=0]
332960,Color [A=255, R=255, G=255, B=255]
333000,Color [A=255, R=0, G=0, B=0]
336200,Color [A=255, R=255, G=255, B=255]
336240,Color [A=255, R=0, G=0, B=0]
346120,Color [A=255, R=255, G=255, B=255]
346160,Color [A=255, R=0, G=0, B=0]
355320,Color [A=255, R=255, G=255, B=255]
355360,Color [A=255, R=0, G=0, B=0]
369680,Color [A=255, R=255, G=255, B=255]
369720,Color [A=255, R=0, G=0, B=0]
383760,Color [A=255, R=255, G=255, B=255]
383800,Color [A=255, R=0, G=0, B=0]
388520,Color [A=255, R=255, G=255, B=255]
388560,Color [A=255, R=0, G=0, B=0]
391200,Color [A=255, R=255, G=255, B=255]
391240,Color [A=255, R=0, G=0, B=0]
400040,Color [A=255, R=255, G=255, B=255]
400080,Color [A=255, R=0, G=0, B=0]
416720,Color [A=255, R=255, G=255, B=255]
416760,Color [A=255, R=0, G=0, B=0]
424280,Color [A=255, R=255, G=255, B=255]
424320,Color [A=255, R=0, G=0, B=0]
425360,Color [A=255, R=255, G=255, B=255]
425400,Color [A=255, R=0, G=0, B=0]
434920,Color [A=255, R=255, G=255, B=255]
434960,Color [A=255, R=0, G=0, B=0]
441640,Color [A=255, R=255, G=255, B=255]
441680,Color [A=255, R=0, G=0, B=0]
447960,Color [A=255, R=255, G=255, B=255]
448000,Color [A=255, R=0, G=0, B=0]
449840,Color [A=255, R=255, G=255, B=255]
449880,Color [A=255, R=0, G=0, B=0]
458640,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=0, G=0, B=0]
463440,Color [A=255, R=255, G=255, B=255]
463480,Color [A=255, R=0, G=0, B=0]
472760,Color [A=255, R=255, G=255, B=255]
472800,Color [A=255, R=0, G=0, B=0]
474240,Color [A=255, R=255, G=255, B=255]
474280,Color [A=255, R=0, G=0, B=0]
475440,Color [A=255, R=255, G=255, B=255]
475480,Color [A=255, R=0, G=0, B=0]
477120,Color [A=255, R=255, G=255, B=255]
477160,Color [A=255, R=0, G=0, B=0]
485960,Color [A=255, R=255, G=255, B=255]
486000,Color [A=255, R=0, G=0, B=0]
489520,Color [A=255, R=255, G=255, B=255]
489560,Color [A=255, R=0, G=0, B=0]
490080,Color [A=255, R=255, G=255, B=255]
490120,Color [A=255, R=0, G=0, B=0]
506640,Color [A=255, R=255, G=255, B=255]
506680,Color [A=255, R=0, G=0, B=0]
509880,Color [A=255, R=255, G=255, B=255]
509920,Color [A=255, R=0, G=0, B=0]
517640,Color [A=255, R=255, G=255, B=255]
517680,Color [A=255, R=0, G=0, B=0]
523080,Color [A=255, R=255, G=255, B=255]
523120,Color [A=255, R=0, G=0, B=0]
527160,Color [A=255, R=255, G=255, B=255]
527200,Color [A=255, R=0, G=0, B=0]
532720,Color [A=255, R=255, G=255, B=255]
532760,Color [A=255, R=0, G=0, B=0]
540000,Color [A=255, R=255, G=255, B=255]
540040,Color [A=255, R=0, G=0, B=0]
549920,Color [A=255, R=255, G=255, B=255]
549960,Color [A=255, R=0, G=0, B=0]
567520,Color [A=255, R=255, G=255, B=255]
567560,Color [A=255, R=0, G=0, B=0]
568240,Color [A=255, R=255, G=255, B=255]
568280,Color [A=255, R=0, G=0, B=0]
568360,Color [A=255, R=255, G=255, B=255]
568400,Color [A=255, R=0, G=0, B=0]
571040,Color [A=255, R=255, G=255, B=255]
571080,Color [A=255, R=0, G=0, B=0]
590160,Color [A=255, R=255, G=255, B=255]
590200,Color [A=255, R=0, G=0, B=0]
595600,Color [A=255, R=255, G=255, B=255]
595640,Color [A=255, R=0, G=0, B=0]
602600,Color [A=255, R=255, G=255, B=255]
602640,Color [A=255, R=0, G=0, B=0]
604360,Color [A=255, R=255, G=255, B=255]
604400,Color [A=255, R=0, G=0, B=0]
617000,Color [A=255, R=255, G=255, B=255]
617040,Color [A=255, R=0, G=0, B=0]
620320,Color [A=255, R=255, G=255, B=255]
620360,Color [A=255, R=0, G=0, B=0]
622240,Color [A=255, R=255, G=255, B=255]
622280,Color [A=255, R=0, G=0, B=0]
622400,Color [A=255, R=255, G=255, B=255]
622440,Color [A=255, R=0, G=0, B=0]
623920,Color [A=255, R=255, G=255, B=255]
623960,Color [A=255, R=0, G=0, B=0]
634520,Color [A=255, R=255, G=255, B=255]
634560,Color [A=255, R=0, G=0, B=0]
646920,Color [A=255, R=255, G=255, B=255]
646960,Color [A=255, R=0, G=0, B=0]
650040,Color [A=255, R=255, G=255, B=255]
650080,Color [A=255, R=0, G=0, B=0]
653120,Color [A=255, R=255, G=255, B=255]
653160,Color [A=255, R=0, G=0, B=0]
657040,Color [A=255, R=255, G=255, B=255]
657080,Color [A=255, R=0, G=0, B=0]
662880,Color [A=255, R=255, G=255, B=255]
662920,Color [A=255, R=0, G=0, B=0]
666160,Color [A=255, R=255, G=255, B=255]
666200,Color [A=255, R=0, G=0, B=0]
675000,Color [A=255, R=255, G=255, B=255]
675040,Color [A=255, R=0, G=0, B=0]
677120,Color [A=255, R=255, G=255, B=255]
677160,Color [A=255, R=0, G=0, B=0]
678320,Color [A=255, R=255, G=255, B=255]
678360,Color [A=255, R=0, G=0, B=0]
684760,Color [A=255, R=255, G=255, B=255]
684800,Color [A=255, R=0, G=0, B=0]
692160,Color [A=255, R=255, G=255, B=255]
692200,Color [A=255, R=0, G=0, B=0]
697000,Color [A=255, R=255, G=255, B=255]
697040,Color [A=255, R=0, G=0, B=0]
708560,Color [A=255, R=255, G=255, B=255]
708600,Color [A=255, R=0, G=0, B=0]
727720,Color [A=255, R=255, G=255, B=255]
727760,Color [A=255, R=0, G=0, B=0]
756520,Color [A=255, R=255, G=255, B=255]
756560,Color [A=255, R=0, G=0, B=0]
760360,Color [A=255, R=255, G=255, B=255]
