40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
183760,Color [A=255, R=255, G=255, B=255]
183800,Color [A=255, R=0, G=0, B=0]
249320,Color [A=255, R=255, G=255, B=255]
313320,Color [A=255, R=255, G=255, B=255]
313360,Color [A=255, R=0, G=0, B=0]
378880,Color [A=255, R=255, G=255, B=255]
444400,Color [A=255, R=255, G=255, B=255]
486960,Color [A=255, R=255, G=255, B=255]
487000,Color [A=255, R=0, G=0, B=0]
552520,Color [A=255, R=255, G=255, B=255]
577960,Color [A=255, R=255, G=255, B=255]
578000,Color [A=255, R=0, G=0, B=0]
594640,Color [A=255, R=255, G=255, B=255]
594680,Color [A=255, R=0, G=0, B=0]
595880,Color [A=255, R=255, G=255, B=255]
595920,Color [A=255, R=0, G=0, B=0]
627280,Color [A=255, R=255, G=255, B=255]
627320,Color [A=255, R=0, G=0, B=0]
674840,Color [A=255, R=255, G=255, B=255]
674880,Color [A=255, R=0, G=0, B=0]
740400,Color [A=255, R=255, G=255, B=255]
805920,Color [A=255, R=255, G=255, B=255]
824400,Color [A=255, R=255, G=255, B=255]
824440,Color [A=255, R=0, G=0, B=0]
837120,Color [A=255, R=255, G=255, B=255]
837160,Color [A=255, R=0, G=0, B=0]
862920,Color [A=255, R=255, G=255, B=255]
862960,Color [A=255, R=0, G=0, B=0]
864520,Color [A=255, R=255, G=255, B=255]
864560,Color [A=255, R=0, G=0, B=0]
903880,Color [A=255, R=255, G=255, B=255]
903920,Color [A=255, R=0, G=0, B=0]
969440,Color [A=255, R=255, G=255, B=255]
1034960,Color [A=255, R=255, G=255, B=255]
1100480,Color [A=255, R=255, G=255, B=255]
1166000,Color [A=255, R=255, G=255, B=255]
1176800,Color [A=255, R=255, G=255, B=255]
1176840,Color [A=255, R=0, G=0, B=0]
1242360,Color [A=255, R=255, G=255, B=255]
1307880,Color [A=255, R=255, G=255, B=255]
1373400,Color [A=255, R=255, G=255, B=255]
1382480,Color [A=255, R=255, G=255, B=255]
1382520,Color [A=255, R=0, G=0, B=0]
1400040,Color [A=255, R=255, G=255, B=255]
1400080,Color [A=255, R=0, G=0, B=0]
1428080,Color [A=255, R=255, G=255, B=255]
1428720,Color [A=255, R=0, G=0, B=0]
1494240,Color [A=255, R=255, G=255, B=255]
1527560,Color [A=255, R=255, G=255, B=255]
1527600,Color [A=255, R=0, G=0, B=0]
1593120,Color [A=255, R=255, G=255, B=255]
1658640,Color [A=255, R=255, G=255, B=255]
1703280,Color [A=255, R=255, G=255, B=255]
1703320,Color [A=255, R=0, G=0, B=0]
1714080,Color [A=255, R=255, G=255, B=255]
1714120,Color [A=255, R=0, G=0, B=0]
1779640,Color [A=255, R=255, G=255, B=255]
1845160,Color [A=255, R=255, G=255, B=255]
1875200,Color [A=255, R=255, G=255, B=255]
1875240,Color [A=255, R=0, G=0, B=0]
1875400,Color [A=255, R=255, G=255, B=255]
1875440,Color [A=255, R=0, G=0, B=0]
1894680,Color [A=255, R=255, G=255, B=255]
1894720,Color [A=255, R=0, G=0, B=0]
1960240,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
