40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
34720,Color [A=255, R=255, G=255, B=255]
34760,Color [A=255, R=0, G=0, B=0]
34800,Color [A=255, R=255, G=255, B=255]
34840,Color [A=255, R=0, G=0, B=0]
38360,Color [A=255, R=255, G=255, B=255]
38400,Color [A=255, R=0, G=0, B=0]
38440,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
51440,Color [A=255, R=255, G=255, B=255]
51480,Color [A=255, R=0, G=0, B=0]
51520,Color [A=255, R=255, G=255, B=255]
51560,Color [A=255, R=0, G=0, B=0]
58760,Color [A=255, R=255, G=255, B=255]
58800,Color [A=255, R=0, G=0, B=0]
65880,Color [A=255, R=255, G=255, B=255]
65920,Color [A=255, R=0, G=0, B=0]
65960,Color [A=255, R=255, G=255, B=255]
66040,Color [A=255, R=0, G=0, B=0]
80000,Color [A=255, R=255, G=255, B=255]
80040,Color [A=255, R=0, G=0, B=0]
80080,Color [A=255, R=255, G=255, B=255]
80120,Color [A=255, R=0, G=0, B=0]
84920,Color [A=255, R=255, G=255, B=255]
84960,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
95480,Color [A=255, R=255, G=255, B=255]
95520,Color [A=255, R=0, G=0, B=0]
101560,Color [A=255, R=255, G=255, B=255]
101600,Color [A=255, R=0, G=0, B=0]
101640,Color [A=255, R=255, G=255, B=255]
101680,Color [A=255, R=0, G=0, B=0]
103560,Color [A=255, R=255, G=255, B=255]
103600,Color [A=255, R=0, G=0, B=0]
105000,Color [A=255, R=255, G=255, B=255]
105040,Color [A=255, R=0, G=0, B=0]
108960,Color [A=255, R=255, G=255, B=255]
109000,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
115800,Color [A=255, R=255, G=255, B=255]
115840,Color [A=255, R=0, G=0, B=0]
115880,Color [A=255, R=255, G=255, B=255]
115960,Color [A=255, R=0, G=0, B=0]
120480,Color [A=255, R=255, G=255, B=255]
120520,Color [A=255, R=0, G=0, B=0]
120560,Color [A=255, R=255, G=255, B=255]
120600,Color [A=255, R=0, G=0, B=0]
124280,Color [A=255, R=255, G=255, B=255]
124320,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
131960,Color [A=255, R=255, G=255, B=255]
132000,Color [A=255, R=0, G=0, B=0]
140920,Color [A=255, R=255, G=255, B=255]
140960,Color [A=255, R=0, G=0, B=0]
141000,Color [A=255, R=255, G=255, B=255]
141040,Color [A=255, R=0, G=0, B=0]
142040,Color [A=255, R=255, G=255, B=255]
142080,Color [A=255, R=0, G=0, B=0]
143080,Color [A=255, R=255, G=255, B=255]
143120,Color [A=255, R=0, G=0, B=0]
144880,Color [A=255, R=255, G=255, B=255]
144920,Color [A=255, R=0, G=0, B=0]
147320,Color [A=255, R=255, G=255, B=255]
147360,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
154560,Color [A=255, R=255, G=255, B=255]
154600,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
164280,Color [A=255, R=255, G=255, B=255]
164320,Color [A=255, R=0, G=0, B=0]
164360,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
166120,Color [A=255, R=255, G=255, B=255]
166160,Color [A=255, R=0, G=0, B=0]
167160,Color [A=255, R=255, G=255, B=255]
167200,Color [A=255, R=0, G=0, B=0]
169320,Color [A=255, R=255, G=255, B=255]
169360,Color [A=255, R=0, G=0, B=0]
171080,Color [A=255, R=255, G=255, B=255]
171120,Color [A=255, R=0, G=0, B=0]
171160,Color [A=255, R=255, G=255, B=255]
171240,Color [A=255, R=0, G=0, B=0]
173880,Color [A=255, R=255, G=255, B=255]
173920,Color [A=255, R=0, G=0, B=0]
177240,Color [A=255, R=255, G=255, B=255]
177280,Color [A=255, R=0, G=0, B=0]
177320,Color [A=255, R=255, G=255, B=255]
177360,Color [A=255, R=0, G=0, B=0]
179560,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179680,Color [A=255, R=255, G=255, B=255]
