40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
16040,Color [A=255, R=255, G=255, B=255]
16080,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
22800,Color [A=255, R=255, G=255, B=255]
22840,Color [A=255, R=0, G=0, B=0]
23680,Color [A=255, R=255, G=255, B=255]
23720,Color [A=255, R=0, G=0, B=0]
26880,Color [A=255, R=255, G=255, B=255]
26920,Color [A=255, R=0, G=0, B=0]
27920,Color [A=255, R=255, G=255, B=255]
27960,Color [A=255, R=0, G=0, B=0]
28080,Color [A=255, R=255, G=255, B=255]
28120,Color [A=255, R=0, G=0, B=0]
30720,Color [A=255, R=255, G=255, B=255]
30760,Color [A=255, R=0, G=0, B=0]
32240,Color [A=255, R=255, G=255, B=255]
32280,Color [A=255, R=0, G=0, B=0]
32440,Color [A=255, R=255, G=255, B=255]
32480,Color [A=255, R=0, G=0, B=0]
33240,Color [A=255, R=255, G=255, B=255]
33280,Color [A=255, R=0, G=0, B=0]
36200,Color [A=255, R=255, G=255, B=255]
36240,Color [A=255, R=0, G=0, B=0]
36600,Color [A=255, R=255, G=255, B=255]
36640,Color [A=255, R=0, G=0, B=0]
36800,Color [A=255, R=255, G=255, B=255]
36840,Color [A=255, R=0, G=0, B=0]
40400,Color [A=255, R=255, G=255, B=255]
40440,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
45920,Color [A=255, R=255, G=255, B=255]
45960,Color [A=255, R=0, G=0, B=0]
47680,Color [A=255, R=255, G=255, B=255]
47720,Color [A=255, R=0, G=0, B=0]
47960,Color [A=255, R=255, G=255, B=255]
48000,Color [A=255, R=0, G=0, B=0]
56480,Color [A=255, R=255, G=255, B=255]
56520,Color [A=255, R=0, G=0, B=0]
60160,Color [A=255, R=255, G=255, B=255]
60240,Color [A=255, R=0, G=0, B=0]
65760,Color [A=255, R=255, G=255, B=255]
65800,Color [A=255, R=0, G=0, B=0]
69400,Color [A=255, R=255, G=255, B=255]
69440,Color [A=255, R=0, G=0, B=0]
69920,Color [A=255, R=255, G=255, B=255]
69960,Color [A=255, R=0, G=0, B=0]
70760,Color [A=255, R=255, G=255, B=255]
70800,Color [A=255, R=0, G=0, B=0]
71400,Color [A=255, R=255, G=255, B=255]
71440,Color [A=255, R=0, G=0, B=0]
71680,Color [A=255, R=255, G=255, B=255]
71720,Color [A=255, R=0, G=0, B=0]
72760,Color [A=255, R=255, G=255, B=255]
72800,Color [A=255, R=0, G=0, B=0]
76200,Color [A=255, R=255, G=255, B=255]
76240,Color [A=255, R=0, G=0, B=0]
77240,Color [A=255, R=255, G=255, B=255]
77280,Color [A=255, R=0, G=0, B=0]
78400,Color [A=255, R=255, G=255, B=255]
78440,Color [A=255, R=0, G=0, B=0]
78720,Color [A=255, R=255, G=255, B=255]
78760,Color [A=255, R=0, G=0, B=0]
79680,Color [A=255, R=255, G=255, B=255]
79720,Color [A=255, R=0, G=0, B=0]
80800,Color [A=255, R=255, G=255, B=255]
80840,Color [A=255, R=0, G=0, B=0]
81680,Color [A=255, R=255, G=255, B=255]
81720,Color [A=255, R=0, G=0, B=0]
83160,Color [A=255, R=255, G=255, B=255]
83240,Color [A=255, R=0, G=0, B=0]
90880,Color [A=255, R=255, G=255, B=255]
90920,Color [A=255, R=0, G=0, B=0]
91360,Color [A=255, R=255, G=255, B=255]
91400,Color [A=255, R=0, G=0, B=0]
93640,Color [A=255, R=255, G=255, B=255]
93680,Color [A=255, R=0, G=0, B=0]
95840,Color [A=255, R=255, G=255, B=255]
95880,Color [A=255, R=0, G=0, B=0]
95960,Color [A=255, R=255, G=255, B=255]
96000,Color [A=255, R=0, G=0, B=0]
97880,Color [A=255, R=255, G=255, B=255]
97920,Color [A=255, R=0, G=0, B=0]
99240,Color [A=255, R=255, G=255, B=255]
99280,Color [A=255, R=0, G=0, B=0]
101360,Color [A=255, R=255, G=255, B=255]
101400,Color [A=255, R=0, G=0, B=0]
102760,Color [A=255, R=255, G=255, B=255]
