40,Color [A=255, R=255, G=206, B=31]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
920,Color [A=255, R=255, G=255, B=255]
960,Color [A=255, R=0, G=0, B=0]
1920,Color [A=255, R=255, G=255, B=255]
2040,Color [A=255, R=0, G=0, B=0]
3040,Color [A=255, R=255, G=255, B=255]
3080,Color [A=255, R=0, G=0, B=0]
3280,Color [A=255, R=255, G=255, B=255]
3360,Color [A=255, R=0, G=0, B=0]
4040,Color [A=255, R=255, G=255, B=255]
4080,Color [A=255, R=0, G=0, B=0]
4160,Color [A=255, R=255, G=255, B=255]
4200,Color [A=255, R=0, G=0, B=0]
4760,Color [A=255, R=255, G=255, B=255]
4800,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5680,Color [A=255, R=255, G=255, B=255]
5760,Color [A=255, R=0, G=0, B=0]
5840,Color [A=255, R=255, G=255, B=255]
5880,Color [A=255, R=0, G=0, B=0]
6000,Color [A=255, R=255, G=255, B=255]
6040,Color [A=255, R=0, G=0, B=0]
7080,Color [A=255, R=255, G=255, B=255]
7120,Color [A=255, R=0, G=0, B=0]
7360,Color [A=255, R=255, G=255, B=255]
7440,Color [A=255, R=0, G=0, B=0]
7560,Color [A=255, R=255, G=255, B=255]
7600,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
8120,Color [A=255, R=255, G=255, B=255]
8160,Color [A=255, R=0, G=0, B=0]
8400,Color [A=255, R=255, G=255, B=255]
8440,Color [A=255, R=0, G=0, B=0]
8520,Color [A=255, R=255, G=255, B=255]
8560,Color [A=255, R=0, G=0, B=0]
8760,Color [A=255, R=255, G=255, B=255]
8800,Color [A=255, R=0, G=0, B=0]
8920,Color [A=255, R=255, G=255, B=255]
8960,Color [A=255, R=0, G=0, B=0]
9040,Color [A=255, R=255, G=255, B=255]
9080,Color [A=255, R=0, G=0, B=0]
9160,Color [A=255, R=255, G=255, B=255]
9200,Color [A=255, R=0, G=0, B=0]
9240,Color [A=255, R=255, G=255, B=255]
9280,Color [A=255, R=0, G=0, B=0]
9480,Color [A=255, R=255, G=255, B=255]
9520,Color [A=255, R=0, G=0, B=0]
9640,Color [A=255, R=255, G=255, B=255]
9680,Color [A=255, R=0, G=0, B=0]
10160,Color [A=255, R=255, G=255, B=255]
10240,Color [A=255, R=0, G=0, B=0]
11040,Color [A=255, R=255, G=255, B=255]
11080,Color [A=255, R=0, G=0, B=0]
11520,Color [A=255, R=255, G=255, B=255]
11560,Color [A=255, R=0, G=0, B=0]
11960,Color [A=255, R=255, G=255, B=255]
12000,Color [A=255, R=0, G=0, B=0]
12160,Color [A=255, R=255, G=255, B=255]
12200,Color [A=255, R=0, G=0, B=0]
12360,Color [A=255, R=255, G=255, B=255]
12400,Color [A=255, R=0, G=0, B=0]
12520,Color [A=255, R=255, G=255, B=255]
12560,Color [A=255, R=0, G=0, B=0]
13240,Color [A=255, R=255, G=255, B=255]
13280,Color [A=255, R=0, G=0, B=0]
14000,Color [A=255, R=255, G=255, B=255]
14040,Color [A=255, R=0, G=0, B=0]
14160,Color [A=255, R=255, G=255, B=255]
14200,Color [A=255, R=0, G=0, B=0]
14360,Color [A=255, R=255, G=255, B=255]
14400,Color [A=255, R=0, G=0, B=0]
14520,Color [A=255, R=255, G=255, B=255]
