40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
800,Color [A=255, R=255, G=255, B=255]
840,Color [A=255, R=0, G=0, B=0]
5560,Color [A=255, R=255, G=255, B=255]
5600,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
11400,Color [A=255, R=255, G=255, B=255]
11440,Color [A=255, R=0, G=0, B=0]
12280,Color [A=255, R=255, G=255, B=255]
12320,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21760,Color [A=255, R=0, G=0, B=0]
21800,Color [A=255, R=255, G=255, B=255]
21840,Color [A=255, R=0, G=0, B=0]
22120,Color [A=255, R=255, G=255, B=255]
22160,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25720,Color [A=255, R=255, G=255, B=255]
25760,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34720,Color [A=255, R=0, G=0, B=0]
34760,Color [A=255, R=255, G=255, B=255]
34800,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
35000,Color [A=255, R=255, G=255, B=255]
35040,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38360,Color [A=255, R=0, G=0, B=0]
38400,Color [A=255, R=255, G=255, B=255]
38440,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
41760,Color [A=255, R=255, G=255, B=255]
41800,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51440,Color [A=255, R=0, G=0, B=0]
51480,Color [A=255, R=255, G=255, B=255]
51520,Color [A=255, R=0, G=0, B=0]
51560,Color [A=255, R=255, G=255, B=255]
51600,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
65880,Color [A=255, R=0, G=0, B=0]
65920,Color [A=255, R=255, G=255, B=255]
65960,Color [A=255, R=0, G=0, B=0]
74160,Color [A=255, R=255, G=255, B=255]
74200,Color [A=255, R=0, G=0, B=0]
75720,Color [A=255, R=255, G=255, B=255]
75760,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
79960,Color [A=255, R=255, G=255, B=255]
80000,Color [A=255, R=0, G=0, B=0]
80040,Color [A=255, R=255, G=255, B=255]
80080,Color [A=255, R=0, G=0, B=0]
80120,Color [A=255, R=255, G=255, B=255]
80160,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
81920,Color [A=255, R=0, G=0, B=0]
89920,Color [A=255, R=255, G=255, B=255]
89960,Color [A=255, R=0, G=0, B=0]
101520,Color [A=255, R=255, G=255, B=255]
101560,Color [A=255, R=0, G=0, B=0]
101600,Color [A=255, R=255, G=255, B=255]
101640,Color [A=255, R=0, G=0, B=0]
101680,Color [A=255, R=255, G=255, B=255]
101720,Color [A=255, R=0, G=0, B=0]
103560,Color [A=255, R=255, G=255, B=255]
103600,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
115760,Color [A=255, R=255, G=255, B=255]
115800,Color [A=255, R=0, G=0, B=0]
115840,Color [A=255, R=255, G=255, B=255]
115880,Color [A=255, R=0, G=0, B=0]
118840,Color [A=255, R=255, G=255, B=255]
118880,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
120440,Color [A=255, R=255, G=255, B=255]
120480,Color [A=255, R=0, G=0, B=0]
120520,Color [A=255, R=255, G=255, B=255]
120560,Color [A=255, R=0, G=0, B=0]
120600,Color [A=255, R=255, G=255, B=255]
120640,Color [A=255, R=0, G=0, B=0]
124440,Color [A=255, R=255, G=255, B=255]
124480,Color [A=255, R=0, G=0, B=0]
128160,Color [A=255, R=255, G=255, B=255]
128200,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
134800,Color [A=255, R=255, G=255, B=255]
134840,Color [A=255, R=0, G=0, B=0]
137080,Color [A=255, R=255, G=255, B=255]
137120,Color [A=255, R=0, G=0, B=0]
137320,Color [A=255, R=255, G=255, B=255]
137360,Color [A=255, R=0, G=0, B=0]
138600,Color [A=255, R=255, G=255, B=255]
138640,Color [A=255, R=0, G=0, B=0]
139000,Color [A=255, R=255, G=255, B=255]
139040,Color [A=255, R=0, G=0, B=0]
140880,Color [A=255, R=255, G=255, B=255]
140920,Color [A=255, R=0, G=0, B=0]
140960,Color [A=255, R=255, G=255, B=255]
141000,Color [A=255, R=0, G=0, B=0]
145040,Color [A=255, R=255, G=255, B=255]
145080,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
157080,Color [A=255, R=255, G=255, B=255]
157120,Color [A=255, R=0, G=0, B=0]
162880,Color [A=255, R=255, G=255, B=255]
162920,Color [A=255, R=0, G=0, B=0]
164240,Color [A=255, R=255, G=255, B=255]
164280,Color [A=255, R=0, G=0, B=0]
164320,Color [A=255, R=255, G=255, B=255]
164360,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
164600,Color [A=255, R=255, G=255, B=255]
164640,Color [A=255, R=0, G=0, B=0]
165400,Color [A=255, R=255, G=255, B=255]
165440,Color [A=255, R=0, G=0, B=0]
166280,Color [A=255, R=255, G=255, B=255]
166320,Color [A=255, R=0, G=0, B=0]
169320,Color [A=255, R=255, G=255, B=255]
169360,Color [A=255, R=0, G=0, B=0]
171040,Color [A=255, R=255, G=255, B=255]
171080,Color [A=255, R=0, G=0, B=0]
171120,Color [A=255, R=255, G=255, B=255]
171160,Color [A=255, R=0, G=0, B=0]
171680,Color [A=255, R=255, G=255, B=255]
171720,Color [A=255, R=0, G=0, B=0]
174360,Color [A=255, R=255, G=255, B=255]
174400,Color [A=255, R=0, G=0, B=0]
177200,Color [A=255, R=255, G=255, B=255]
177240,Color [A=255, R=0, G=0, B=0]
177280,Color [A=255, R=255, G=255, B=255]
177320,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
177520,Color [A=255, R=255, G=255, B=255]
177560,Color [A=255, R=0, G=0, B=0]
178040,Color [A=255, R=255, G=255, B=255]
178080,Color [A=255, R=0, G=0, B=0]
179520,Color [A=255, R=255, G=255, B=255]
179560,Color [A=255, R=0, G=0, B=0]
179600,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
179920,Color [A=255, R=255, G=255, B=255]
179960,Color [A=255, R=0, G=0, B=0]
180000,Color [A=255, R=255, G=255, B=255]
180040,Color [A=255, R=0, G=0, B=0]
181960,Color [A=255, R=255, G=255, B=255]
182000,Color [A=255, R=0, G=0, B=0]
182040,Color [A=255, R=255, G=255, B=255]
182080,Color [A=255, R=0, G=0, B=0]
189720,Color [A=255, R=255, G=255, B=255]
189760,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
190760,Color [A=255, R=255, G=255, B=255]
190800,Color [A=255, R=0, G=0, B=0]
193160,Color [A=255, R=255, G=255, B=255]
193200,Color [A=255, R=0, G=0, B=0]
195600,Color [A=255, R=255, G=255, B=255]
195640,Color [A=255, R=0, G=0, B=0]
195680,Color [A=255, R=255, G=255, B=255]
195720,Color [A=255, R=0, G=0, B=0]
195760,Color [A=255, R=255, G=255, B=255]
195800,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
198960,Color [A=255, R=255, G=255, B=255]
199000,Color [A=255, R=0, G=0, B=0]
199800,Color [A=255, R=255, G=255, B=255]
199840,Color [A=255, R=0, G=0, B=0]
203480,Color [A=255, R=255, G=255, B=255]
203520,Color [A=255, R=0, G=0, B=0]
203880,Color [A=255, R=255, G=255, B=255]
203920,Color [A=255, R=0, G=0, B=0]
203960,Color [A=255, R=255, G=255, B=255]
204000,Color [A=255, R=0, G=0, B=0]
204040,Color [A=255, R=255, G=255, B=255]
204080,Color [A=255, R=0, G=0, B=0]
204920,Color [A=255, R=255, G=255, B=255]
204960,Color [A=255, R=0, G=0, B=0]
213000,Color [A=255, R=255, G=255, B=255]
213040,Color [A=255, R=0, G=0, B=0]
