40,Color [A=255, R=255, G=206, B=31]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
1680,Color [A=255, R=255, G=255, B=255]
1720,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
2080,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2160,Color [A=255, R=255, G=255, B=255]
2200,Color [A=255, R=0, G=0, B=0]
2280,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2400,Color [A=255, R=255, G=255, B=255]
2440,Color [A=255, R=0, G=0, B=0]
2680,Color [A=255, R=255, G=255, B=255]
2720,Color [A=255, R=0, G=0, B=0]
2840,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3640,Color [A=255, R=255, G=255, B=255]
3680,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
4720,Color [A=255, R=255, G=255, B=255]
4760,Color [A=255, R=0, G=0, B=0]
5080,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5360,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
5640,Color [A=255, R=255, G=255, B=255]
5680,Color [A=255, R=0, G=0, B=0]
6120,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
6760,Color [A=255, R=255, G=255, B=255]
6800,Color [A=255, R=0, G=0, B=0]
6920,Color [A=255, R=255, G=255, B=255]
6960,Color [A=255, R=0, G=0, B=0]
7040,Color [A=255, R=255, G=255, B=255]
7080,Color [A=255, R=0, G=0, B=0]
7120,Color [A=255, R=255, G=255, B=255]
7160,Color [A=255, R=0, G=0, B=0]
7240,Color [A=255, R=255, G=255, B=255]
7280,Color [A=255, R=0, G=0, B=0]
7520,Color [A=255, R=255, G=255, B=255]
7560,Color [A=255, R=0, G=0, B=0]
7760,Color [A=255, R=255, G=255, B=255]
7800,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
8360,Color [A=255, R=255, G=255, B=255]
8400,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8680,Color [A=255, R=0, G=0, B=0]
9440,Color [A=255, R=255, G=255, B=255]
9480,Color [A=255, R=0, G=0, B=0]
9760,Color [A=255, R=255, G=255, B=255]
9800,Color [A=255, R=0, G=0, B=0]
10000,Color [A=255, R=255, G=255, B=255]
10040,Color [A=255, R=0, G=0, B=0]
10120,Color [A=255, R=255, G=255, B=255]
10160,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11280,Color [A=255, R=0, G=0, B=0]
