40,Color [A=255, R=255, G=206, B=31]
1440,Color [A=255, R=255, G=255, B=255]
1480,Color [A=255, R=0, G=0, B=0]
1680,Color [A=255, R=255, G=255, B=255]
1720,Color [A=255, R=0, G=0, B=0]
2280,Color [A=255, R=255, G=255, B=255]
2320,Color [A=255, R=0, G=0, B=0]
2400,Color [A=255, R=255, G=255, B=255]
2440,Color [A=255, R=0, G=0, B=0]
3640,Color [A=255, R=255, G=255, B=255]
3680,Color [A=255, R=0, G=0, B=0]
4720,Color [A=255, R=255, G=255, B=255]
4760,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
4920,Color [A=255, R=0, G=0, B=0]
4960,Color [A=255, R=255, G=255, B=255]
5040,Color [A=255, R=0, G=0, B=0]
5360,Color [A=255, R=255, G=255, B=255]
5400,Color [A=255, R=0, G=0, B=0]
5440,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
5640,Color [A=255, R=255, G=255, B=255]
5680,Color [A=255, R=0, G=0, B=0]
6920,Color [A=255, R=255, G=255, B=255]
6960,Color [A=255, R=0, G=0, B=0]
7120,Color [A=255, R=255, G=255, B=255]
7160,Color [A=255, R=0, G=0, B=0]
7240,Color [A=255, R=255, G=255, B=255]
7280,Color [A=255, R=0, G=0, B=0]
7760,Color [A=255, R=255, G=255, B=255]
7800,Color [A=255, R=0, G=0, B=0]
8360,Color [A=255, R=255, G=255, B=255]
8400,Color [A=255, R=0, G=0, B=0]
9120,Color [A=255, R=255, G=255, B=255]
9160,Color [A=255, R=0, G=0, B=0]
9440,Color [A=255, R=255, G=255, B=255]
9480,Color [A=255, R=0, G=0, B=0]
9760,Color [A=255, R=255, G=255, B=255]
9800,Color [A=255, R=0, G=0, B=0]
10120,Color [A=255, R=255, G=255, B=255]
10160,Color [A=255, R=0, G=0, B=0]
10360,Color [A=255, R=255, G=255, B=255]
10400,Color [A=255, R=0, G=0, B=0]
10840,Color [A=255, R=255, G=255, B=255]
10880,Color [A=255, R=0, G=0, B=0]
11840,Color [A=255, R=255, G=255, B=255]
11880,Color [A=255, R=0, G=0, B=0]
12120,Color [A=255, R=255, G=255, B=255]
12160,Color [A=255, R=0, G=0, B=0]
12560,Color [A=255, R=255, G=255, B=255]
12640,Color [A=255, R=0, G=0, B=0]
13560,Color [A=255, R=255, G=255, B=255]
13600,Color [A=255, R=0, G=0, B=0]
13720,Color [A=255, R=255, G=255, B=255]
13760,Color [A=255, R=0, G=0, B=0]
14040,Color [A=255, R=255, G=255, B=255]
14080,Color [A=255, R=0, G=0, B=0]
14880,Color [A=255, R=255, G=255, B=255]
14920,Color [A=255, R=0, G=0, B=0]
22040,Color [A=255, R=255, G=255, B=255]
22080,Color [A=255, R=0, G=0, B=0]
22520,Color [A=255, R=255, G=255, B=255]
22560,Color [A=255, R=0, G=0, B=0]
23560,Color [A=255, R=255, G=255, B=255]
23600,Color [A=255, R=0, G=0, B=0]
23920,Color [A=255, R=255, G=255, B=255]
23960,Color [A=255, R=0, G=0, B=0]
24200,Color [A=255, R=255, G=255, B=255]
24240,Color [A=255, R=0, G=0, B=0]
25200,Color [A=255, R=255, G=255, B=255]
25240,Color [A=255, R=0, G=0, B=0]
25440,Color [A=255, R=255, G=255, B=255]
25480,Color [A=255, R=0, G=0, B=0]
26040,Color [A=255, R=255, G=255, B=255]
26080,Color [A=255, R=0, G=0, B=0]
27240,Color [A=255, R=255, G=255, B=255]
27280,Color [A=255, R=0, G=0, B=0]
27440,Color [A=255, R=255, G=255, B=255]
27480,Color [A=255, R=0, G=0, B=0]
27720,Color [A=255, R=255, G=255, B=255]
27760,Color [A=255, R=0, G=0, B=0]
28880,Color [A=255, R=255, G=255, B=255]
28920,Color [A=255, R=0, G=0, B=0]
29080,Color [A=255, R=255, G=255, B=255]
29120,Color [A=255, R=0, G=0, B=0]
30000,Color [A=255, R=255, G=255, B=255]
30080,Color [A=255, R=0, G=0, B=0]
31360,Color [A=255, R=255, G=255, B=255]
31400,Color [A=255, R=0, G=0, B=0]
31520,Color [A=255, R=255, G=255, B=255]
31560,Color [A=255, R=0, G=0, B=0]
31680,Color [A=255, R=255, G=255, B=255]
31720,Color [A=255, R=0, G=0, B=0]
31840,Color [A=255, R=255, G=255, B=255]
31880,Color [A=255, R=0, G=0, B=0]
32040,Color [A=255, R=255, G=255, B=255]
32080,Color [A=255, R=0, G=0, B=0]
32560,Color [A=255, R=255, G=255, B=255]
32600,Color [A=255, R=0, G=0, B=0]
32880,Color [A=255, R=255, G=255, B=255]
32920,Color [A=255, R=0, G=0, B=0]
33680,Color [A=255, R=255, G=255, B=255]
33720,Color [A=255, R=0, G=0, B=0]
33920,Color [A=255, R=255, G=255, B=255]
33960,Color [A=255, R=0, G=0, B=0]
34160,Color [A=255, R=255, G=255, B=255]
34240,Color [A=255, R=0, G=0, B=0]
35320,Color [A=255, R=255, G=255, B=255]
35360,Color [A=255, R=0, G=0, B=0]
35800,Color [A=255, R=255, G=255, B=255]
35840,Color [A=255, R=0, G=0, B=0]
36040,Color [A=255, R=255, G=255, B=255]
36080,Color [A=255, R=0, G=0, B=0]
36320,Color [A=255, R=255, G=255, B=255]
36360,Color [A=255, R=0, G=0, B=0]
36920,Color [A=255, R=255, G=255, B=255]
36960,Color [A=255, R=0, G=0, B=0]
37120,Color [A=255, R=255, G=255, B=255]
37160,Color [A=255, R=0, G=0, B=0]
38520,Color [A=255, R=255, G=255, B=255]
38560,Color [A=255, R=0, G=0, B=0]
38680,Color [A=255, R=255, G=255, B=255]
38720,Color [A=255, R=0, G=0, B=0]
39040,Color [A=255, R=255, G=255, B=255]
39080,Color [A=255, R=0, G=0, B=0]
39160,Color [A=255, R=255, G=255, B=255]
39200,Color [A=255, R=0, G=0, B=0]
39880,Color [A=255, R=255, G=255, B=255]
39920,Color [A=255, R=0, G=0, B=0]
40600,Color [A=255, R=255, G=255, B=255]
40640,Color [A=255, R=0, G=0, B=0]
40840,Color [A=255, R=255, G=255, B=255]
40880,Color [A=255, R=0, G=0, B=0]
41200,Color [A=255, R=255, G=255, B=255]
41240,Color [A=255, R=0, G=0, B=0]
41400,Color [A=255, R=255, G=255, B=255]
41440,Color [A=255, R=0, G=0, B=0]
42280,Color [A=255, R=255, G=255, B=255]
42320,Color [A=255, R=0, G=0, B=0]
42680,Color [A=255, R=255, G=255, B=255]
42720,Color [A=255, R=0, G=0, B=0]
42880,Color [A=255, R=255, G=255, B=255]
42920,Color [A=255, R=0, G=0, B=0]
43280,Color [A=255, R=255, G=255, B=255]
43320,Color [A=255, R=0, G=0, B=0]
43960,Color [A=255, R=255, G=255, B=255]
44000,Color [A=255, R=0, G=0, B=0]
44360,Color [A=255, R=255, G=255, B=255]
44400,Color [A=255, R=0, G=0, B=0]
