40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
655240,Color [A=255, R=255, G=255, B=255]
720760,Color [A=255, R=255, G=255, B=255]
769040,Color [A=255, R=255, G=255, B=255]
769080,Color [A=255, R=0, G=0, B=0]
834600,Color [A=255, R=255, G=255, B=255]
900120,Color [A=255, R=255, G=255, B=255]
965640,Color [A=255, R=255, G=255, B=255]
1031160,Color [A=255, R=255, G=255, B=255]
1096680,Color [A=255, R=255, G=255, B=255]
1162200,Color [A=255, R=255, G=255, B=255]
1213800,Color [A=255, R=255, G=255, B=255]
1213840,Color [A=255, R=0, G=0, B=0]
1279360,Color [A=255, R=255, G=255, B=255]
1344880,Color [A=255, R=255, G=255, B=255]
1410400,Color [A=255, R=255, G=255, B=255]
1475920,Color [A=255, R=255, G=255, B=255]
1541440,Color [A=255, R=255, G=255, B=255]
1606960,Color [A=255, R=255, G=255, B=255]
1672480,Color [A=255, R=255, G=255, B=255]
1738000,Color [A=255, R=255, G=255, B=255]
1803520,Color [A=255, R=255, G=255, B=255]
1869040,Color [A=255, R=255, G=255, B=255]
1934560,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
