40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
920,Color [A=255, R=255, G=255, B=255]
960,Color [A=255, R=0, G=0, B=0]
1960,Color [A=255, R=255, G=255, B=255]
2000,Color [A=255, R=0, G=0, B=0]
2960,Color [A=255, R=255, G=255, B=255]
3000,Color [A=255, R=0, G=0, B=0]
3040,Color [A=255, R=255, G=255, B=255]
3080,Color [A=255, R=0, G=0, B=0]
3200,Color [A=255, R=255, G=255, B=255]
3240,Color [A=255, R=0, G=0, B=0]
3280,Color [A=255, R=255, G=255, B=255]
3320,Color [A=255, R=0, G=0, B=0]
3840,Color [A=255, R=255, G=255, B=255]
3920,Color [A=255, R=0, G=0, B=0]
4040,Color [A=255, R=255, G=255, B=255]
4080,Color [A=255, R=0, G=0, B=0]
4760,Color [A=255, R=255, G=255, B=255]
4800,Color [A=255, R=0, G=0, B=0]
5680,Color [A=255, R=255, G=255, B=255]
5720,Color [A=255, R=0, G=0, B=0]
5840,Color [A=255, R=255, G=255, B=255]
5960,Color [A=255, R=0, G=0, B=0]
6440,Color [A=255, R=255, G=255, B=255]
6480,Color [A=255, R=0, G=0, B=0]
6640,Color [A=255, R=255, G=255, B=255]
6680,Color [A=255, R=0, G=0, B=0]
7400,Color [A=255, R=255, G=255, B=255]
7440,Color [A=255, R=0, G=0, B=0]
7560,Color [A=255, R=255, G=255, B=255]
7600,Color [A=255, R=0, G=0, B=0]
8040,Color [A=255, R=255, G=255, B=255]
8080,Color [A=255, R=0, G=0, B=0]
8120,Color [A=255, R=255, G=255, B=255]
8160,Color [A=255, R=0, G=0, B=0]
8400,Color [A=255, R=255, G=255, B=255]
8480,Color [A=255, R=0, G=0, B=0]
8520,Color [A=255, R=255, G=255, B=255]
8560,Color [A=255, R=0, G=0, B=0]
8600,Color [A=255, R=255, G=255, B=255]
8640,Color [A=255, R=0, G=0, B=0]
8760,Color [A=255, R=255, G=255, B=255]
8800,Color [A=255, R=0, G=0, B=0]
8920,Color [A=255, R=255, G=255, B=255]
8960,Color [A=255, R=0, G=0, B=0]
9040,Color [A=255, R=255, G=255, B=255]
9080,Color [A=255, R=0, G=0, B=0]
9160,Color [A=255, R=255, G=255, B=255]
9200,Color [A=255, R=0, G=0, B=0]
9480,Color [A=255, R=255, G=255, B=255]
9520,Color [A=255, R=0, G=0, B=0]
9640,Color [A=255, R=255, G=255, B=255]
9680,Color [A=255, R=0, G=0, B=0]
9880,Color [A=255, R=255, G=255, B=255]
9920,Color [A=255, R=0, G=0, B=0]
10160,Color [A=255, R=255, G=255, B=255]
10200,Color [A=255, R=0, G=0, B=0]
11520,Color [A=255, R=255, G=255, B=255]
11560,Color [A=255, R=0, G=0, B=0]
12160,Color [A=255, R=255, G=255, B=255]
12200,Color [A=255, R=0, G=0, B=0]
12360,Color [A=255, R=255, G=255, B=255]
12400,Color [A=255, R=0, G=0, B=0]
12520,Color [A=255, R=255, G=255, B=255]
12560,Color [A=255, R=0, G=0, B=0]
13680,Color [A=255, R=255, G=255, B=255]
13720,Color [A=255, R=0, G=0, B=0]
13920,Color [A=255, R=255, G=255, B=255]
13960,Color [A=255, R=0, G=0, B=0]
14000,Color [A=255, R=255, G=255, B=255]
14040,Color [A=255, R=0, G=0, B=0]
14160,Color [A=255, R=255, G=255, B=255]
14200,Color [A=255, R=0, G=0, B=0]
14360,Color [A=255, R=255, G=255, B=255]
14480,Color [A=255, R=0, G=0, B=0]
15280,Color [A=255, R=255, G=255, B=255]
15320,Color [A=255, R=0, G=0, B=0]
15520,Color [A=255, R=255, G=255, B=255]
15560,Color [A=255, R=0, G=0, B=0]
15840,Color [A=255, R=255, G=255, B=255]
15880,Color [A=255, R=0, G=0, B=0]
15960,Color [A=255, R=255, G=255, B=255]
16000,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
22240,Color [A=255, R=255, G=255, B=255]
22280,Color [A=255, R=0, G=0, B=0]
22360,Color [A=255, R=255, G=255, B=255]
22400,Color [A=255, R=0, G=0, B=0]
22600,Color [A=255, R=255, G=255, B=255]
22640,Color [A=255, R=0, G=0, B=0]
22680,Color [A=255, R=255, G=255, B=255]
22720,Color [A=255, R=0, G=0, B=0]
23200,Color [A=255, R=255, G=255, B=255]
23240,Color [A=255, R=0, G=0, B=0]
24480,Color [A=255, R=255, G=255, B=255]
24520,Color [A=255, R=0, G=0, B=0]
24800,Color [A=255, R=255, G=255, B=255]
24920,Color [A=255, R=0, G=0, B=0]
27080,Color [A=255, R=255, G=255, B=255]
27120,Color [A=255, R=0, G=0, B=0]
27840,Color [A=255, R=255, G=255, B=255]
27920,Color [A=255, R=0, G=0, B=0]
28320,Color [A=255, R=255, G=255, B=255]
28360,Color [A=255, R=0, G=0, B=0]
28400,Color [A=255, R=255, G=255, B=255]
28480,Color [A=255, R=0, G=0, B=0]
28520,Color [A=255, R=255, G=255, B=255]
28560,Color [A=255, R=0, G=0, B=0]
28640,Color [A=255, R=255, G=255, B=255]
28680,Color [A=255, R=0, G=0, B=0]
29000,Color [A=255, R=255, G=255, B=255]
29040,Color [A=255, R=0, G=0, B=0]
29200,Color [A=255, R=255, G=255, B=255]
29240,Color [A=255, R=0, G=0, B=0]
29560,Color [A=255, R=255, G=255, B=255]
29600,Color [A=255, R=0, G=0, B=0]
29720,Color [A=255, R=255, G=255, B=255]
29800,Color [A=255, R=0, G=0, B=0]
29840,Color [A=255, R=255, G=255, B=255]
29880,Color [A=255, R=0, G=0, B=0]
29960,Color [A=255, R=255, G=255, B=255]
30000,Color [A=255, R=0, G=0, B=0]
30240,Color [A=255, R=255, G=255, B=255]
30280,Color [A=255, R=0, G=0, B=0]
30360,Color [A=255, R=255, G=255, B=255]
30400,Color [A=255, R=0, G=0, B=0]
31040,Color [A=255, R=255, G=255, B=255]
31120,Color [A=255, R=0, G=0, B=0]
31200,Color [A=255, R=255, G=255, B=255]
31240,Color [A=255, R=0, G=0, B=0]
31880,Color [A=255, R=255, G=255, B=255]
31920,Color [A=255, R=0, G=0, B=0]
32120,Color [A=255, R=255, G=255, B=255]
32160,Color [A=255, R=0, G=0, B=0]
32480,Color [A=255, R=255, G=255, B=255]
32520,Color [A=255, R=0, G=0, B=0]
32720,Color [A=255, R=255, G=255, B=255]
32760,Color [A=255, R=0, G=0, B=0]
32960,Color [A=255, R=255, G=255, B=255]
33000,Color [A=255, R=0, G=0, B=0]
33080,Color [A=255, R=255, G=255, B=255]
33120,Color [A=255, R=0, G=0, B=0]
33280,Color [A=255, R=255, G=255, B=255]
33320,Color [A=255, R=0, G=0, B=0]
33360,Color [A=255, R=255, G=255, B=255]
33400,Color [A=255, R=0, G=0, B=0]
33480,Color [A=255, R=255, G=255, B=255]
33520,Color [A=255, R=0, G=0, B=0]
33880,Color [A=255, R=255, G=255, B=255]
33920,Color [A=255, R=0, G=0, B=0]
34120,Color [A=255, R=255, G=255, B=255]
34160,Color [A=255, R=0, G=0, B=0]
34280,Color [A=255, R=255, G=255, B=255]
34320,Color [A=255, R=0, G=0, B=0]
34600,Color [A=255, R=255, G=255, B=255]
34640,Color [A=255, R=0, G=0, B=0]
34720,Color [A=255, R=255, G=255, B=255]
34760,Color [A=255, R=0, G=0, B=0]
34800,Color [A=255, R=255, G=255, B=255]
34840,Color [A=255, R=0, G=0, B=0]
35160,Color [A=255, R=255, G=255, B=255]
35200,Color [A=255, R=0, G=0, B=0]
35360,Color [A=255, R=255, G=255, B=255]
35400,Color [A=255, R=0, G=0, B=0]
36440,Color [A=255, R=255, G=255, B=255]
36480,Color [A=255, R=0, G=0, B=0]
36520,Color [A=255, R=255, G=255, B=255]
36560,Color [A=255, R=0, G=0, B=0]
37280,Color [A=255, R=255, G=255, B=255]
37320,Color [A=255, R=0, G=0, B=0]
37640,Color [A=255, R=255, G=255, B=255]
37680,Color [A=255, R=0, G=0, B=0]
37800,Color [A=255, R=255, G=255, B=255]
37880,Color [A=255, R=0, G=0, B=0]
38360,Color [A=255, R=255, G=255, B=255]
38400,Color [A=255, R=0, G=0, B=0]
38440,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
38720,Color [A=255, R=255, G=255, B=255]
38760,Color [A=255, R=0, G=0, B=0]
39440,Color [A=255, R=255, G=255, B=255]
39480,Color [A=255, R=0, G=0, B=0]
39600,Color [A=255, R=255, G=255, B=255]
39640,Color [A=255, R=0, G=0, B=0]
39720,Color [A=255, R=255, G=255, B=255]
39760,Color [A=255, R=0, G=0, B=0]
39920,Color [A=255, R=255, G=255, B=255]
39960,Color [A=255, R=0, G=0, B=0]
40080,Color [A=255, R=255, G=255, B=255]
40120,Color [A=255, R=0, G=0, B=0]
40320,Color [A=255, R=255, G=255, B=255]
40360,Color [A=255, R=0, G=0, B=0]
40520,Color [A=255, R=255, G=255, B=255]
40560,Color [A=255, R=0, G=0, B=0]
40680,Color [A=255, R=255, G=255, B=255]
40720,Color [A=255, R=0, G=0, B=0]
40760,Color [A=255, R=255, G=255, B=255]
40800,Color [A=255, R=0, G=0, B=0]
43640,Color [A=255, R=255, G=255, B=255]
43680,Color [A=255, R=0, G=0, B=0]
43720,Color [A=255, R=255, G=255, B=255]
43760,Color [A=255, R=0, G=0, B=0]
44200,Color [A=255, R=255, G=255, B=255]
44240,Color [A=255, R=0, G=0, B=0]
44400,Color [A=255, R=255, G=255, B=255]
44440,Color [A=255, R=0, G=0, B=0]
44560,Color [A=255, R=255, G=255, B=255]
44600,Color [A=255, R=0, G=0, B=0]
45120,Color [A=255, R=255, G=255, B=255]
45160,Color [A=255, R=0, G=0, B=0]
45200,Color [A=255, R=255, G=255, B=255]
45240,Color [A=255, R=0, G=0, B=0]
45640,Color [A=255, R=255, G=255, B=255]
45680,Color [A=255, R=0, G=0, B=0]
46080,Color [A=255, R=255, G=255, B=255]
46120,Color [A=255, R=0, G=0, B=0]
46400,Color [A=255, R=255, G=255, B=255]
46440,Color [A=255, R=0, G=0, B=0]
46520,Color [A=255, R=255, G=255, B=255]
46560,Color [A=255, R=0, G=0, B=0]
46760,Color [A=255, R=255, G=255, B=255]
46800,Color [A=255, R=0, G=0, B=0]
47080,Color [A=255, R=255, G=255, B=255]
47120,Color [A=255, R=0, G=0, B=0]
47280,Color [A=255, R=255, G=255, B=255]
47320,Color [A=255, R=0, G=0, B=0]
47600,Color [A=255, R=255, G=255, B=255]
47640,Color [A=255, R=0, G=0, B=0]
48200,Color [A=255, R=255, G=255, B=255]
48240,Color [A=255, R=0, G=0, B=0]
49760,Color [A=255, R=255, G=255, B=255]
49800,Color [A=255, R=0, G=0, B=0]
51080,Color [A=255, R=255, G=255, B=255]
51120,Color [A=255, R=0, G=0, B=0]
51440,Color [A=255, R=255, G=255, B=255]
51480,Color [A=255, R=0, G=0, B=0]
51520,Color [A=255, R=255, G=255, B=255]
51560,Color [A=255, R=0, G=0, B=0]
51640,Color [A=255, R=255, G=255, B=255]
51680,Color [A=255, R=0, G=0, B=0]
51760,Color [A=255, R=255, G=255, B=255]
51800,Color [A=255, R=0, G=0, B=0]
52440,Color [A=255, R=255, G=255, B=255]
52480,Color [A=255, R=0, G=0, B=0]
52560,Color [A=255, R=255, G=255, B=255]
52600,Color [A=255, R=0, G=0, B=0]
53120,Color [A=255, R=255, G=255, B=255]
53160,Color [A=255, R=0, G=0, B=0]
53560,Color [A=255, R=255, G=255, B=255]
53600,Color [A=255, R=0, G=0, B=0]
53680,Color [A=255, R=255, G=255, B=255]
53720,Color [A=255, R=0, G=0, B=0]
54240,Color [A=255, R=255, G=255, B=255]
54280,Color [A=255, R=0, G=0, B=0]
54960,Color [A=255, R=255, G=255, B=255]
55000,Color [A=255, R=0, G=0, B=0]
55360,Color [A=255, R=255, G=255, B=255]
55400,Color [A=255, R=0, G=0, B=0]
55840,Color [A=255, R=255, G=255, B=255]
55880,Color [A=255, R=0, G=0, B=0]
56360,Color [A=255, R=255, G=255, B=255]
56400,Color [A=255, R=0, G=0, B=0]
56440,Color [A=255, R=255, G=255, B=255]
56480,Color [A=255, R=0, G=0, B=0]
57160,Color [A=255, R=255, G=255, B=255]
57280,Color [A=255, R=0, G=0, B=0]
57680,Color [A=255, R=255, G=255, B=255]
57720,Color [A=255, R=0, G=0, B=0]
59000,Color [A=255, R=255, G=255, B=255]
59040,Color [A=255, R=0, G=0, B=0]
59760,Color [A=255, R=255, G=255, B=255]
59800,Color [A=255, R=0, G=0, B=0]
59840,Color [A=255, R=255, G=255, B=255]
59880,Color [A=255, R=0, G=0, B=0]
60120,Color [A=255, R=255, G=255, B=255]
60160,Color [A=255, R=0, G=0, B=0]
60240,Color [A=255, R=255, G=255, B=255]
60280,Color [A=255, R=0, G=0, B=0]
60360,Color [A=255, R=255, G=255, B=255]
60400,Color [A=255, R=0, G=0, B=0]
60600,Color [A=255, R=255, G=255, B=255]
60640,Color [A=255, R=0, G=0, B=0]
60680,Color [A=255, R=255, G=255, B=255]
60720,Color [A=255, R=0, G=0, B=0]
61160,Color [A=255, R=255, G=255, B=255]
61200,Color [A=255, R=0, G=0, B=0]
61760,Color [A=255, R=255, G=255, B=255]
61800,Color [A=255, R=0, G=0, B=0]
62080,Color [A=255, R=255, G=255, B=255]
62120,Color [A=255, R=0, G=0, B=0]
