40,Color [A=255, R=255, G=206, B=31]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
115640,Color [A=255, R=255, G=255, B=255]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
195280,Color [A=255, R=255, G=255, B=255]
195320,Color [A=255, R=0, G=0, B=0]
203360,Color [A=255, R=255, G=255, B=255]
203400,Color [A=255, R=0, G=0, B=0]
204800,Color [A=255, R=255, G=255, B=255]
204840,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
217400,Color [A=255, R=255, G=255, B=255]
217440,Color [A=255, R=0, G=0, B=0]
226480,Color [A=255, R=255, G=255, B=255]
226520,Color [A=255, R=0, G=0, B=0]
238480,Color [A=255, R=255, G=255, B=255]
238520,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
252720,Color [A=255, R=255, G=255, B=255]
252760,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
263880,Color [A=255, R=255, G=255, B=255]
263920,Color [A=255, R=0, G=0, B=0]
264040,Color [A=255, R=255, G=255, B=255]
264080,Color [A=255, R=0, G=0, B=0]
270120,Color [A=255, R=255, G=255, B=255]
270160,Color [A=255, R=0, G=0, B=0]
270200,Color [A=255, R=255, G=255, B=255]
270240,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
326440,Color [A=255, R=255, G=255, B=255]
326480,Color [A=255, R=0, G=0, B=0]
366440,Color [A=255, R=255, G=255, B=255]
366480,Color [A=255, R=0, G=0, B=0]
390800,Color [A=255, R=255, G=255, B=255]
390840,Color [A=255, R=0, G=0, B=0]
398280,Color [A=255, R=255, G=255, B=255]
398320,Color [A=255, R=0, G=0, B=0]
428600,Color [A=255, R=255, G=255, B=255]
428640,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
449280,Color [A=255, R=255, G=255, B=255]
449320,Color [A=255, R=0, G=0, B=0]
449480,Color [A=255, R=255, G=255, B=255]
449520,Color [A=255, R=0, G=0, B=0]
504480,Color [A=255, R=255, G=255, B=255]
504520,Color [A=255, R=0, G=0, B=0]
504640,Color [A=255, R=255, G=255, B=255]
504680,Color [A=255, R=0, G=0, B=0]
510440,Color [A=255, R=255, G=255, B=255]
510480,Color [A=255, R=0, G=0, B=0]
553320,Color [A=255, R=255, G=255, B=255]
553360,Color [A=255, R=0, G=0, B=0]
598240,Color [A=255, R=255, G=255, B=255]
598280,Color [A=255, R=0, G=0, B=0]
612080,Color [A=255, R=255, G=255, B=255]
612120,Color [A=255, R=0, G=0, B=0]
616280,Color [A=255, R=255, G=255, B=255]
616320,Color [A=255, R=0, G=0, B=0]
619400,Color [A=255, R=255, G=255, B=255]
619440,Color [A=255, R=0, G=0, B=0]
637080,Color [A=255, R=255, G=255, B=255]
637120,Color [A=255, R=0, G=0, B=0]
645040,Color [A=255, R=255, G=255, B=255]
645080,Color [A=255, R=0, G=0, B=0]
650880,Color [A=255, R=255, G=255, B=255]
650920,Color [A=255, R=0, G=0, B=0]
660480,Color [A=255, R=255, G=255, B=255]
660520,Color [A=255, R=0, G=0, B=0]
705200,Color [A=255, R=255, G=255, B=255]
705240,Color [A=255, R=0, G=0, B=0]
706440,Color [A=255, R=255, G=255, B=255]
