40,Color [A=255, R=255, G=206, B=31]
200,Color [A=255, R=255, G=255, B=255]
240,Color [A=255, R=0, G=0, B=0]
60280,Color [A=255, R=255, G=255, B=255]
60320,Color [A=255, R=0, G=0, B=0]
62720,Color [A=255, R=255, G=255, B=255]
62760,Color [A=255, R=0, G=0, B=0]
67240,Color [A=255, R=255, G=255, B=255]
67280,Color [A=255, R=0, G=0, B=0]
69360,Color [A=255, R=255, G=255, B=255]
69400,Color [A=255, R=0, G=0, B=0]
73320,Color [A=255, R=255, G=255, B=255]
73360,Color [A=255, R=0, G=0, B=0]
79560,Color [A=255, R=255, G=255, B=255]
79600,Color [A=255, R=0, G=0, B=0]
90840,Color [A=255, R=255, G=255, B=255]
90880,Color [A=255, R=0, G=0, B=0]
93240,Color [A=255, R=255, G=255, B=255]
93280,Color [A=255, R=0, G=0, B=0]
96600,Color [A=255, R=255, G=255, B=255]
96640,Color [A=255, R=0, G=0, B=0]
115120,Color [A=255, R=255, G=255, B=255]
115160,Color [A=255, R=0, G=0, B=0]
138560,Color [A=255, R=255, G=255, B=255]
138600,Color [A=255, R=0, G=0, B=0]
160760,Color [A=255, R=255, G=255, B=255]
160800,Color [A=255, R=0, G=0, B=0]
161440,Color [A=255, R=255, G=255, B=255]
161480,Color [A=255, R=0, G=0, B=0]
186440,Color [A=255, R=255, G=255, B=255]
186480,Color [A=255, R=0, G=0, B=0]
209080,Color [A=255, R=255, G=255, B=255]
209120,Color [A=255, R=0, G=0, B=0]
216440,Color [A=255, R=255, G=255, B=255]
216480,Color [A=255, R=0, G=0, B=0]
268920,Color [A=255, R=255, G=255, B=255]
268960,Color [A=255, R=0, G=0, B=0]
317720,Color [A=255, R=255, G=255, B=255]
317760,Color [A=255, R=0, G=0, B=0]
346240,Color [A=255, R=255, G=255, B=255]
346280,Color [A=255, R=0, G=0, B=0]
350240,Color [A=255, R=255, G=255, B=255]
350280,Color [A=255, R=0, G=0, B=0]
352360,Color [A=255, R=255, G=255, B=255]
352400,Color [A=255, R=0, G=0, B=0]
365440,Color [A=255, R=255, G=255, B=255]
365480,Color [A=255, R=0, G=0, B=0]
367680,Color [A=255, R=255, G=255, B=255]
367720,Color [A=255, R=0, G=0, B=0]
433240,Color [A=255, R=255, G=255, B=255]
433560,Color [A=255, R=255, G=255, B=255]
433600,Color [A=255, R=0, G=0, B=0]
435480,Color [A=255, R=255, G=255, B=255]
435520,Color [A=255, R=0, G=0, B=0]
450280,Color [A=255, R=255, G=255, B=255]
450320,Color [A=255, R=0, G=0, B=0]
453440,Color [A=255, R=255, G=255, B=255]
453480,Color [A=255, R=0, G=0, B=0]
502840,Color [A=255, R=255, G=255, B=255]
502880,Color [A=255, R=0, G=0, B=0]
509760,Color [A=255, R=255, G=255, B=255]
509800,Color [A=255, R=0, G=0, B=0]
575320,Color [A=255, R=255, G=255, B=255]
640840,Color [A=255, R=255, G=255, B=255]
649960,Color [A=255, R=255, G=255, B=255]
650000,Color [A=255, R=0, G=0, B=0]
653520,Color [A=255, R=255, G=255, B=255]
653560,Color [A=255, R=0, G=0, B=0]
659440,Color [A=255, R=255, G=255, B=255]
659480,Color [A=255, R=0, G=0, B=0]
670640,Color [A=255, R=255, G=255, B=255]
670680,Color [A=255, R=0, G=0, B=0]
702240,Color [A=255, R=255, G=255, B=255]
702280,Color [A=255, R=0, G=0, B=0]
703760,Color [A=255, R=255, G=255, B=255]
703800,Color [A=255, R=0, G=0, B=0]
769320,Color [A=255, R=255, G=255, B=255]
780640,Color [A=255, R=255, G=255, B=255]
780680,Color [A=255, R=0, G=0, B=0]
820000,Color [A=255, R=255, G=255, B=255]
820040,Color [A=255, R=0, G=0, B=0]
827760,Color [A=255, R=255, G=255, B=255]
827800,Color [A=255, R=0, G=0, B=0]
834200,Color [A=255, R=255, G=255, B=255]
834240,Color [A=255, R=0, G=0, B=0]
835400,Color [A=255, R=255, G=255, B=255]
835440,Color [A=255, R=0, G=0, B=0]
900960,Color [A=255, R=255, G=255, B=255]
925240,Color [A=255, R=255, G=255, B=255]
925280,Color [A=255, R=0, G=0, B=0]
948760,Color [A=255, R=255, G=255, B=255]
948800,Color [A=255, R=0, G=0, B=0]
951760,Color [A=255, R=255, G=255, B=255]
951800,Color [A=255, R=0, G=0, B=0]
993000,Color [A=255, R=255, G=255, B=255]
993040,Color [A=255, R=0, G=0, B=0]
997080,Color [A=255, R=255, G=255, B=255]
997120,Color [A=255, R=0, G=0, B=0]
