40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
1200,Color [A=255, R=255, G=255, B=255]
1240,Color [A=255, R=0, G=0, B=0]
2520,Color [A=255, R=255, G=255, B=255]
2560,Color [A=255, R=0, G=0, B=0]
4280,Color [A=255, R=255, G=255, B=255]
4320,Color [A=255, R=0, G=0, B=0]
5200,Color [A=255, R=255, G=255, B=255]
5240,Color [A=255, R=0, G=0, B=0]
6960,Color [A=255, R=255, G=255, B=255]
7000,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
8680,Color [A=255, R=255, G=255, B=255]
8720,Color [A=255, R=0, G=0, B=0]
8960,Color [A=255, R=255, G=255, B=255]
9000,Color [A=255, R=0, G=0, B=0]
9200,Color [A=255, R=255, G=255, B=255]
9240,Color [A=255, R=0, G=0, B=0]
9320,Color [A=255, R=255, G=255, B=255]
9360,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
9680,Color [A=255, R=255, G=255, B=255]
9720,Color [A=255, R=0, G=0, B=0]
10920,Color [A=255, R=255, G=255, B=255]
10960,Color [A=255, R=0, G=0, B=0]
13120,Color [A=255, R=255, G=255, B=255]
13160,Color [A=255, R=0, G=0, B=0]
13840,Color [A=255, R=255, G=255, B=255]
13880,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
15360,Color [A=255, R=255, G=255, B=255]
15400,Color [A=255, R=0, G=0, B=0]
15760,Color [A=255, R=255, G=255, B=255]
15800,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21760,Color [A=255, R=0, G=0, B=0]
21800,Color [A=255, R=255, G=255, B=255]
21840,Color [A=255, R=0, G=0, B=0]
22680,Color [A=255, R=255, G=255, B=255]
22720,Color [A=255, R=0, G=0, B=0]
23160,Color [A=255, R=255, G=255, B=255]
23200,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
24520,Color [A=255, R=255, G=255, B=255]
24560,Color [A=255, R=0, G=0, B=0]
24920,Color [A=255, R=255, G=255, B=255]
24960,Color [A=255, R=0, G=0, B=0]
25400,Color [A=255, R=255, G=255, B=255]
25440,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
26160,Color [A=255, R=255, G=255, B=255]
26200,Color [A=255, R=0, G=0, B=0]
26520,Color [A=255, R=255, G=255, B=255]
26560,Color [A=255, R=0, G=0, B=0]
26840,Color [A=255, R=255, G=255, B=255]
26880,Color [A=255, R=0, G=0, B=0]
28920,Color [A=255, R=255, G=255, B=255]
28960,Color [A=255, R=0, G=0, B=0]
29360,Color [A=255, R=255, G=255, B=255]
29400,Color [A=255, R=0, G=0, B=0]
29640,Color [A=255, R=255, G=255, B=255]
29680,Color [A=255, R=0, G=0, B=0]
32320,Color [A=255, R=255, G=255, B=255]
32360,Color [A=255, R=0, G=0, B=0]
33520,Color [A=255, R=255, G=255, B=255]
33560,Color [A=255, R=0, G=0, B=0]
33800,Color [A=255, R=255, G=255, B=255]
33840,Color [A=255, R=0, G=0, B=0]
34320,Color [A=255, R=255, G=255, B=255]
34360,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34720,Color [A=255, R=0, G=0, B=0]
34760,Color [A=255, R=255, G=255, B=255]
34800,Color [A=255, R=0, G=0, B=0]
35200,Color [A=255, R=255, G=255, B=255]
35240,Color [A=255, R=0, G=0, B=0]
35640,Color [A=255, R=255, G=255, B=255]
35680,Color [A=255, R=0, G=0, B=0]
36560,Color [A=255, R=255, G=255, B=255]
36600,Color [A=255, R=0, G=0, B=0]
36720,Color [A=255, R=255, G=255, B=255]
36760,Color [A=255, R=0, G=0, B=0]
37040,Color [A=255, R=255, G=255, B=255]
37080,Color [A=255, R=0, G=0, B=0]
37480,Color [A=255, R=255, G=255, B=255]
37520,Color [A=255, R=0, G=0, B=0]
37720,Color [A=255, R=255, G=255, B=255]
37760,Color [A=255, R=0, G=0, B=0]
38000,Color [A=255, R=255, G=255, B=255]
38040,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38360,Color [A=255, R=0, G=0, B=0]
38400,Color [A=255, R=255, G=255, B=255]
38440,Color [A=255, R=0, G=0, B=0]
38760,Color [A=255, R=255, G=255, B=255]
38800,Color [A=255, R=0, G=0, B=0]
39320,Color [A=255, R=255, G=255, B=255]
39360,Color [A=255, R=0, G=0, B=0]
39680,Color [A=255, R=255, G=255, B=255]
39720,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
41240,Color [A=255, R=255, G=255, B=255]
41280,Color [A=255, R=0, G=0, B=0]
41520,Color [A=255, R=255, G=255, B=255]
41560,Color [A=255, R=0, G=0, B=0]
42040,Color [A=255, R=255, G=255, B=255]
42080,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
42960,Color [A=255, R=255, G=255, B=255]
43000,Color [A=255, R=0, G=0, B=0]
43440,Color [A=255, R=255, G=255, B=255]
43480,Color [A=255, R=0, G=0, B=0]
44160,Color [A=255, R=255, G=255, B=255]
44200,Color [A=255, R=0, G=0, B=0]
46240,Color [A=255, R=255, G=255, B=255]
46280,Color [A=255, R=0, G=0, B=0]
48360,Color [A=255, R=255, G=255, B=255]
48400,Color [A=255, R=0, G=0, B=0]
48480,Color [A=255, R=255, G=255, B=255]
48520,Color [A=255, R=0, G=0, B=0]
49120,Color [A=255, R=255, G=255, B=255]
49160,Color [A=255, R=0, G=0, B=0]
49640,Color [A=255, R=255, G=255, B=255]
49680,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50440,Color [A=255, R=255, G=255, B=255]
50480,Color [A=255, R=0, G=0, B=0]
51120,Color [A=255, R=255, G=255, B=255]
51160,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51440,Color [A=255, R=0, G=0, B=0]
51480,Color [A=255, R=255, G=255, B=255]
51520,Color [A=255, R=0, G=0, B=0]
52400,Color [A=255, R=255, G=255, B=255]
52440,Color [A=255, R=0, G=0, B=0]
53160,Color [A=255, R=255, G=255, B=255]
53200,Color [A=255, R=0, G=0, B=0]
53520,Color [A=255, R=255, G=255, B=255]
53560,Color [A=255, R=0, G=0, B=0]
54120,Color [A=255, R=255, G=255, B=255]
54160,Color [A=255, R=0, G=0, B=0]
54520,Color [A=255, R=255, G=255, B=255]
54560,Color [A=255, R=0, G=0, B=0]
54640,Color [A=255, R=255, G=255, B=255]
54680,Color [A=255, R=0, G=0, B=0]
54880,Color [A=255, R=255, G=255, B=255]
54920,Color [A=255, R=0, G=0, B=0]
55600,Color [A=255, R=255, G=255, B=255]
55640,Color [A=255, R=0, G=0, B=0]
56320,Color [A=255, R=255, G=255, B=255]
56360,Color [A=255, R=0, G=0, B=0]
56800,Color [A=255, R=255, G=255, B=255]
56840,Color [A=255, R=0, G=0, B=0]
57360,Color [A=255, R=255, G=255, B=255]
57400,Color [A=255, R=0, G=0, B=0]
57960,Color [A=255, R=255, G=255, B=255]
58000,Color [A=255, R=0, G=0, B=0]
58360,Color [A=255, R=255, G=255, B=255]
58400,Color [A=255, R=0, G=0, B=0]
58480,Color [A=255, R=255, G=255, B=255]
58520,Color [A=255, R=0, G=0, B=0]
59560,Color [A=255, R=255, G=255, B=255]
59600,Color [A=255, R=0, G=0, B=0]
60320,Color [A=255, R=255, G=255, B=255]
60360,Color [A=255, R=0, G=0, B=0]
60560,Color [A=255, R=255, G=255, B=255]
60600,Color [A=255, R=0, G=0, B=0]
61240,Color [A=255, R=255, G=255, B=255]
61280,Color [A=255, R=0, G=0, B=0]
61800,Color [A=255, R=255, G=255, B=255]
61840,Color [A=255, R=0, G=0, B=0]
62120,Color [A=255, R=255, G=255, B=255]
62160,Color [A=255, R=0, G=0, B=0]
62640,Color [A=255, R=255, G=255, B=255]
62680,Color [A=255, R=0, G=0, B=0]
63440,Color [A=255, R=255, G=255, B=255]
63480,Color [A=255, R=0, G=0, B=0]
63760,Color [A=255, R=255, G=255, B=255]
63800,Color [A=255, R=0, G=0, B=0]
65080,Color [A=255, R=255, G=255, B=255]
65120,Color [A=255, R=0, G=0, B=0]
65240,Color [A=255, R=255, G=255, B=255]
65280,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
65880,Color [A=255, R=0, G=0, B=0]
65920,Color [A=255, R=255, G=255, B=255]
65960,Color [A=255, R=0, G=0, B=0]
66160,Color [A=255, R=255, G=255, B=255]
66200,Color [A=255, R=0, G=0, B=0]
66680,Color [A=255, R=255, G=255, B=255]
66720,Color [A=255, R=0, G=0, B=0]
67600,Color [A=255, R=255, G=255, B=255]
67640,Color [A=255, R=0, G=0, B=0]
67840,Color [A=255, R=255, G=255, B=255]
67880,Color [A=255, R=0, G=0, B=0]
68720,Color [A=255, R=255, G=255, B=255]
68760,Color [A=255, R=0, G=0, B=0]
69880,Color [A=255, R=255, G=255, B=255]
69920,Color [A=255, R=0, G=0, B=0]
70720,Color [A=255, R=255, G=255, B=255]
70760,Color [A=255, R=0, G=0, B=0]
71120,Color [A=255, R=255, G=255, B=255]
71160,Color [A=255, R=0, G=0, B=0]
72360,Color [A=255, R=255, G=255, B=255]
72400,Color [A=255, R=0, G=0, B=0]
72720,Color [A=255, R=255, G=255, B=255]
72760,Color [A=255, R=0, G=0, B=0]
