40,Color [A=255, R=255, G=206, B=31]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
110240,Color [A=255, R=255, G=255, B=255]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
179760,Color [A=255, R=255, G=255, B=255]
179800,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
357520,Color [A=255, R=255, G=255, B=255]
414160,Color [A=255, R=255, G=255, B=255]
414200,Color [A=255, R=0, G=0, B=0]
440440,Color [A=255, R=255, G=255, B=255]
440480,Color [A=255, R=0, G=0, B=0]
506000,Color [A=255, R=255, G=255, B=255]
571520,Color [A=255, R=255, G=255, B=255]
636120,Color [A=255, R=255, G=255, B=255]
636160,Color [A=255, R=0, G=0, B=0]
638920,Color [A=255, R=255, G=255, B=255]
638960,Color [A=255, R=0, G=0, B=0]
704480,Color [A=255, R=255, G=255, B=255]
770000,Color [A=255, R=255, G=255, B=255]
806480,Color [A=255, R=255, G=255, B=255]
806520,Color [A=255, R=0, G=0, B=0]
872040,Color [A=255, R=255, G=255, B=255]
882400,Color [A=255, R=255, G=255, B=255]
882440,Color [A=255, R=0, G=0, B=0]
930040,Color [A=255, R=255, G=255, B=255]
930080,Color [A=255, R=0, G=0, B=0]
995600,Color [A=255, R=255, G=255, B=255]
1061120,Color [A=255, R=255, G=255, B=255]
1104440,Color [A=255, R=255, G=255, B=255]
1104480,Color [A=255, R=0, G=0, B=0]
1170000,Color [A=255, R=255, G=255, B=255]
1213680,Color [A=255, R=255, G=255, B=255]
1213720,Color [A=255, R=0, G=0, B=0]
1226720,Color [A=255, R=255, G=255, B=255]
1226760,Color [A=255, R=0, G=0, B=0]
1248720,Color [A=255, R=255, G=255, B=255]
1248760,Color [A=255, R=0, G=0, B=0]
1314280,Color [A=255, R=255, G=255, B=255]
1359400,Color [A=255, R=255, G=255, B=255]
1359440,Color [A=255, R=0, G=0, B=0]
1360040,Color [A=255, R=255, G=255, B=255]
1360080,Color [A=255, R=0, G=0, B=0]
1424640,Color [A=255, R=255, G=255, B=255]
1424720,Color [A=255, R=0, G=0, B=0]
1490240,Color [A=255, R=255, G=255, B=255]
1511520,Color [A=255, R=255, G=255, B=255]
1511560,Color [A=255, R=0, G=0, B=0]
1522760,Color [A=255, R=255, G=255, B=255]
1522800,Color [A=255, R=0, G=0, B=0]
1566400,Color [A=255, R=255, G=255, B=255]
1566440,Color [A=255, R=0, G=0, B=0]
1615400,Color [A=255, R=255, G=255, B=255]
1615440,Color [A=255, R=0, G=0, B=0]
1632000,Color [A=255, R=255, G=255, B=255]
1632040,Color [A=255, R=0, G=0, B=0]
1634960,Color [A=255, R=255, G=255, B=255]
1635000,Color [A=255, R=0, G=0, B=0]
1679880,Color [A=255, R=255, G=255, B=255]
1679920,Color [A=255, R=0, G=0, B=0]
1681080,Color [A=255, R=255, G=255, B=255]
1681120,Color [A=255, R=0, G=0, B=0]
1687240,Color [A=255, R=255, G=255, B=255]
1687280,Color [A=255, R=0, G=0, B=0]
1701520,Color [A=255, R=255, G=255, B=255]
1701560,Color [A=255, R=0, G=0, B=0]
1718240,Color [A=255, R=255, G=255, B=255]
1718280,Color [A=255, R=0, G=0, B=0]
1734280,Color [A=255, R=255, G=255, B=255]
1734320,Color [A=255, R=0, G=0, B=0]
1799840,Color [A=255, R=255, G=255, B=255]
1854880,Color [A=255, R=255, G=255, B=255]
1854920,Color [A=255, R=0, G=0, B=0]
1920440,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
