40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
680,Color [A=255, R=255, G=255, B=255]
720,Color [A=255, R=0, G=0, B=0]
760,Color [A=255, R=255, G=255, B=255]
800,Color [A=255, R=0, G=0, B=0]
1760,Color [A=255, R=255, G=255, B=255]
1800,Color [A=255, R=0, G=0, B=0]
6200,Color [A=255, R=255, G=255, B=255]
6240,Color [A=255, R=0, G=0, B=0]
16040,Color [A=255, R=255, G=255, B=255]
16080,Color [A=255, R=0, G=0, B=0]
16200,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21760,Color [A=255, R=255, G=255, B=255]
21800,Color [A=255, R=0, G=0, B=0]
21840,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
22800,Color [A=255, R=255, G=255, B=255]
22840,Color [A=255, R=0, G=0, B=0]
23680,Color [A=255, R=255, G=255, B=255]
23720,Color [A=255, R=0, G=0, B=0]
26880,Color [A=255, R=255, G=255, B=255]
26920,Color [A=255, R=0, G=0, B=0]
27920,Color [A=255, R=255, G=255, B=255]
27960,Color [A=255, R=0, G=0, B=0]
28080,Color [A=255, R=255, G=255, B=255]
28120,Color [A=255, R=0, G=0, B=0]
30720,Color [A=255, R=255, G=255, B=255]
30760,Color [A=255, R=0, G=0, B=0]
32240,Color [A=255, R=255, G=255, B=255]
32280,Color [A=255, R=0, G=0, B=0]
32440,Color [A=255, R=255, G=255, B=255]
32480,Color [A=255, R=0, G=0, B=0]
33240,Color [A=255, R=255, G=255, B=255]
33280,Color [A=255, R=0, G=0, B=0]
34720,Color [A=255, R=255, G=255, B=255]
34760,Color [A=255, R=0, G=0, B=0]
34800,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
36200,Color [A=255, R=255, G=255, B=255]
36240,Color [A=255, R=0, G=0, B=0]
36600,Color [A=255, R=255, G=255, B=255]
36640,Color [A=255, R=0, G=0, B=0]
36800,Color [A=255, R=255, G=255, B=255]
36840,Color [A=255, R=0, G=0, B=0]
38360,Color [A=255, R=255, G=255, B=255]
38400,Color [A=255, R=0, G=0, B=0]
38440,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
40400,Color [A=255, R=255, G=255, B=255]
40440,Color [A=255, R=0, G=0, B=0]
45920,Color [A=255, R=255, G=255, B=255]
45960,Color [A=255, R=0, G=0, B=0]
47680,Color [A=255, R=255, G=255, B=255]
47720,Color [A=255, R=0, G=0, B=0]
47960,Color [A=255, R=255, G=255, B=255]
48000,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
51440,Color [A=255, R=255, G=255, B=255]
51480,Color [A=255, R=0, G=0, B=0]
51520,Color [A=255, R=255, G=255, B=255]
51560,Color [A=255, R=0, G=0, B=0]
56480,Color [A=255, R=255, G=255, B=255]
56520,Color [A=255, R=0, G=0, B=0]
60160,Color [A=255, R=255, G=255, B=255]
60240,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
65760,Color [A=255, R=255, G=255, B=255]
65800,Color [A=255, R=0, G=0, B=0]
65880,Color [A=255, R=255, G=255, B=255]
65920,Color [A=255, R=0, G=0, B=0]
65960,Color [A=255, R=255, G=255, B=255]
66000,Color [A=255, R=0, G=0, B=0]
69400,Color [A=255, R=255, G=255, B=255]
69440,Color [A=255, R=0, G=0, B=0]
69920,Color [A=255, R=255, G=255, B=255]
69960,Color [A=255, R=0, G=0, B=0]
70760,Color [A=255, R=255, G=255, B=255]
70800,Color [A=255, R=0, G=0, B=0]
71400,Color [A=255, R=255, G=255, B=255]
71440,Color [A=255, R=0, G=0, B=0]
71680,Color [A=255, R=255, G=255, B=255]
71720,Color [A=255, R=0, G=0, B=0]
72760,Color [A=255, R=255, G=255, B=255]
72800,Color [A=255, R=0, G=0, B=0]
76200,Color [A=255, R=255, G=255, B=255]
76240,Color [A=255, R=0, G=0, B=0]
77240,Color [A=255, R=255, G=255, B=255]
77280,Color [A=255, R=0, G=0, B=0]
78400,Color [A=255, R=255, G=255, B=255]
78440,Color [A=255, R=0, G=0, B=0]
78720,Color [A=255, R=255, G=255, B=255]
78760,Color [A=255, R=0, G=0, B=0]
79680,Color [A=255, R=255, G=255, B=255]
79720,Color [A=255, R=0, G=0, B=0]
80000,Color [A=255, R=255, G=255, B=255]
80040,Color [A=255, R=0, G=0, B=0]
80080,Color [A=255, R=255, G=255, B=255]
80120,Color [A=255, R=0, G=0, B=0]
80800,Color [A=255, R=255, G=255, B=255]
80840,Color [A=255, R=0, G=0, B=0]
81680,Color [A=255, R=255, G=255, B=255]
81720,Color [A=255, R=0, G=0, B=0]
83160,Color [A=255, R=255, G=255, B=255]
83240,Color [A=255, R=0, G=0, B=0]
90880,Color [A=255, R=255, G=255, B=255]
90920,Color [A=255, R=0, G=0, B=0]
91360,Color [A=255, R=255, G=255, B=255]
91400,Color [A=255, R=0, G=0, B=0]
93640,Color [A=255, R=255, G=255, B=255]
93680,Color [A=255, R=0, G=0, B=0]
95840,Color [A=255, R=255, G=255, B=255]
95880,Color [A=255, R=0, G=0, B=0]
95960,Color [A=255, R=255, G=255, B=255]
96000,Color [A=255, R=0, G=0, B=0]
97880,Color [A=255, R=255, G=255, B=255]
97920,Color [A=255, R=0, G=0, B=0]
99240,Color [A=255, R=255, G=255, B=255]
99280,Color [A=255, R=0, G=0, B=0]
101360,Color [A=255, R=255, G=255, B=255]
101400,Color [A=255, R=0, G=0, B=0]
101560,Color [A=255, R=255, G=255, B=255]
101600,Color [A=255, R=0, G=0, B=0]
101640,Color [A=255, R=255, G=255, B=255]
101680,Color [A=255, R=0, G=0, B=0]
102760,Color [A=255, R=255, G=255, B=255]
102800,Color [A=255, R=0, G=0, B=0]
104280,Color [A=255, R=255, G=255, B=255]
104320,Color [A=255, R=0, G=0, B=0]
107640,Color [A=255, R=255, G=255, B=255]
107680,Color [A=255, R=0, G=0, B=0]
108800,Color [A=255, R=255, G=255, B=255]
108840,Color [A=255, R=0, G=0, B=0]
110560,Color [A=255, R=255, G=255, B=255]
110600,Color [A=255, R=0, G=0, B=0]
110920,Color [A=255, R=255, G=255, B=255]
110960,Color [A=255, R=0, G=0, B=0]
113720,Color [A=255, R=255, G=255, B=255]
113760,Color [A=255, R=0, G=0, B=0]
115800,Color [A=255, R=255, G=255, B=255]
115840,Color [A=255, R=0, G=0, B=0]
115880,Color [A=255, R=255, G=255, B=255]
115920,Color [A=255, R=0, G=0, B=0]
120320,Color [A=255, R=255, G=255, B=255]
120360,Color [A=255, R=0, G=0, B=0]
120480,Color [A=255, R=255, G=255, B=255]
120520,Color [A=255, R=0, G=0, B=0]
120560,Color [A=255, R=255, G=255, B=255]
120600,Color [A=255, R=0, G=0, B=0]
120920,Color [A=255, R=255, G=255, B=255]
120960,Color [A=255, R=0, G=0, B=0]
127320,Color [A=255, R=255, G=255, B=255]
127360,Color [A=255, R=0, G=0, B=0]
129080,Color [A=255, R=255, G=255, B=255]
129120,Color [A=255, R=0, G=0, B=0]
131280,Color [A=255, R=255, G=255, B=255]
131320,Color [A=255, R=0, G=0, B=0]
133800,Color [A=255, R=255, G=255, B=255]
133840,Color [A=255, R=0, G=0, B=0]
134240,Color [A=255, R=255, G=255, B=255]
134280,Color [A=255, R=0, G=0, B=0]
138240,Color [A=255, R=255, G=255, B=255]
138280,Color [A=255, R=0, G=0, B=0]
139640,Color [A=255, R=255, G=255, B=255]
139680,Color [A=255, R=0, G=0, B=0]
140920,Color [A=255, R=255, G=255, B=255]
140960,Color [A=255, R=0, G=0, B=0]
141000,Color [A=255, R=255, G=255, B=255]
141040,Color [A=255, R=0, G=0, B=0]
142720,Color [A=255, R=255, G=255, B=255]
142760,Color [A=255, R=0, G=0, B=0]
146520,Color [A=255, R=255, G=255, B=255]
146560,Color [A=255, R=0, G=0, B=0]
147960,Color [A=255, R=255, G=255, B=255]
148000,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
148720,Color [A=255, R=255, G=255, B=255]
148760,Color [A=255, R=0, G=0, B=0]
149520,Color [A=255, R=255, G=255, B=255]
149560,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
152080,Color [A=255, R=255, G=255, B=255]
152120,Color [A=255, R=0, G=0, B=0]
156360,Color [A=255, R=255, G=255, B=255]
156400,Color [A=255, R=0, G=0, B=0]
156960,Color [A=255, R=255, G=255, B=255]
157000,Color [A=255, R=0, G=0, B=0]
157720,Color [A=255, R=255, G=255, B=255]
157760,Color [A=255, R=0, G=0, B=0]
158800,Color [A=255, R=255, G=255, B=255]
158840,Color [A=255, R=0, G=0, B=0]
159120,Color [A=255, R=255, G=255, B=255]
159160,Color [A=255, R=0, G=0, B=0]
161040,Color [A=255, R=255, G=255, B=255]
161080,Color [A=255, R=0, G=0, B=0]
161360,Color [A=255, R=255, G=255, B=255]
161400,Color [A=255, R=0, G=0, B=0]
162520,Color [A=255, R=255, G=255, B=255]
162560,Color [A=255, R=0, G=0, B=0]
164280,Color [A=255, R=255, G=255, B=255]
164320,Color [A=255, R=0, G=0, B=0]
164360,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
164720,Color [A=255, R=255, G=255, B=255]
164760,Color [A=255, R=0, G=0, B=0]
165760,Color [A=255, R=255, G=255, B=255]
165840,Color [A=255, R=0, G=0, B=0]
168960,Color [A=255, R=255, G=255, B=255]
169000,Color [A=255, R=0, G=0, B=0]
169560,Color [A=255, R=255, G=255, B=255]
169600,Color [A=255, R=0, G=0, B=0]
171080,Color [A=255, R=255, G=255, B=255]
171120,Color [A=255, R=0, G=0, B=0]
171160,Color [A=255, R=255, G=255, B=255]
171200,Color [A=255, R=0, G=0, B=0]
173160,Color [A=255, R=255, G=255, B=255]
173200,Color [A=255, R=0, G=0, B=0]
174440,Color [A=255, R=255, G=255, B=255]
174480,Color [A=255, R=0, G=0, B=0]
