40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
600,Color [A=255, R=0, G=0, B=0]
640,Color [A=255, R=255, G=255, B=255]
680,Color [A=255, R=0, G=0, B=0]
720,Color [A=255, R=255, G=255, B=255]
760,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16200,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21760,Color [A=255, R=0, G=0, B=0]
21800,Color [A=255, R=255, G=255, B=255]
21840,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34720,Color [A=255, R=0, G=0, B=0]
34760,Color [A=255, R=255, G=255, B=255]
34800,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38360,Color [A=255, R=0, G=0, B=0]
38400,Color [A=255, R=255, G=255, B=255]
38440,Color [A=255, R=0, G=0, B=0]
38480,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
51400,Color [A=255, R=255, G=255, B=255]
51440,Color [A=255, R=0, G=0, B=0]
51480,Color [A=255, R=255, G=255, B=255]
51520,Color [A=255, R=0, G=0, B=0]
58760,Color [A=255, R=255, G=255, B=255]
58800,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
65880,Color [A=255, R=0, G=0, B=0]
65920,Color [A=255, R=255, G=255, B=255]
65960,Color [A=255, R=0, G=0, B=0]
66000,Color [A=255, R=255, G=255, B=255]
