40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
640,Color [A=255, R=0, G=0, B=0]
840,Color [A=255, R=255, G=255, B=255]
880,Color [A=255, R=0, G=0, B=0]
960,Color [A=255, R=255, G=255, B=255]
1000,Color [A=255, R=0, G=0, B=0]
1880,Color [A=255, R=255, G=255, B=255]
1920,Color [A=255, R=0, G=0, B=0]
2600,Color [A=255, R=255, G=255, B=255]
2640,Color [A=255, R=0, G=0, B=0]
3080,Color [A=255, R=255, G=255, B=255]
3120,Color [A=255, R=0, G=0, B=0]
4600,Color [A=255, R=255, G=255, B=255]
4640,Color [A=255, R=0, G=0, B=0]
6040,Color [A=255, R=255, G=255, B=255]
6080,Color [A=255, R=0, G=0, B=0]
9520,Color [A=255, R=255, G=255, B=255]
9560,Color [A=255, R=0, G=0, B=0]
10440,Color [A=255, R=255, G=255, B=255]
10480,Color [A=255, R=0, G=0, B=0]
11000,Color [A=255, R=255, G=255, B=255]
11040,Color [A=255, R=0, G=0, B=0]
11560,Color [A=255, R=255, G=255, B=255]
11640,Color [A=255, R=0, G=0, B=0]
12800,Color [A=255, R=255, G=255, B=255]
12840,Color [A=255, R=0, G=0, B=0]
13200,Color [A=255, R=255, G=255, B=255]
13240,Color [A=255, R=0, G=0, B=0]
14200,Color [A=255, R=255, G=255, B=255]
14240,Color [A=255, R=0, G=0, B=0]
15240,Color [A=255, R=255, G=255, B=255]
15280,Color [A=255, R=0, G=0, B=0]
15640,Color [A=255, R=255, G=255, B=255]
15680,Color [A=255, R=0, G=0, B=0]
21920,Color [A=255, R=255, G=255, B=255]
21960,Color [A=255, R=0, G=0, B=0]
22280,Color [A=255, R=255, G=255, B=255]
22320,Color [A=255, R=0, G=0, B=0]
22440,Color [A=255, R=255, G=255, B=255]
22480,Color [A=255, R=0, G=0, B=0]
23000,Color [A=255, R=255, G=255, B=255]
23040,Color [A=255, R=0, G=0, B=0]
23320,Color [A=255, R=255, G=255, B=255]
23360,Color [A=255, R=0, G=0, B=0]
23760,Color [A=255, R=255, G=255, B=255]
23800,Color [A=255, R=0, G=0, B=0]
24640,Color [A=255, R=255, G=255, B=255]
24680,Color [A=255, R=0, G=0, B=0]
25880,Color [A=255, R=255, G=255, B=255]
25920,Color [A=255, R=0, G=0, B=0]
26280,Color [A=255, R=255, G=255, B=255]
26320,Color [A=255, R=0, G=0, B=0]
26600,Color [A=255, R=255, G=255, B=255]
26640,Color [A=255, R=0, G=0, B=0]
26960,Color [A=255, R=255, G=255, B=255]
27000,Color [A=255, R=0, G=0, B=0]
28280,Color [A=255, R=255, G=255, B=255]
28320,Color [A=255, R=0, G=0, B=0]
29240,Color [A=255, R=255, G=255, B=255]
29280,Color [A=255, R=0, G=0, B=0]
29440,Color [A=255, R=255, G=255, B=255]
29480,Color [A=255, R=0, G=0, B=0]
30600,Color [A=255, R=255, G=255, B=255]
30640,Color [A=255, R=0, G=0, B=0]
30960,Color [A=255, R=255, G=255, B=255]
31000,Color [A=255, R=0, G=0, B=0]
32640,Color [A=255, R=255, G=255, B=255]
32680,Color [A=255, R=0, G=0, B=0]
34000,Color [A=255, R=255, G=255, B=255]
34040,Color [A=255, R=0, G=0, B=0]
34440,Color [A=255, R=255, G=255, B=255]
34480,Color [A=255, R=0, G=0, B=0]
34840,Color [A=255, R=255, G=255, B=255]
34920,Color [A=255, R=0, G=0, B=0]
37560,Color [A=255, R=255, G=255, B=255]
37600,Color [A=255, R=0, G=0, B=0]
39480,Color [A=255, R=255, G=255, B=255]
39520,Color [A=255, R=0, G=0, B=0]
39960,Color [A=255, R=255, G=255, B=255]
40000,Color [A=255, R=0, G=0, B=0]
41080,Color [A=255, R=255, G=255, B=255]
41120,Color [A=255, R=0, G=0, B=0]
41920,Color [A=255, R=255, G=255, B=255]
41960,Color [A=255, R=0, G=0, B=0]
43160,Color [A=255, R=255, G=255, B=255]
43200,Color [A=255, R=0, G=0, B=0]
43520,Color [A=255, R=255, G=255, B=255]
43560,Color [A=255, R=0, G=0, B=0]
44440,Color [A=255, R=255, G=255, B=255]
44480,Color [A=255, R=0, G=0, B=0]
45280,Color [A=255, R=255, G=255, B=255]
45320,Color [A=255, R=0, G=0, B=0]
46000,Color [A=255, R=255, G=255, B=255]
46040,Color [A=255, R=0, G=0, B=0]
46640,Color [A=255, R=255, G=255, B=255]
46680,Color [A=255, R=0, G=0, B=0]
46800,Color [A=255, R=255, G=255, B=255]
46840,Color [A=255, R=0, G=0, B=0]
47200,Color [A=255, R=255, G=255, B=255]
47240,Color [A=255, R=0, G=0, B=0]
47320,Color [A=255, R=255, G=255, B=255]
47360,Color [A=255, R=0, G=0, B=0]
48120,Color [A=255, R=255, G=255, B=255]
48160,Color [A=255, R=0, G=0, B=0]
48960,Color [A=255, R=255, G=255, B=255]
49000,Color [A=255, R=0, G=0, B=0]
49920,Color [A=255, R=255, G=255, B=255]
49960,Color [A=255, R=0, G=0, B=0]
50680,Color [A=255, R=255, G=255, B=255]
50720,Color [A=255, R=0, G=0, B=0]
51240,Color [A=255, R=255, G=255, B=255]
51280,Color [A=255, R=0, G=0, B=0]
51600,Color [A=255, R=255, G=255, B=255]
51640,Color [A=255, R=0, G=0, B=0]
52280,Color [A=255, R=255, G=255, B=255]
52320,Color [A=255, R=0, G=0, B=0]
52720,Color [A=255, R=255, G=255, B=255]
52760,Color [A=255, R=0, G=0, B=0]
53360,Color [A=255, R=255, G=255, B=255]
53400,Color [A=255, R=0, G=0, B=0]
54280,Color [A=255, R=255, G=255, B=255]
54320,Color [A=255, R=0, G=0, B=0]
55160,Color [A=255, R=255, G=255, B=255]
55200,Color [A=255, R=0, G=0, B=0]
55400,Color [A=255, R=255, G=255, B=255]
55440,Color [A=255, R=0, G=0, B=0]
56400,Color [A=255, R=255, G=255, B=255]
56440,Color [A=255, R=0, G=0, B=0]
56720,Color [A=255, R=255, G=255, B=255]
56760,Color [A=255, R=0, G=0, B=0]
57520,Color [A=255, R=255, G=255, B=255]
57560,Color [A=255, R=0, G=0, B=0]
57720,Color [A=255, R=255, G=255, B=255]
57760,Color [A=255, R=0, G=0, B=0]
58080,Color [A=255, R=255, G=255, B=255]
58120,Color [A=255, R=0, G=0, B=0]
59600,Color [A=255, R=255, G=255, B=255]
59640,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60920,Color [A=255, R=0, G=0, B=0]
61320,Color [A=255, R=255, G=255, B=255]
61360,Color [A=255, R=0, G=0, B=0]
61840,Color [A=255, R=255, G=255, B=255]
61880,Color [A=255, R=0, G=0, B=0]
62160,Color [A=255, R=255, G=255, B=255]
62200,Color [A=255, R=0, G=0, B=0]
62760,Color [A=255, R=255, G=255, B=255]
62800,Color [A=255, R=0, G=0, B=0]
63280,Color [A=255, R=255, G=255, B=255]
63320,Color [A=255, R=0, G=0, B=0]
63920,Color [A=255, R=255, G=255, B=255]
63960,Color [A=255, R=0, G=0, B=0]
64840,Color [A=255, R=255, G=255, B=255]
64880,Color [A=255, R=0, G=0, B=0]
67080,Color [A=255, R=255, G=255, B=255]
67120,Color [A=255, R=0, G=0, B=0]
68200,Color [A=255, R=255, G=255, B=255]
68240,Color [A=255, R=0, G=0, B=0]
68640,Color [A=255, R=255, G=255, B=255]
68680,Color [A=255, R=0, G=0, B=0]
68920,Color [A=255, R=255, G=255, B=255]
68960,Color [A=255, R=0, G=0, B=0]
69240,Color [A=255, R=255, G=255, B=255]
69280,Color [A=255, R=0, G=0, B=0]
72440,Color [A=255, R=255, G=255, B=255]
72480,Color [A=255, R=0, G=0, B=0]
72600,Color [A=255, R=255, G=255, B=255]
72640,Color [A=255, R=0, G=0, B=0]
72960,Color [A=255, R=255, G=255, B=255]
73000,Color [A=255, R=0, G=0, B=0]
73080,Color [A=255, R=255, G=255, B=255]
73120,Color [A=255, R=0, G=0, B=0]
73640,Color [A=255, R=255, G=255, B=255]
73680,Color [A=255, R=0, G=0, B=0]
74000,Color [A=255, R=255, G=255, B=255]
74040,Color [A=255, R=0, G=0, B=0]
74400,Color [A=255, R=255, G=255, B=255]
74440,Color [A=255, R=0, G=0, B=0]
76280,Color [A=255, R=255, G=255, B=255]
76320,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
77120,Color [A=255, R=255, G=255, B=255]
77160,Color [A=255, R=0, G=0, B=0]
77760,Color [A=255, R=255, G=255, B=255]
77800,Color [A=255, R=0, G=0, B=0]
78480,Color [A=255, R=255, G=255, B=255]
78520,Color [A=255, R=0, G=0, B=0]
78800,Color [A=255, R=255, G=255, B=255]
78840,Color [A=255, R=0, G=0, B=0]
83000,Color [A=255, R=255, G=255, B=255]
83040,Color [A=255, R=0, G=0, B=0]
85360,Color [A=255, R=255, G=255, B=255]
85400,Color [A=255, R=0, G=0, B=0]
86200,Color [A=255, R=255, G=255, B=255]
86240,Color [A=255, R=0, G=0, B=0]
86960,Color [A=255, R=255, G=255, B=255]
87000,Color [A=255, R=0, G=0, B=0]
87480,Color [A=255, R=255, G=255, B=255]
87520,Color [A=255, R=0, G=0, B=0]
87640,Color [A=255, R=255, G=255, B=255]
87680,Color [A=255, R=0, G=0, B=0]
88080,Color [A=255, R=255, G=255, B=255]
88120,Color [A=255, R=0, G=0, B=0]
88800,Color [A=255, R=255, G=255, B=255]
88840,Color [A=255, R=0, G=0, B=0]
89480,Color [A=255, R=255, G=255, B=255]
89520,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
90400,Color [A=255, R=255, G=255, B=255]
90440,Color [A=255, R=0, G=0, B=0]
90520,Color [A=255, R=255, G=255, B=255]
90560,Color [A=255, R=0, G=0, B=0]
92400,Color [A=255, R=255, G=255, B=255]
92440,Color [A=255, R=0, G=0, B=0]
93040,Color [A=255, R=255, G=255, B=255]
93080,Color [A=255, R=0, G=0, B=0]
94320,Color [A=255, R=255, G=255, B=255]
94360,Color [A=255, R=0, G=0, B=0]
97160,Color [A=255, R=255, G=255, B=255]
97200,Color [A=255, R=0, G=0, B=0]
97760,Color [A=255, R=255, G=255, B=255]
97800,Color [A=255, R=0, G=0, B=0]
98720,Color [A=255, R=255, G=255, B=255]
98760,Color [A=255, R=0, G=0, B=0]
100240,Color [A=255, R=255, G=255, B=255]
100280,Color [A=255, R=0, G=0, B=0]
100720,Color [A=255, R=255, G=255, B=255]
100760,Color [A=255, R=0, G=0, B=0]
101840,Color [A=255, R=255, G=255, B=255]
101880,Color [A=255, R=0, G=0, B=0]
103120,Color [A=255, R=255, G=255, B=255]
103160,Color [A=255, R=0, G=0, B=0]
103840,Color [A=255, R=255, G=255, B=255]
103880,Color [A=255, R=0, G=0, B=0]
104120,Color [A=255, R=255, G=255, B=255]
104160,Color [A=255, R=0, G=0, B=0]
104360,Color [A=255, R=255, G=255, B=255]
104400,Color [A=255, R=0, G=0, B=0]
104600,Color [A=255, R=255, G=255, B=255]
104640,Color [A=255, R=0, G=0, B=0]
105600,Color [A=255, R=255, G=255, B=255]
105640,Color [A=255, R=0, G=0, B=0]
106280,Color [A=255, R=255, G=255, B=255]
106320,Color [A=255, R=0, G=0, B=0]
106600,Color [A=255, R=255, G=255, B=255]
106640,Color [A=255, R=0, G=0, B=0]
107320,Color [A=255, R=255, G=255, B=255]
107360,Color [A=255, R=0, G=0, B=0]
108000,Color [A=255, R=255, G=255, B=255]
108040,Color [A=255, R=0, G=0, B=0]
108600,Color [A=255, R=255, G=255, B=255]
108640,Color [A=255, R=0, G=0, B=0]
110200,Color [A=255, R=255, G=255, B=255]
110280,Color [A=255, R=0, G=0, B=0]
111120,Color [A=255, R=255, G=255, B=255]
111160,Color [A=255, R=0, G=0, B=0]
111520,Color [A=255, R=255, G=255, B=255]
111560,Color [A=255, R=0, G=0, B=0]
112120,Color [A=255, R=255, G=255, B=255]
112160,Color [A=255, R=0, G=0, B=0]
112960,Color [A=255, R=255, G=255, B=255]
113000,Color [A=255, R=0, G=0, B=0]
113400,Color [A=255, R=255, G=255, B=255]
113440,Color [A=255, R=0, G=0, B=0]
114000,Color [A=255, R=255, G=255, B=255]
114040,Color [A=255, R=0, G=0, B=0]
115200,Color [A=255, R=255, G=255, B=255]
115240,Color [A=255, R=0, G=0, B=0]
116800,Color [A=255, R=255, G=255, B=255]
116840,Color [A=255, R=0, G=0, B=0]
118360,Color [A=255, R=255, G=255, B=255]
118400,Color [A=255, R=0, G=0, B=0]
118720,Color [A=255, R=255, G=255, B=255]
118760,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
121320,Color [A=255, R=255, G=255, B=255]
121360,Color [A=255, R=0, G=0, B=0]
121640,Color [A=255, R=255, G=255, B=255]
121680,Color [A=255, R=0, G=0, B=0]
121960,Color [A=255, R=255, G=255, B=255]
122000,Color [A=255, R=0, G=0, B=0]
123040,Color [A=255, R=255, G=255, B=255]
123080,Color [A=255, R=0, G=0, B=0]
123280,Color [A=255, R=255, G=255, B=255]
123320,Color [A=255, R=0, G=0, B=0]
124160,Color [A=255, R=255, G=255, B=255]
124200,Color [A=255, R=0, G=0, B=0]
125040,Color [A=255, R=255, G=255, B=255]
125080,Color [A=255, R=0, G=0, B=0]
125440,Color [A=255, R=255, G=255, B=255]
125480,Color [A=255, R=0, G=0, B=0]
126000,Color [A=255, R=255, G=255, B=255]
126040,Color [A=255, R=0, G=0, B=0]
126360,Color [A=255, R=255, G=255, B=255]
126400,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
