40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
327640,Color [A=255, R=255, G=255, B=255]
393160,Color [A=255, R=255, G=255, B=255]
458680,Color [A=255, R=255, G=255, B=255]
524200,Color [A=255, R=255, G=255, B=255]
589720,Color [A=255, R=255, G=255, B=255]
655240,Color [A=255, R=255, G=255, B=255]
704160,Color [A=255, R=255, G=255, B=255]
704200,Color [A=255, R=0, G=0, B=0]
769720,Color [A=255, R=255, G=255, B=255]
835240,Color [A=255, R=255, G=255, B=255]
900760,Color [A=255, R=255, G=255, B=255]
966280,Color [A=255, R=255, G=255, B=255]
1031800,Color [A=255, R=255, G=255, B=255]
1097320,Color [A=255, R=255, G=255, B=255]
1162840,Color [A=255, R=255, G=255, B=255]
1228360,Color [A=255, R=255, G=255, B=255]
1293720,Color [A=255, R=255, G=255, B=255]
1293760,Color [A=255, R=0, G=0, B=0]
1359280,Color [A=255, R=255, G=255, B=255]
1424800,Color [A=255, R=255, G=255, B=255]
1490320,Color [A=255, R=255, G=255, B=255]
1555840,Color [A=255, R=255, G=255, B=255]
1621360,Color [A=255, R=255, G=255, B=255]
1686880,Color [A=255, R=255, G=255, B=255]
1752400,Color [A=255, R=255, G=255, B=255]
1817920,Color [A=255, R=255, G=255, B=255]
1883440,Color [A=255, R=255, G=255, B=255]
1948960,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
