40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
120,Color [A=255, R=255, G=255, B=255]
160,Color [A=255, R=0, G=0, B=0]
520,Color [A=255, R=255, G=255, B=255]
560,Color [A=255, R=0, G=0, B=0]
2760,Color [A=255, R=255, G=255, B=255]
2800,Color [A=255, R=0, G=0, B=0]
5160,Color [A=255, R=255, G=255, B=255]
5200,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
7720,Color [A=255, R=255, G=255, B=255]
7760,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
11760,Color [A=255, R=255, G=255, B=255]
11800,Color [A=255, R=0, G=0, B=0]
13360,Color [A=255, R=255, G=255, B=255]
13400,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
27200,Color [A=255, R=255, G=255, B=255]
27240,Color [A=255, R=0, G=0, B=0]
35760,Color [A=255, R=255, G=255, B=255]
35800,Color [A=255, R=0, G=0, B=0]
38480,Color [A=255, R=255, G=255, B=255]
38520,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
43400,Color [A=255, R=255, G=255, B=255]
43440,Color [A=255, R=0, G=0, B=0]
45160,Color [A=255, R=255, G=255, B=255]
45200,Color [A=255, R=0, G=0, B=0]
47120,Color [A=255, R=255, G=255, B=255]
47160,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
50240,Color [A=255, R=255, G=255, B=255]
