40,Color [A=255, R=255, G=206, B=31]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
88560,Color [A=255, R=255, G=255, B=255]
88600,Color [A=255, R=0, G=0, B=0]
136920,Color [A=255, R=255, G=255, B=255]
136960,Color [A=255, R=0, G=0, B=0]
202480,Color [A=255, R=255, G=255, B=255]
268000,Color [A=255, R=255, G=255, B=255]
333520,Color [A=255, R=255, G=255, B=255]
399040,Color [A=255, R=255, G=255, B=255]
464560,Color [A=255, R=255, G=255, B=255]
530080,Color [A=255, R=255, G=255, B=255]
595600,Color [A=255, R=255, G=255, B=255]
661120,Color [A=255, R=255, G=255, B=255]
726640,Color [A=255, R=255, G=255, B=255]
792160,Color [A=255, R=255, G=255, B=255]
857680,Color [A=255, R=255, G=255, B=255]
923200,Color [A=255, R=255, G=255, B=255]
988720,Color [A=255, R=255, G=255, B=255]
1054240,Color [A=255, R=255, G=255, B=255]
1119760,Color [A=255, R=255, G=255, B=255]
1185280,Color [A=255, R=255, G=255, B=255]
1250800,Color [A=255, R=255, G=255, B=255]
1316320,Color [A=255, R=255, G=255, B=255]
1381840,Color [A=255, R=255, G=255, B=255]
1447360,Color [A=255, R=255, G=255, B=255]
1512880,Color [A=255, R=255, G=255, B=255]
1578400,Color [A=255, R=255, G=255, B=255]
1643920,Color [A=255, R=255, G=255, B=255]
1709440,Color [A=255, R=255, G=255, B=255]
1774960,Color [A=255, R=255, G=255, B=255]
1812680,Color [A=255, R=255, G=255, B=255]
1812720,Color [A=255, R=0, G=0, B=0]
1878240,Color [A=255, R=255, G=255, B=255]
1943760,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
