40,Color [A=255, R=255, G=206, B=31]
160,Color [A=255, R=255, G=255, B=255]
200,Color [A=255, R=0, G=0, B=0]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
320,Color [A=255, R=255, G=255, B=255]
360,Color [A=255, R=0, G=0, B=0]
400,Color [A=255, R=255, G=255, B=255]
440,Color [A=255, R=0, G=0, B=0]
560,Color [A=255, R=255, G=255, B=255]
840,Color [A=255, R=0, G=0, B=0]
5320,Color [A=255, R=255, G=255, B=255]
5360,Color [A=255, R=0, G=0, B=0]
5560,Color [A=255, R=255, G=255, B=255]
5600,Color [A=255, R=0, G=0, B=0]
9600,Color [A=255, R=255, G=255, B=255]
9640,Color [A=255, R=0, G=0, B=0]
11400,Color [A=255, R=255, G=255, B=255]
11440,Color [A=255, R=0, G=0, B=0]
12280,Color [A=255, R=255, G=255, B=255]
12320,Color [A=255, R=0, G=0, B=0]
16160,Color [A=255, R=255, G=255, B=255]
16240,Color [A=255, R=0, G=0, B=0]
21720,Color [A=255, R=255, G=255, B=255]
21880,Color [A=255, R=0, G=0, B=0]
22120,Color [A=255, R=255, G=255, B=255]
22160,Color [A=255, R=0, G=0, B=0]
25560,Color [A=255, R=255, G=255, B=255]
25600,Color [A=255, R=0, G=0, B=0]
25720,Color [A=255, R=255, G=255, B=255]
25760,Color [A=255, R=0, G=0, B=0]
34680,Color [A=255, R=255, G=255, B=255]
34880,Color [A=255, R=0, G=0, B=0]
35000,Color [A=255, R=255, G=255, B=255]
35040,Color [A=255, R=0, G=0, B=0]
38320,Color [A=255, R=255, G=255, B=255]
38480,Color [A=255, R=0, G=0, B=0]
41760,Color [A=255, R=255, G=255, B=255]
41800,Color [A=255, R=0, G=0, B=0]
44680,Color [A=255, R=255, G=255, B=255]
44720,Color [A=255, R=0, G=0, B=0]
50560,Color [A=255, R=255, G=255, B=255]
50600,Color [A=255, R=0, G=0, B=0]
51360,Color [A=255, R=255, G=255, B=255]
51600,Color [A=255, R=0, G=0, B=0]
60840,Color [A=255, R=255, G=255, B=255]
60880,Color [A=255, R=0, G=0, B=0]
64000,Color [A=255, R=255, G=255, B=255]
64040,Color [A=255, R=0, G=0, B=0]
65840,Color [A=255, R=255, G=255, B=255]
66000,Color [A=255, R=0, G=0, B=0]
74160,Color [A=255, R=255, G=255, B=255]
74200,Color [A=255, R=0, G=0, B=0]
76440,Color [A=255, R=255, G=255, B=255]
76480,Color [A=255, R=0, G=0, B=0]
79960,Color [A=255, R=255, G=255, B=255]
80120,Color [A=255, R=0, G=0, B=0]
81880,Color [A=255, R=255, G=255, B=255]
81920,Color [A=255, R=0, G=0, B=0]
89920,Color [A=255, R=255, G=255, B=255]
89960,Color [A=255, R=0, G=0, B=0]
101520,Color [A=255, R=255, G=255, B=255]
101720,Color [A=255, R=0, G=0, B=0]
103560,Color [A=255, R=255, G=255, B=255]
103600,Color [A=255, R=0, G=0, B=0]
112000,Color [A=255, R=255, G=255, B=255]
112040,Color [A=255, R=0, G=0, B=0]
115760,Color [A=255, R=255, G=255, B=255]
115920,Color [A=255, R=0, G=0, B=0]
118840,Color [A=255, R=255, G=255, B=255]
118880,Color [A=255, R=0, G=0, B=0]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
120440,Color [A=255, R=255, G=255, B=255]
120640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
134800,Color [A=255, R=255, G=255, B=255]
134840,Color [A=255, R=0, G=0, B=0]
137080,Color [A=255, R=255, G=255, B=255]
137120,Color [A=255, R=0, G=0, B=0]
137320,Color [A=255, R=255, G=255, B=255]
137360,Color [A=255, R=0, G=0, B=0]
138600,Color [A=255, R=255, G=255, B=255]
138640,Color [A=255, R=0, G=0, B=0]
140880,Color [A=255, R=255, G=255, B=255]
141040,Color [A=255, R=0, G=0, B=0]
148440,Color [A=255, R=255, G=255, B=255]
148480,Color [A=255, R=0, G=0, B=0]
148520,Color [A=255, R=255, G=255, B=255]
148560,Color [A=255, R=0, G=0, B=0]
157080,Color [A=255, R=255, G=255, B=255]
157120,Color [A=255, R=0, G=0, B=0]
162880,Color [A=255, R=255, G=255, B=255]
162920,Color [A=255, R=0, G=0, B=0]
164240,Color [A=255, R=255, G=255, B=255]
164400,Color [A=255, R=0, G=0, B=0]
164600,Color [A=255, R=255, G=255, B=255]
164640,Color [A=255, R=0, G=0, B=0]
169320,Color [A=255, R=255, G=255, B=255]
169360,Color [A=255, R=0, G=0, B=0]
171040,Color [A=255, R=255, G=255, B=255]
171200,Color [A=255, R=0, G=0, B=0]
171680,Color [A=255, R=255, G=255, B=255]
171720,Color [A=255, R=0, G=0, B=0]
174360,Color [A=255, R=255, G=255, B=255]
174400,Color [A=255, R=0, G=0, B=0]
177200,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
177520,Color [A=255, R=255, G=255, B=255]
177560,Color [A=255, R=0, G=0, B=0]
178040,Color [A=255, R=255, G=255, B=255]
178080,Color [A=255, R=0, G=0, B=0]
179520,Color [A=255, R=255, G=255, B=255]
179640,Color [A=255, R=0, G=0, B=0]
179720,Color [A=255, R=255, G=255, B=255]
179760,Color [A=255, R=0, G=0, B=0]
179920,Color [A=255, R=255, G=255, B=255]
180040,Color [A=255, R=0, G=0, B=0]
181960,Color [A=255, R=255, G=255, B=255]
182120,Color [A=255, R=0, G=0, B=0]
189720,Color [A=255, R=255, G=255, B=255]
189760,Color [A=255, R=0, G=0, B=0]
190360,Color [A=255, R=255, G=255, B=255]
190400,Color [A=255, R=0, G=0, B=0]
190760,Color [A=255, R=255, G=255, B=255]
190800,Color [A=255, R=0, G=0, B=0]
193160,Color [A=255, R=255, G=255, B=255]
193200,Color [A=255, R=0, G=0, B=0]
195600,Color [A=255, R=255, G=255, B=255]
195800,Color [A=255, R=0, G=0, B=0]
196240,Color [A=255, R=255, G=255, B=255]
196280,Color [A=255, R=0, G=0, B=0]
203880,Color [A=255, R=255, G=255, B=255]
204080,Color [A=255, R=0, G=0, B=0]
213000,Color [A=255, R=255, G=255, B=255]
213040,Color [A=255, R=0, G=0, B=0]
217320,Color [A=255, R=255, G=255, B=255]
217480,Color [A=255, R=0, G=0, B=0]
219920,Color [A=255, R=255, G=255, B=255]
220120,Color [A=255, R=0, G=0, B=0]
220720,Color [A=255, R=255, G=255, B=255]
220760,Color [A=255, R=0, G=0, B=0]
221520,Color [A=255, R=255, G=255, B=255]
221560,Color [A=255, R=0, G=0, B=0]
224640,Color [A=255, R=255, G=255, B=255]
224800,Color [A=255, R=0, G=0, B=0]
224840,Color [A=255, R=255, G=255, B=255]
224880,Color [A=255, R=0, G=0, B=0]
225880,Color [A=255, R=255, G=255, B=255]
225920,Color [A=255, R=0, G=0, B=0]
226440,Color [A=255, R=255, G=255, B=255]
226600,Color [A=255, R=0, G=0, B=0]
228880,Color [A=255, R=255, G=255, B=255]
229040,Color [A=255, R=0, G=0, B=0]
231120,Color [A=255, R=255, G=255, B=255]
231160,Color [A=255, R=0, G=0, B=0]
234200,Color [A=255, R=255, G=255, B=255]
234240,Color [A=255, R=0, G=0, B=0]
234480,Color [A=255, R=255, G=255, B=255]
234520,Color [A=255, R=0, G=0, B=0]
235400,Color [A=255, R=255, G=255, B=255]
235440,Color [A=255, R=0, G=0, B=0]
235920,Color [A=255, R=255, G=255, B=255]
235960,Color [A=255, R=0, G=0, B=0]
237720,Color [A=255, R=255, G=255, B=255]
237880,Color [A=255, R=0, G=0, B=0]
238400,Color [A=255, R=255, G=255, B=255]
238480,Color [A=255, R=0, G=0, B=0]
238560,Color [A=255, R=255, G=255, B=255]
238600,Color [A=255, R=0, G=0, B=0]
239920,Color [A=255, R=255, G=255, B=255]
239960,Color [A=255, R=0, G=0, B=0]
247880,Color [A=255, R=255, G=255, B=255]
247920,Color [A=255, R=0, G=0, B=0]
249000,Color [A=255, R=255, G=255, B=255]
249040,Color [A=255, R=0, G=0, B=0]
251680,Color [A=255, R=255, G=255, B=255]
251880,Color [A=255, R=0, G=0, B=0]
259160,Color [A=255, R=255, G=255, B=255]
259200,Color [A=255, R=0, G=0, B=0]
261360,Color [A=255, R=255, G=255, B=255]
261400,Color [A=255, R=0, G=0, B=0]
261920,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
263720,Color [A=255, R=255, G=255, B=255]
263880,Color [A=255, R=0, G=0, B=0]
275080,Color [A=255, R=255, G=255, B=255]
275120,Color [A=255, R=0, G=0, B=0]
280440,Color [A=255, R=255, G=255, B=255]
280640,Color [A=255, R=0, G=0, B=0]
285640,Color [A=255, R=255, G=255, B=255]
285680,Color [A=255, R=0, G=0, B=0]
288000,Color [A=255, R=255, G=255, B=255]
288040,Color [A=255, R=0, G=0, B=0]
291320,Color [A=255, R=255, G=255, B=255]
291360,Color [A=255, R=0, G=0, B=0]
291960,Color [A=255, R=255, G=255, B=255]
292000,Color [A=255, R=0, G=0, B=0]
292560,Color [A=255, R=255, G=255, B=255]
292600,Color [A=255, R=0, G=0, B=0]
297560,Color [A=255, R=255, G=255, B=255]
297760,Color [A=255, R=0, G=0, B=0]
299040,Color [A=255, R=255, G=255, B=255]
299240,Color [A=255, R=0, G=0, B=0]
304720,Color [A=255, R=255, G=255, B=255]
304760,Color [A=255, R=0, G=0, B=0]
307240,Color [A=255, R=255, G=255, B=255]
307280,Color [A=255, R=0, G=0, B=0]
314160,Color [A=255, R=255, G=255, B=255]
314320,Color [A=255, R=0, G=0, B=0]
322760,Color [A=255, R=255, G=255, B=255]
322800,Color [A=255, R=0, G=0, B=0]
328720,Color [A=255, R=255, G=255, B=255]
328920,Color [A=255, R=0, G=0, B=0]
336040,Color [A=255, R=255, G=255, B=255]
336240,Color [A=255, R=0, G=0, B=0]
338920,Color [A=255, R=255, G=255, B=255]
338960,Color [A=255, R=0, G=0, B=0]
340840,Color [A=255, R=255, G=255, B=255]
341040,Color [A=255, R=0, G=0, B=0]
343760,Color [A=255, R=255, G=255, B=255]
343800,Color [A=255, R=0, G=0, B=0]
349080,Color [A=255, R=255, G=255, B=255]
349120,Color [A=255, R=0, G=0, B=0]
350480,Color [A=255, R=255, G=255, B=255]
350520,Color [A=255, R=0, G=0, B=0]
352560,Color [A=255, R=255, G=255, B=255]
352600,Color [A=255, R=0, G=0, B=0]
356040,Color [A=255, R=255, G=255, B=255]
356200,Color [A=255, R=0, G=0, B=0]
