40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
5400,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
6760,Color [A=255, R=255, G=255, B=255]
6800,Color [A=255, R=0, G=0, B=0]
7040,Color [A=255, R=255, G=255, B=255]
7080,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8680,Color [A=255, R=0, G=0, B=0]
12480,Color [A=255, R=255, G=255, B=255]
12520,Color [A=255, R=0, G=0, B=0]
13400,Color [A=255, R=255, G=255, B=255]
13440,Color [A=255, R=0, G=0, B=0]
15400,Color [A=255, R=255, G=255, B=255]
15440,Color [A=255, R=0, G=0, B=0]
15720,Color [A=255, R=255, G=255, B=255]
15760,Color [A=255, R=0, G=0, B=0]
23960,Color [A=255, R=255, G=255, B=255]
24000,Color [A=255, R=0, G=0, B=0]
25600,Color [A=255, R=255, G=255, B=255]
25640,Color [A=255, R=0, G=0, B=0]
27040,Color [A=255, R=255, G=255, B=255]
27080,Color [A=255, R=0, G=0, B=0]
30320,Color [A=255, R=255, G=255, B=255]
30360,Color [A=255, R=0, G=0, B=0]
30920,Color [A=255, R=255, G=255, B=255]
30960,Color [A=255, R=0, G=0, B=0]
31600,Color [A=255, R=255, G=255, B=255]
31640,Color [A=255, R=0, G=0, B=0]
33120,Color [A=255, R=255, G=255, B=255]
33160,Color [A=255, R=0, G=0, B=0]
33760,Color [A=255, R=255, G=255, B=255]
33800,Color [A=255, R=0, G=0, B=0]
34400,Color [A=255, R=255, G=255, B=255]
34440,Color [A=255, R=0, G=0, B=0]
34560,Color [A=255, R=255, G=255, B=255]
34600,Color [A=255, R=0, G=0, B=0]
35720,Color [A=255, R=255, G=255, B=255]
35760,Color [A=255, R=0, G=0, B=0]
37520,Color [A=255, R=255, G=255, B=255]
37560,Color [A=255, R=0, G=0, B=0]
37960,Color [A=255, R=255, G=255, B=255]
38000,Color [A=255, R=0, G=0, B=0]
39640,Color [A=255, R=255, G=255, B=255]
39680,Color [A=255, R=0, G=0, B=0]
41320,Color [A=255, R=255, G=255, B=255]
41360,Color [A=255, R=0, G=0, B=0]
44720,Color [A=255, R=255, G=255, B=255]
44760,Color [A=255, R=0, G=0, B=0]
47160,Color [A=255, R=255, G=255, B=255]
47200,Color [A=255, R=0, G=0, B=0]
48080,Color [A=255, R=255, G=255, B=255]
48120,Color [A=255, R=0, G=0, B=0]
50040,Color [A=255, R=255, G=255, B=255]
50080,Color [A=255, R=0, G=0, B=0]
51200,Color [A=255, R=255, G=255, B=255]
51240,Color [A=255, R=0, G=0, B=0]
53320,Color [A=255, R=255, G=255, B=255]
53360,Color [A=255, R=0, G=0, B=0]
56520,Color [A=255, R=255, G=255, B=255]
56560,Color [A=255, R=0, G=0, B=0]
58040,Color [A=255, R=255, G=255, B=255]
58080,Color [A=255, R=0, G=0, B=0]
59200,Color [A=255, R=255, G=255, B=255]
59240,Color [A=255, R=0, G=0, B=0]
59520,Color [A=255, R=255, G=255, B=255]
59560,Color [A=255, R=0, G=0, B=0]
60520,Color [A=255, R=255, G=255, B=255]
60560,Color [A=255, R=0, G=0, B=0]
61520,Color [A=255, R=255, G=255, B=255]
61560,Color [A=255, R=0, G=0, B=0]
63720,Color [A=255, R=255, G=255, B=255]
63760,Color [A=255, R=0, G=0, B=0]
64560,Color [A=255, R=255, G=255, B=255]
64600,Color [A=255, R=0, G=0, B=0]
64880,Color [A=255, R=255, G=255, B=255]
64920,Color [A=255, R=0, G=0, B=0]
67960,Color [A=255, R=255, G=255, B=255]
68000,Color [A=255, R=0, G=0, B=0]
69440,Color [A=255, R=255, G=255, B=255]
69480,Color [A=255, R=0, G=0, B=0]
76080,Color [A=255, R=255, G=255, B=255]
76120,Color [A=255, R=0, G=0, B=0]
80840,Color [A=255, R=255, G=255, B=255]
80880,Color [A=255, R=0, G=0, B=0]
85200,Color [A=255, R=255, G=255, B=255]
85240,Color [A=255, R=0, G=0, B=0]
87240,Color [A=255, R=255, G=255, B=255]
87280,Color [A=255, R=0, G=0, B=0]
88360,Color [A=255, R=255, G=255, B=255]
88400,Color [A=255, R=0, G=0, B=0]
88560,Color [A=255, R=255, G=255, B=255]
88600,Color [A=255, R=0, G=0, B=0]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
90720,Color [A=255, R=255, G=255, B=255]
90760,Color [A=255, R=0, G=0, B=0]
93360,Color [A=255, R=255, G=255, B=255]
93400,Color [A=255, R=0, G=0, B=0]
94160,Color [A=255, R=255, G=255, B=255]
94200,Color [A=255, R=0, G=0, B=0]
95120,Color [A=255, R=255, G=255, B=255]
95160,Color [A=255, R=0, G=0, B=0]
95240,Color [A=255, R=255, G=255, B=255]
95280,Color [A=255, R=0, G=0, B=0]
96640,Color [A=255, R=255, G=255, B=255]
96680,Color [A=255, R=0, G=0, B=0]
96960,Color [A=255, R=255, G=255, B=255]
97000,Color [A=255, R=0, G=0, B=0]
99880,Color [A=255, R=255, G=255, B=255]
99920,Color [A=255, R=0, G=0, B=0]
100000,Color [A=255, R=255, G=255, B=255]
100040,Color [A=255, R=0, G=0, B=0]
102720,Color [A=255, R=255, G=255, B=255]
102760,Color [A=255, R=0, G=0, B=0]
103000,Color [A=255, R=255, G=255, B=255]
103040,Color [A=255, R=0, G=0, B=0]
104240,Color [A=255, R=255, G=255, B=255]
104280,Color [A=255, R=0, G=0, B=0]
104800,Color [A=255, R=255, G=255, B=255]
104840,Color [A=255, R=0, G=0, B=0]
105400,Color [A=255, R=255, G=255, B=255]
105440,Color [A=255, R=0, G=0, B=0]
105720,Color [A=255, R=255, G=255, B=255]
105760,Color [A=255, R=0, G=0, B=0]
107240,Color [A=255, R=255, G=255, B=255]
107280,Color [A=255, R=0, G=0, B=0]
109960,Color [A=255, R=255, G=255, B=255]
110000,Color [A=255, R=0, G=0, B=0]
112920,Color [A=255, R=255, G=255, B=255]
112960,Color [A=255, R=0, G=0, B=0]
113560,Color [A=255, R=255, G=255, B=255]
113600,Color [A=255, R=0, G=0, B=0]
114120,Color [A=255, R=255, G=255, B=255]
114160,Color [A=255, R=0, G=0, B=0]
118880,Color [A=255, R=255, G=255, B=255]
118920,Color [A=255, R=0, G=0, B=0]
123200,Color [A=255, R=255, G=255, B=255]
123240,Color [A=255, R=0, G=0, B=0]
124000,Color [A=255, R=255, G=255, B=255]
124040,Color [A=255, R=0, G=0, B=0]
125160,Color [A=255, R=255, G=255, B=255]
125200,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
127600,Color [A=255, R=255, G=255, B=255]
127640,Color [A=255, R=0, G=0, B=0]
129360,Color [A=255, R=255, G=255, B=255]
129400,Color [A=255, R=0, G=0, B=0]
130760,Color [A=255, R=255, G=255, B=255]
130800,Color [A=255, R=0, G=0, B=0]
131680,Color [A=255, R=255, G=255, B=255]
131720,Color [A=255, R=0, G=0, B=0]
132480,Color [A=255, R=255, G=255, B=255]
132520,Color [A=255, R=0, G=0, B=0]
133760,Color [A=255, R=255, G=255, B=255]
133800,Color [A=255, R=0, G=0, B=0]
134520,Color [A=255, R=255, G=255, B=255]
134560,Color [A=255, R=0, G=0, B=0]
136920,Color [A=255, R=255, G=255, B=255]
136960,Color [A=255, R=0, G=0, B=0]
138720,Color [A=255, R=255, G=255, B=255]
138760,Color [A=255, R=0, G=0, B=0]
139480,Color [A=255, R=255, G=255, B=255]
139520,Color [A=255, R=0, G=0, B=0]
142600,Color [A=255, R=255, G=255, B=255]
142640,Color [A=255, R=0, G=0, B=0]
144360,Color [A=255, R=255, G=255, B=255]
144400,Color [A=255, R=0, G=0, B=0]
146760,Color [A=255, R=255, G=255, B=255]
146800,Color [A=255, R=0, G=0, B=0]
150880,Color [A=255, R=255, G=255, B=255]
150920,Color [A=255, R=0, G=0, B=0]
154240,Color [A=255, R=255, G=255, B=255]
154280,Color [A=255, R=0, G=0, B=0]
156400,Color [A=255, R=255, G=255, B=255]
156440,Color [A=255, R=0, G=0, B=0]
158000,Color [A=255, R=255, G=255, B=255]
158040,Color [A=255, R=0, G=0, B=0]
158840,Color [A=255, R=255, G=255, B=255]
158880,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
161520,Color [A=255, R=255, G=255, B=255]
161560,Color [A=255, R=0, G=0, B=0]
163960,Color [A=255, R=255, G=255, B=255]
164000,Color [A=255, R=0, G=0, B=0]
173600,Color [A=255, R=255, G=255, B=255]
173640,Color [A=255, R=0, G=0, B=0]
174480,Color [A=255, R=255, G=255, B=255]
174520,Color [A=255, R=0, G=0, B=0]
174680,Color [A=255, R=255, G=255, B=255]
174720,Color [A=255, R=0, G=0, B=0]
178200,Color [A=255, R=255, G=255, B=255]
178240,Color [A=255, R=0, G=0, B=0]
179880,Color [A=255, R=255, G=255, B=255]
179920,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
188040,Color [A=255, R=255, G=255, B=255]
188080,Color [A=255, R=0, G=0, B=0]
188600,Color [A=255, R=255, G=255, B=255]
188640,Color [A=255, R=0, G=0, B=0]
193280,Color [A=255, R=255, G=255, B=255]
193320,Color [A=255, R=0, G=0, B=0]
194720,Color [A=255, R=255, G=255, B=255]
194760,Color [A=255, R=0, G=0, B=0]
194960,Color [A=255, R=255, G=255, B=255]
195000,Color [A=255, R=0, G=0, B=0]
198520,Color [A=255, R=255, G=255, B=255]
198560,Color [A=255, R=0, G=0, B=0]
199280,Color [A=255, R=255, G=255, B=255]
199320,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
203520,Color [A=255, R=255, G=255, B=255]
203560,Color [A=255, R=0, G=0, B=0]
204080,Color [A=255, R=255, G=255, B=255]
204120,Color [A=255, R=0, G=0, B=0]
204200,Color [A=255, R=255, G=255, B=255]
204240,Color [A=255, R=0, G=0, B=0]
204440,Color [A=255, R=255, G=255, B=255]
204480,Color [A=255, R=0, G=0, B=0]
204960,Color [A=255, R=255, G=255, B=255]
205000,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
208040,Color [A=255, R=255, G=255, B=255]
208080,Color [A=255, R=0, G=0, B=0]
209160,Color [A=255, R=255, G=255, B=255]
209200,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
213920,Color [A=255, R=255, G=255, B=255]
213960,Color [A=255, R=0, G=0, B=0]
216680,Color [A=255, R=255, G=255, B=255]
216720,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219200,Color [A=255, R=255, G=255, B=255]
219240,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
223040,Color [A=255, R=255, G=255, B=255]
223080,Color [A=255, R=0, G=0, B=0]
224960,Color [A=255, R=255, G=255, B=255]
225000,Color [A=255, R=0, G=0, B=0]
226920,Color [A=255, R=255, G=255, B=255]
226960,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
229520,Color [A=255, R=255, G=255, B=255]
229560,Color [A=255, R=0, G=0, B=0]
232080,Color [A=255, R=255, G=255, B=255]
232120,Color [A=255, R=0, G=0, B=0]
232560,Color [A=255, R=255, G=255, B=255]
232600,Color [A=255, R=0, G=0, B=0]
232680,Color [A=255, R=255, G=255, B=255]
232720,Color [A=255, R=0, G=0, B=0]
234040,Color [A=255, R=255, G=255, B=255]
234080,Color [A=255, R=0, G=0, B=0]
238280,Color [A=255, R=255, G=255, B=255]
238320,Color [A=255, R=0, G=0, B=0]
238680,Color [A=255, R=255, G=255, B=255]
238720,Color [A=255, R=0, G=0, B=0]
239600,Color [A=255, R=255, G=255, B=255]
239640,Color [A=255, R=0, G=0, B=0]
242440,Color [A=255, R=255, G=255, B=255]
242480,Color [A=255, R=0, G=0, B=0]
242800,Color [A=255, R=255, G=255, B=255]
242840,Color [A=255, R=0, G=0, B=0]
245040,Color [A=255, R=255, G=255, B=255]
245080,Color [A=255, R=0, G=0, B=0]
247400,Color [A=255, R=255, G=255, B=255]
247440,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
249240,Color [A=255, R=255, G=255, B=255]
249280,Color [A=255, R=0, G=0, B=0]
249400,Color [A=255, R=255, G=255, B=255]
249440,Color [A=255, R=0, G=0, B=0]
249880,Color [A=255, R=255, G=255, B=255]
249920,Color [A=255, R=0, G=0, B=0]
250000,Color [A=255, R=255, G=255, B=255]
250040,Color [A=255, R=0, G=0, B=0]
250680,Color [A=255, R=255, G=255, B=255]
250720,Color [A=255, R=0, G=0, B=0]
250920,Color [A=255, R=255, G=255, B=255]
250960,Color [A=255, R=0, G=0, B=0]
252880,Color [A=255, R=255, G=255, B=255]
252920,Color [A=255, R=0, G=0, B=0]
255840,Color [A=255, R=255, G=255, B=255]
255880,Color [A=255, R=0, G=0, B=0]
256920,Color [A=255, R=255, G=255, B=255]
256960,Color [A=255, R=0, G=0, B=0]
259560,Color [A=255, R=255, G=255, B=255]
