40,Color [A=255, R=255, G=206, B=31]
480,Color [A=255, R=255, G=255, B=255]
520,Color [A=255, R=0, G=0, B=0]
1040,Color [A=255, R=255, G=255, B=255]
1080,Color [A=255, R=0, G=0, B=0]
1160,Color [A=255, R=255, G=255, B=255]
1200,Color [A=255, R=0, G=0, B=0]
1240,Color [A=255, R=255, G=255, B=255]
1280,Color [A=255, R=0, G=0, B=0]
1320,Color [A=255, R=255, G=255, B=255]
1400,Color [A=255, R=0, G=0, B=0]
1480,Color [A=255, R=255, G=255, B=255]
1560,Color [A=255, R=0, G=0, B=0]
1640,Color [A=255, R=255, G=255, B=255]
1680,Color [A=255, R=0, G=0, B=0]
1720,Color [A=255, R=255, G=255, B=255]
1760,Color [A=255, R=0, G=0, B=0]
1840,Color [A=255, R=255, G=255, B=255]
1880,Color [A=255, R=0, G=0, B=0]
1920,Color [A=255, R=255, G=255, B=255]
1960,Color [A=255, R=0, G=0, B=0]
2000,Color [A=255, R=255, G=255, B=255]
2120,Color [A=255, R=0, G=0, B=0]
2240,Color [A=255, R=255, G=255, B=255]
2280,Color [A=255, R=0, G=0, B=0]
2360,Color [A=255, R=255, G=255, B=255]
2400,Color [A=255, R=0, G=0, B=0]
2440,Color [A=255, R=255, G=255, B=255]
2480,Color [A=255, R=0, G=0, B=0]
2640,Color [A=255, R=255, G=255, B=255]
2680,Color [A=255, R=0, G=0, B=0]
2800,Color [A=255, R=255, G=255, B=255]
2880,Color [A=255, R=0, G=0, B=0]
2920,Color [A=255, R=255, G=255, B=255]
2960,Color [A=255, R=0, G=0, B=0]
3120,Color [A=255, R=255, G=255, B=255]
3160,Color [A=255, R=0, G=0, B=0]
3240,Color [A=255, R=255, G=255, B=255]
3280,Color [A=255, R=0, G=0, B=0]
3360,Color [A=255, R=255, G=255, B=255]
3400,Color [A=255, R=0, G=0, B=0]
3440,Color [A=255, R=255, G=255, B=255]
3480,Color [A=255, R=0, G=0, B=0]
3600,Color [A=255, R=255, G=255, B=255]
3640,Color [A=255, R=0, G=0, B=0]
3680,Color [A=255, R=255, G=255, B=255]
3720,Color [A=255, R=0, G=0, B=0]
3760,Color [A=255, R=255, G=255, B=255]
3800,Color [A=255, R=0, G=0, B=0]
3920,Color [A=255, R=255, G=255, B=255]
4000,Color [A=255, R=0, G=0, B=0]
4080,Color [A=255, R=255, G=255, B=255]
4120,Color [A=255, R=0, G=0, B=0]
4200,Color [A=255, R=255, G=255, B=255]
4240,Color [A=255, R=0, G=0, B=0]
4320,Color [A=255, R=255, G=255, B=255]
4360,Color [A=255, R=0, G=0, B=0]
4400,Color [A=255, R=255, G=255, B=255]
4520,Color [A=255, R=0, G=0, B=0]
4560,Color [A=255, R=255, G=255, B=255]
4600,Color [A=255, R=0, G=0, B=0]
4680,Color [A=255, R=255, G=255, B=255]
4720,Color [A=255, R=0, G=0, B=0]
4800,Color [A=255, R=255, G=255, B=255]
4840,Color [A=255, R=0, G=0, B=0]
5040,Color [A=255, R=255, G=255, B=255]
5120,Color [A=255, R=0, G=0, B=0]
5400,Color [A=255, R=255, G=255, B=255]
5440,Color [A=255, R=0, G=0, B=0]
5760,Color [A=255, R=255, G=255, B=255]
5800,Color [A=255, R=0, G=0, B=0]
6000,Color [A=255, R=255, G=255, B=255]
6040,Color [A=255, R=0, G=0, B=0]
6080,Color [A=255, R=255, G=255, B=255]
6160,Color [A=255, R=0, G=0, B=0]
6240,Color [A=255, R=255, G=255, B=255]
6280,Color [A=255, R=0, G=0, B=0]
6320,Color [A=255, R=255, G=255, B=255]
6360,Color [A=255, R=0, G=0, B=0]
6400,Color [A=255, R=255, G=255, B=255]
6440,Color [A=255, R=0, G=0, B=0]
6520,Color [A=255, R=255, G=255, B=255]
6600,Color [A=255, R=0, G=0, B=0]
6680,Color [A=255, R=255, G=255, B=255]
6840,Color [A=255, R=0, G=0, B=0]
6880,Color [A=255, R=255, G=255, B=255]
6920,Color [A=255, R=0, G=0, B=0]
7000,Color [A=255, R=255, G=255, B=255]
7120,Color [A=255, R=0, G=0, B=0]
7200,Color [A=255, R=255, G=255, B=255]
7240,Color [A=255, R=0, G=0, B=0]
7280,Color [A=255, R=255, G=255, B=255]
7320,Color [A=255, R=0, G=0, B=0]
7360,Color [A=255, R=255, G=255, B=255]
7400,Color [A=255, R=0, G=0, B=0]
7440,Color [A=255, R=255, G=255, B=255]
7520,Color [A=255, R=0, G=0, B=0]
7600,Color [A=255, R=255, G=255, B=255]
7640,Color [A=255, R=0, G=0, B=0]
7800,Color [A=255, R=255, G=255, B=255]
7840,Color [A=255, R=0, G=0, B=0]
7920,Color [A=255, R=255, G=255, B=255]
7960,Color [A=255, R=0, G=0, B=0]
8080,Color [A=255, R=255, G=255, B=255]
8120,Color [A=255, R=0, G=0, B=0]
8160,Color [A=255, R=255, G=255, B=255]
8200,Color [A=255, R=0, G=0, B=0]
8240,Color [A=255, R=255, G=255, B=255]
8320,Color [A=255, R=0, G=0, B=0]
8640,Color [A=255, R=255, G=255, B=255]
8680,Color [A=255, R=0, G=0, B=0]
8800,Color [A=255, R=255, G=255, B=255]
8880,Color [A=255, R=0, G=0, B=0]
9000,Color [A=255, R=255, G=255, B=255]
9040,Color [A=255, R=0, G=0, B=0]
9240,Color [A=255, R=255, G=255, B=255]
9320,Color [A=255, R=0, G=0, B=0]
9400,Color [A=255, R=255, G=255, B=255]
9440,Color [A=255, R=0, G=0, B=0]
9720,Color [A=255, R=255, G=255, B=255]
9760,Color [A=255, R=0, G=0, B=0]
9920,Color [A=255, R=255, G=255, B=255]
9960,Color [A=255, R=0, G=0, B=0]
10040,Color [A=255, R=255, G=255, B=255]
10080,Color [A=255, R=0, G=0, B=0]
10240,Color [A=255, R=255, G=255, B=255]
10280,Color [A=255, R=0, G=0, B=0]
10400,Color [A=255, R=255, G=255, B=255]
10440,Color [A=255, R=0, G=0, B=0]
10480,Color [A=255, R=255, G=255, B=255]
10560,Color [A=255, R=0, G=0, B=0]
10600,Color [A=255, R=255, G=255, B=255]
10640,Color [A=255, R=0, G=0, B=0]
10720,Color [A=255, R=255, G=255, B=255]
10760,Color [A=255, R=0, G=0, B=0]
10880,Color [A=255, R=255, G=255, B=255]
10920,Color [A=255, R=0, G=0, B=0]
11040,Color [A=255, R=255, G=255, B=255]
11080,Color [A=255, R=0, G=0, B=0]
11120,Color [A=255, R=255, G=255, B=255]
11200,Color [A=255, R=0, G=0, B=0]
11240,Color [A=255, R=255, G=255, B=255]
11320,Color [A=255, R=0, G=0, B=0]
11480,Color [A=255, R=255, G=255, B=255]
11520,Color [A=255, R=0, G=0, B=0]
11640,Color [A=255, R=255, G=255, B=255]
11720,Color [A=255, R=0, G=0, B=0]
11800,Color [A=255, R=255, G=255, B=255]
11840,Color [A=255, R=0, G=0, B=0]
11920,Color [A=255, R=255, G=255, B=255]
11960,Color [A=255, R=0, G=0, B=0]
12000,Color [A=255, R=255, G=255, B=255]
12040,Color [A=255, R=0, G=0, B=0]
12080,Color [A=255, R=255, G=255, B=255]
12120,Color [A=255, R=0, G=0, B=0]
12200,Color [A=255, R=255, G=255, B=255]
12240,Color [A=255, R=0, G=0, B=0]
12400,Color [A=255, R=255, G=255, B=255]
12520,Color [A=255, R=0, G=0, B=0]
12640,Color [A=255, R=255, G=255, B=255]
12680,Color [A=255, R=0, G=0, B=0]
