40,Color [A=255, R=255, G=206, B=31]
240,Color [A=255, R=255, G=255, B=255]
280,Color [A=255, R=0, G=0, B=0]
65800,Color [A=255, R=255, G=255, B=255]
131320,Color [A=255, R=255, G=255, B=255]
196840,Color [A=255, R=255, G=255, B=255]
262360,Color [A=255, R=255, G=255, B=255]
327880,Color [A=255, R=255, G=255, B=255]
369280,Color [A=255, R=255, G=255, B=255]
369320,Color [A=255, R=0, G=0, B=0]
434840,Color [A=255, R=255, G=255, B=255]
500360,Color [A=255, R=255, G=255, B=255]
565880,Color [A=255, R=255, G=255, B=255]
616360,Color [A=255, R=255, G=255, B=255]
616400,Color [A=255, R=0, G=0, B=0]
681920,Color [A=255, R=255, G=255, B=255]
747440,Color [A=255, R=255, G=255, B=255]
812960,Color [A=255, R=255, G=255, B=255]
878480,Color [A=255, R=255, G=255, B=255]
944000,Color [A=255, R=255, G=255, B=255]
1009520,Color [A=255, R=255, G=255, B=255]
1075040,Color [A=255, R=255, G=255, B=255]
1140560,Color [A=255, R=255, G=255, B=255]
1206080,Color [A=255, R=255, G=255, B=255]
1271600,Color [A=255, R=255, G=255, B=255]
1337120,Color [A=255, R=255, G=255, B=255]
1402640,Color [A=255, R=255, G=255, B=255]
1468160,Color [A=255, R=255, G=255, B=255]
1533680,Color [A=255, R=255, G=255, B=255]
1599200,Color [A=255, R=255, G=255, B=255]
1664720,Color [A=255, R=255, G=255, B=255]
1730240,Color [A=255, R=255, G=255, B=255]
1795760,Color [A=255, R=255, G=255, B=255]
1861280,Color [A=255, R=255, G=255, B=255]
1926800,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
