40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=0, G=0, B=0]
7880,Color [A=255, R=255, G=255, B=255]
7920,Color [A=255, R=0, G=0, B=0]
15000,Color [A=255, R=255, G=255, B=255]
15040,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
24320,Color [A=255, R=255, G=255, B=255]
24360,Color [A=255, R=0, G=0, B=0]
39800,Color [A=255, R=255, G=255, B=255]
39840,Color [A=255, R=0, G=0, B=0]
42400,Color [A=255, R=255, G=255, B=255]
42440,Color [A=255, R=0, G=0, B=0]
75720,Color [A=255, R=255, G=255, B=255]
75760,Color [A=255, R=0, G=0, B=0]
80120,Color [A=255, R=255, G=255, B=255]
80160,Color [A=255, R=0, G=0, B=0]
124440,Color [A=255, R=255, G=255, B=255]
124480,Color [A=255, R=0, G=0, B=0]
128160,Color [A=255, R=255, G=255, B=255]
128200,Color [A=255, R=0, G=0, B=0]
139000,Color [A=255, R=255, G=255, B=255]
139040,Color [A=255, R=0, G=0, B=0]
141040,Color [A=255, R=255, G=255, B=255]
141080,Color [A=255, R=0, G=0, B=0]
145040,Color [A=255, R=255, G=255, B=255]
145080,Color [A=255, R=0, G=0, B=0]
165400,Color [A=255, R=255, G=255, B=255]
165440,Color [A=255, R=0, G=0, B=0]
166280,Color [A=255, R=255, G=255, B=255]
166320,Color [A=255, R=0, G=0, B=0]
179640,Color [A=255, R=255, G=255, B=255]
179680,Color [A=255, R=0, G=0, B=0]
199800,Color [A=255, R=255, G=255, B=255]
199840,Color [A=255, R=0, G=0, B=0]
254000,Color [A=255, R=255, G=255, B=255]
254040,Color [A=255, R=0, G=0, B=0]
255600,Color [A=255, R=255, G=255, B=255]
255640,Color [A=255, R=0, G=0, B=0]
267600,Color [A=255, R=255, G=255, B=255]
267640,Color [A=255, R=0, G=0, B=0]
333160,Color [A=255, R=255, G=255, B=255]
398680,Color [A=255, R=255, G=255, B=255]
