40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
131080,Color [A=255, R=255, G=255, B=255]
196600,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=255, G=255, B=255]
270120,Color [A=255, R=255, G=255, B=255]
270160,Color [A=255, R=0, G=0, B=0]
270200,Color [A=255, R=255, G=255, B=255]
270240,Color [A=255, R=0, G=0, B=0]
335760,Color [A=255, R=255, G=255, B=255]
401280,Color [A=255, R=255, G=255, B=255]
466800,Color [A=255, R=255, G=255, B=255]
532320,Color [A=255, R=255, G=255, B=255]
597840,Color [A=255, R=255, G=255, B=255]
663360,Color [A=255, R=255, G=255, B=255]
728880,Color [A=255, R=255, G=255, B=255]
794400,Color [A=255, R=255, G=255, B=255]
843280,Color [A=255, R=255, G=255, B=255]
843320,Color [A=255, R=0, G=0, B=0]
895440,Color [A=255, R=255, G=255, B=255]
895480,Color [A=255, R=0, G=0, B=0]
961000,Color [A=255, R=255, G=255, B=255]
1026520,Color [A=255, R=255, G=255, B=255]
1092040,Color [A=255, R=255, G=255, B=255]
1157560,Color [A=255, R=255, G=255, B=255]
1223080,Color [A=255, R=255, G=255, B=255]
1288600,Color [A=255, R=255, G=255, B=255]
1354120,Color [A=255, R=255, G=255, B=255]
1419640,Color [A=255, R=255, G=255, B=255]
1485160,Color [A=255, R=255, G=255, B=255]
1550680,Color [A=255, R=255, G=255, B=255]
1577440,Color [A=255, R=255, G=255, B=255]
1577480,Color [A=255, R=0, G=0, B=0]
1643000,Color [A=255, R=255, G=255, B=255]
1708520,Color [A=255, R=255, G=255, B=255]
1774040,Color [A=255, R=255, G=255, B=255]
1839560,Color [A=255, R=255, G=255, B=255]
1905080,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
