40,Color [A=255, R=255, G=206, B=31]
65560,Color [A=255, R=255, G=255, B=255]
118840,Color [A=255, R=255, G=255, B=255]
118880,Color [A=255, R=0, G=0, B=0]
184400,Color [A=255, R=255, G=255, B=255]
249920,Color [A=255, R=255, G=255, B=255]
315440,Color [A=255, R=255, G=255, B=255]
380960,Color [A=255, R=255, G=255, B=255]
421680,Color [A=255, R=255, G=255, B=255]
421720,Color [A=255, R=0, G=0, B=0]
487240,Color [A=255, R=255, G=255, B=255]
552760,Color [A=255, R=255, G=255, B=255]
618280,Color [A=255, R=255, G=255, B=255]
683800,Color [A=255, R=255, G=255, B=255]
733640,Color [A=255, R=255, G=255, B=255]
733680,Color [A=255, R=0, G=0, B=0]
799200,Color [A=255, R=255, G=255, B=255]
864720,Color [A=255, R=255, G=255, B=255]
930240,Color [A=255, R=255, G=255, B=255]
995760,Color [A=255, R=255, G=255, B=255]
1061280,Color [A=255, R=255, G=255, B=255]
1126800,Color [A=255, R=255, G=255, B=255]
1192320,Color [A=255, R=255, G=255, B=255]
1257840,Color [A=255, R=255, G=255, B=255]
1323360,Color [A=255, R=255, G=255, B=255]
1388880,Color [A=255, R=255, G=255, B=255]
1400800,Color [A=255, R=255, G=255, B=255]
1400840,Color [A=255, R=0, G=0, B=0]
1466360,Color [A=255, R=255, G=255, B=255]
1531880,Color [A=255, R=255, G=255, B=255]
1597400,Color [A=255, R=255, G=255, B=255]
1634560,Color [A=255, R=255, G=255, B=255]
1634600,Color [A=255, R=0, G=0, B=0]
1683040,Color [A=255, R=255, G=255, B=255]
1683080,Color [A=255, R=0, G=0, B=0]
1748600,Color [A=255, R=255, G=255, B=255]
1814120,Color [A=255, R=255, G=255, B=255]
1879640,Color [A=255, R=255, G=255, B=255]
1945160,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
