40,Color [A=255, R=255, G=206, B=31]
80,Color [A=255, R=255, G=255, B=255]
120,Color [A=255, R=0, G=0, B=0]
280,Color [A=255, R=255, G=255, B=255]
320,Color [A=255, R=0, G=0, B=0]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
21880,Color [A=255, R=255, G=255, B=255]
21920,Color [A=255, R=0, G=0, B=0]
87440,Color [A=255, R=255, G=255, B=255]
90000,Color [A=255, R=255, G=255, B=255]
90040,Color [A=255, R=0, G=0, B=0]
107200,Color [A=255, R=255, G=255, B=255]
107240,Color [A=255, R=0, G=0, B=0]
123160,Color [A=255, R=255, G=255, B=255]
123200,Color [A=255, R=0, G=0, B=0]
126760,Color [A=255, R=255, G=255, B=255]
126800,Color [A=255, R=0, G=0, B=0]
134480,Color [A=255, R=255, G=255, B=255]
134520,Color [A=255, R=0, G=0, B=0]
141040,Color [A=255, R=255, G=255, B=255]
141080,Color [A=255, R=0, G=0, B=0]
159920,Color [A=255, R=255, G=255, B=255]
159960,Color [A=255, R=0, G=0, B=0]
184200,Color [A=255, R=255, G=255, B=255]
184240,Color [A=255, R=0, G=0, B=0]
201480,Color [A=255, R=255, G=255, B=255]
201520,Color [A=255, R=0, G=0, B=0]
201800,Color [A=255, R=255, G=255, B=255]
201840,Color [A=255, R=0, G=0, B=0]
207640,Color [A=255, R=255, G=255, B=255]
207680,Color [A=255, R=0, G=0, B=0]
209120,Color [A=255, R=255, G=255, B=255]
209160,Color [A=255, R=0, G=0, B=0]
211160,Color [A=255, R=255, G=255, B=255]
211200,Color [A=255, R=0, G=0, B=0]
218800,Color [A=255, R=255, G=255, B=255]
218840,Color [A=255, R=0, G=0, B=0]
219600,Color [A=255, R=255, G=255, B=255]
219640,Color [A=255, R=0, G=0, B=0]
227280,Color [A=255, R=255, G=255, B=255]
227320,Color [A=255, R=0, G=0, B=0]
238640,Color [A=255, R=255, G=255, B=255]
238680,Color [A=255, R=0, G=0, B=0]
247560,Color [A=255, R=255, G=255, B=255]
247600,Color [A=255, R=0, G=0, B=0]
255600,Color [A=255, R=255, G=255, B=255]
255640,Color [A=255, R=0, G=0, B=0]
317920,Color [A=255, R=255, G=255, B=255]
317960,Color [A=255, R=0, G=0, B=0]
345160,Color [A=255, R=255, G=255, B=255]
345200,Color [A=255, R=0, G=0, B=0]
380360,Color [A=255, R=255, G=255, B=255]
380400,Color [A=255, R=0, G=0, B=0]
400120,Color [A=255, R=255, G=255, B=255]
400160,Color [A=255, R=0, G=0, B=0]
401320,Color [A=255, R=255, G=255, B=255]
401360,Color [A=255, R=0, G=0, B=0]
445760,Color [A=255, R=255, G=255, B=255]
445800,Color [A=255, R=0, G=0, B=0]
505960,Color [A=255, R=255, G=255, B=255]
506000,Color [A=255, R=0, G=0, B=0]
508320,Color [A=255, R=255, G=255, B=255]
508360,Color [A=255, R=0, G=0, B=0]
551320,Color [A=255, R=255, G=255, B=255]
551360,Color [A=255, R=0, G=0, B=0]
552440,Color [A=255, R=255, G=255, B=255]
552480,Color [A=255, R=0, G=0, B=0]
552760,Color [A=255, R=255, G=255, B=255]
552800,Color [A=255, R=0, G=0, B=0]
555520,Color [A=255, R=255, G=255, B=255]
555560,Color [A=255, R=0, G=0, B=0]
601320,Color [A=255, R=255, G=255, B=255]
601360,Color [A=255, R=0, G=0, B=0]
607760,Color [A=255, R=255, G=255, B=255]
607800,Color [A=255, R=0, G=0, B=0]
629360,Color [A=255, R=255, G=255, B=255]
629400,Color [A=255, R=0, G=0, B=0]
636280,Color [A=255, R=255, G=255, B=255]
636320,Color [A=255, R=0, G=0, B=0]
649840,Color [A=255, R=255, G=255, B=255]
649880,Color [A=255, R=0, G=0, B=0]
680440,Color [A=255, R=255, G=255, B=255]
680480,Color [A=255, R=0, G=0, B=0]
703640,Color [A=255, R=255, G=255, B=255]
703680,Color [A=255, R=0, G=0, B=0]
704280,Color [A=255, R=255, G=255, B=255]
704320,Color [A=255, R=0, G=0, B=0]
714760,Color [A=255, R=255, G=255, B=255]
714800,Color [A=255, R=0, G=0, B=0]
728520,Color [A=255, R=255, G=255, B=255]
728560,Color [A=255, R=0, G=0, B=0]
732120,Color [A=255, R=255, G=255, B=255]
732160,Color [A=255, R=0, G=0, B=0]
758560,Color [A=255, R=255, G=255, B=255]
758600,Color [A=255, R=0, G=0, B=0]
775280,Color [A=255, R=255, G=255, B=255]
775320,Color [A=255, R=0, G=0, B=0]
775600,Color [A=255, R=255, G=255, B=255]
775640,Color [A=255, R=0, G=0, B=0]
779320,Color [A=255, R=255, G=255, B=255]
779360,Color [A=255, R=0, G=0, B=0]
844880,Color [A=255, R=255, G=255, B=255]
848200,Color [A=255, R=255, G=255, B=255]
848240,Color [A=255, R=0, G=0, B=0]
852680,Color [A=255, R=255, G=255, B=255]
852760,Color [A=255, R=0, G=0, B=0]
862680,Color [A=255, R=255, G=255, B=255]
862720,Color [A=255, R=0, G=0, B=0]
872000,Color [A=255, R=255, G=255, B=255]
872040,Color [A=255, R=0, G=0, B=0]
878200,Color [A=255, R=255, G=255, B=255]
878240,Color [A=255, R=0, G=0, B=0]
881160,Color [A=255, R=255, G=255, B=255]
881240,Color [A=255, R=0, G=0, B=0]
881720,Color [A=255, R=255, G=255, B=255]
881800,Color [A=255, R=0, G=0, B=0]
882000,Color [A=255, R=255, G=255, B=255]
882040,Color [A=255, R=0, G=0, B=0]
882520,Color [A=255, R=255, G=255, B=255]
882600,Color [A=255, R=0, G=0, B=0]
882640,Color [A=255, R=255, G=255, B=255]
882680,Color [A=255, R=0, G=0, B=0]
882920,Color [A=255, R=255, G=255, B=255]
882960,Color [A=255, R=0, G=0, B=0]
883400,Color [A=255, R=255, G=255, B=255]
883440,Color [A=255, R=0, G=0, B=0]
887400,Color [A=255, R=255, G=255, B=255]
887440,Color [A=255, R=0, G=0, B=0]
896960,Color [A=255, R=255, G=255, B=255]
897000,Color [A=255, R=0, G=0, B=0]
911000,Color [A=255, R=255, G=255, B=255]
911040,Color [A=255, R=0, G=0, B=0]
911320,Color [A=255, R=255, G=255, B=255]
911360,Color [A=255, R=0, G=0, B=0]
921480,Color [A=255, R=255, G=255, B=255]
921520,Color [A=255, R=0, G=0, B=0]
927160,Color [A=255, R=255, G=255, B=255]
927200,Color [A=255, R=0, G=0, B=0]
927480,Color [A=255, R=255, G=255, B=255]
927520,Color [A=255, R=0, G=0, B=0]
930400,Color [A=255, R=255, G=255, B=255]
930440,Color [A=255, R=0, G=0, B=0]
933560,Color [A=255, R=255, G=255, B=255]
933600,Color [A=255, R=0, G=0, B=0]
933720,Color [A=255, R=255, G=255, B=255]
933760,Color [A=255, R=0, G=0, B=0]
934080,Color [A=255, R=255, G=255, B=255]
934120,Color [A=255, R=0, G=0, B=0]
944080,Color [A=255, R=255, G=255, B=255]
944120,Color [A=255, R=0, G=0, B=0]
944400,Color [A=255, R=255, G=255, B=255]
944440,Color [A=255, R=0, G=0, B=0]
951000,Color [A=255, R=255, G=255, B=255]
951040,Color [A=255, R=0, G=0, B=0]
992880,Color [A=255, R=255, G=255, B=255]
992920,Color [A=255, R=0, G=0, B=0]
993280,Color [A=255, R=255, G=255, B=255]
993320,Color [A=255, R=0, G=0, B=0]
1001720,Color [A=255, R=255, G=255, B=255]
1001760,Color [A=255, R=0, G=0, B=0]
1027120,Color [A=255, R=255, G=255, B=255]
1027160,Color [A=255, R=0, G=0, B=0]
1046840,Color [A=255, R=255, G=255, B=255]
1046880,Color [A=255, R=0, G=0, B=0]
1080760,Color [A=255, R=255, G=255, B=255]
1080800,Color [A=255, R=0, G=0, B=0]
1084920,Color [A=255, R=255, G=255, B=255]
1084960,Color [A=255, R=0, G=0, B=0]
1111800,Color [A=255, R=255, G=255, B=255]
1111840,Color [A=255, R=0, G=0, B=0]
1155680,Color [A=255, R=255, G=255, B=255]
1155720,Color [A=255, R=0, G=0, B=0]
1156000,Color [A=255, R=255, G=255, B=255]
1156040,Color [A=255, R=0, G=0, B=0]
1163240,Color [A=255, R=255, G=255, B=255]
1163280,Color [A=255, R=0, G=0, B=0]
1181800,Color [A=255, R=255, G=255, B=255]
1181840,Color [A=255, R=0, G=0, B=0]
1198240,Color [A=255, R=255, G=255, B=255]
1198280,Color [A=255, R=0, G=0, B=0]
1213800,Color [A=255, R=255, G=255, B=255]
1213840,Color [A=255, R=0, G=0, B=0]
1213920,Color [A=255, R=255, G=255, B=255]
1213960,Color [A=255, R=0, G=0, B=0]
1249840,Color [A=255, R=255, G=255, B=255]
1249880,Color [A=255, R=0, G=0, B=0]
1281680,Color [A=255, R=255, G=255, B=255]
1281720,Color [A=255, R=0, G=0, B=0]
1291080,Color [A=255, R=255, G=255, B=255]
1291120,Color [A=255, R=0, G=0, B=0]
1291400,Color [A=255, R=255, G=255, B=255]
1291440,Color [A=255, R=0, G=0, B=0]
1293200,Color [A=255, R=255, G=255, B=255]
1293240,Color [A=255, R=0, G=0, B=0]
1294080,Color [A=255, R=255, G=255, B=255]
1294120,Color [A=255, R=0, G=0, B=0]
1342720,Color [A=255, R=255, G=255, B=255]
1342760,Color [A=255, R=0, G=0, B=0]
1398240,Color [A=255, R=255, G=255, B=255]
1398280,Color [A=255, R=0, G=0, B=0]
1421680,Color [A=255, R=255, G=255, B=255]
1421720,Color [A=255, R=0, G=0, B=0]
1428080,Color [A=255, R=255, G=255, B=255]
1428720,Color [A=255, R=0, G=0, B=0]
1494240,Color [A=255, R=255, G=255, B=255]
1559760,Color [A=255, R=255, G=255, B=255]
1585400,Color [A=255, R=255, G=255, B=255]
1585440,Color [A=255, R=0, G=0, B=0]
1615840,Color [A=255, R=255, G=255, B=255]
1615880,Color [A=255, R=0, G=0, B=0]
1631480,Color [A=255, R=255, G=255, B=255]
1631520,Color [A=255, R=0, G=0, B=0]
1640000,Color [A=255, R=255, G=255, B=255]
1640040,Color [A=255, R=0, G=0, B=0]
1643320,Color [A=255, R=255, G=255, B=255]
1643360,Color [A=255, R=0, G=0, B=0]
1651800,Color [A=255, R=255, G=255, B=255]
1651840,Color [A=255, R=0, G=0, B=0]
1651880,Color [A=255, R=255, G=255, B=255]
1651920,Color [A=255, R=0, G=0, B=0]
1652040,Color [A=255, R=255, G=255, B=255]
1652120,Color [A=255, R=0, G=0, B=0]
1652240,Color [A=255, R=255, G=255, B=255]
1652280,Color [A=255, R=0, G=0, B=0]
1652600,Color [A=255, R=255, G=255, B=255]
1652640,Color [A=255, R=0, G=0, B=0]
1653400,Color [A=255, R=255, G=255, B=255]
1653440,Color [A=255, R=0, G=0, B=0]
1654360,Color [A=255, R=255, G=255, B=255]
1654400,Color [A=255, R=0, G=0, B=0]
1654760,Color [A=255, R=255, G=255, B=255]
1654800,Color [A=255, R=0, G=0, B=0]
1658640,Color [A=255, R=255, G=255, B=255]
1658680,Color [A=255, R=0, G=0, B=0]
1662920,Color [A=255, R=255, G=255, B=255]
1662960,Color [A=255, R=0, G=0, B=0]
1668360,Color [A=255, R=255, G=255, B=255]
1668400,Color [A=255, R=0, G=0, B=0]
1668720,Color [A=255, R=255, G=255, B=255]
1668760,Color [A=255, R=0, G=0, B=0]
1701960,Color [A=255, R=255, G=255, B=255]
1702000,Color [A=255, R=0, G=0, B=0]
1711000,Color [A=255, R=255, G=255, B=255]
1711040,Color [A=255, R=0, G=0, B=0]
1713840,Color [A=255, R=255, G=255, B=255]
1713880,Color [A=255, R=0, G=0, B=0]
1716680,Color [A=255, R=255, G=255, B=255]
1716720,Color [A=255, R=0, G=0, B=0]
1718680,Color [A=255, R=255, G=255, B=255]
1718720,Color [A=255, R=0, G=0, B=0]
1732360,Color [A=255, R=255, G=255, B=255]
1732400,Color [A=255, R=0, G=0, B=0]
1797920,Color [A=255, R=255, G=255, B=255]
1808560,Color [A=255, R=255, G=255, B=255]
1808600,Color [A=255, R=0, G=0, B=0]
1814840,Color [A=255, R=255, G=255, B=255]
1814880,Color [A=255, R=0, G=0, B=0]
1825760,Color [A=255, R=255, G=255, B=255]
1825800,Color [A=255, R=0, G=0, B=0]
1851400,Color [A=255, R=255, G=255, B=255]
1851440,Color [A=255, R=0, G=0, B=0]
1860000,Color [A=255, R=255, G=255, B=255]
1860080,Color [A=255, R=0, G=0, B=0]
1883000,Color [A=255, R=255, G=255, B=255]
1883040,Color [A=255, R=0, G=0, B=0]
1884480,Color [A=255, R=255, G=255, B=255]
1884520,Color [A=255, R=0, G=0, B=0]
1950040,Color [A=255, R=255, G=255, B=255]
1968480,Color [A=255, R=255, G=255, B=255]
