40,Color [A=255, R=255, G=206, B=31]
360,Color [A=255, R=255, G=255, B=255]
400,Color [A=255, R=0, G=0, B=0]
50080,Color [A=255, R=255, G=255, B=255]
50120,Color [A=255, R=0, G=0, B=0]
115640,Color [A=255, R=255, G=255, B=255]
119600,Color [A=255, R=255, G=255, B=255]
119640,Color [A=255, R=0, G=0, B=0]
133720,Color [A=255, R=255, G=255, B=255]
133760,Color [A=255, R=0, G=0, B=0]
151120,Color [A=255, R=255, G=255, B=255]
151160,Color [A=255, R=0, G=0, B=0]
164400,Color [A=255, R=255, G=255, B=255]
164440,Color [A=255, R=0, G=0, B=0]
177360,Color [A=255, R=255, G=255, B=255]
177400,Color [A=255, R=0, G=0, B=0]
214880,Color [A=255, R=255, G=255, B=255]
214920,Color [A=255, R=0, G=0, B=0]
244760,Color [A=255, R=255, G=255, B=255]
244800,Color [A=255, R=0, G=0, B=0]
262080,Color [A=255, R=255, G=255, B=255]
262120,Color [A=255, R=0, G=0, B=0]
318600,Color [A=255, R=255, G=255, B=255]
318640,Color [A=255, R=0, G=0, B=0]
366440,Color [A=255, R=255, G=255, B=255]
366480,Color [A=255, R=0, G=0, B=0]
390800,Color [A=255, R=255, G=255, B=255]
390840,Color [A=255, R=0, G=0, B=0]
398280,Color [A=255, R=255, G=255, B=255]
398320,Color [A=255, R=0, G=0, B=0]
428600,Color [A=255, R=255, G=255, B=255]
428640,Color [A=255, R=0, G=0, B=0]
443600,Color [A=255, R=255, G=255, B=255]
443640,Color [A=255, R=0, G=0, B=0]
509160,Color [A=255, R=255, G=255, B=255]
510440,Color [A=255, R=255, G=255, B=255]
510480,Color [A=255, R=0, G=0, B=0]
576000,Color [A=255, R=255, G=255, B=255]
637080,Color [A=255, R=255, G=255, B=255]
637120,Color [A=255, R=0, G=0, B=0]
645040,Color [A=255, R=255, G=255, B=255]
645080,Color [A=255, R=0, G=0, B=0]
650880,Color [A=255, R=255, G=255, B=255]
650920,Color [A=255, R=0, G=0, B=0]
716440,Color [A=255, R=255, G=255, B=255]
727440,Color [A=255, R=255, G=255, B=255]
727480,Color [A=255, R=0, G=0, B=0]
728480,Color [A=255, R=255, G=255, B=255]
728520,Color [A=255, R=0, G=0, B=0]
731880,Color [A=255, R=255, G=255, B=255]
731920,Color [A=255, R=0, G=0, B=0]
754320,Color [A=255, R=255, G=255, B=255]
754360,Color [A=255, R=0, G=0, B=0]
774520,Color [A=255, R=255, G=255, B=255]
774560,Color [A=255, R=0, G=0, B=0]
840080,Color [A=255, R=255, G=255, B=255]
852480,Color [A=255, R=255, G=255, B=255]
852520,Color [A=255, R=0, G=0, B=0]
855720,Color [A=255, R=255, G=255, B=255]
855760,Color [A=255, R=0, G=0, B=0]
882880,Color [A=255, R=255, G=255, B=255]
882920,Color [A=255, R=0, G=0, B=0]
895880,Color [A=255, R=255, G=255, B=255]
895920,Color [A=255, R=0, G=0, B=0]
898520,Color [A=255, R=255, G=255, B=255]
898560,Color [A=255, R=0, G=0, B=0]
964080,Color [A=255, R=255, G=255, B=255]
999560,Color [A=255, R=255, G=255, B=255]
999600,Color [A=255, R=0, G=0, B=0]
1013960,Color [A=255, R=255, G=255, B=255]
1014000,Color [A=255, R=0, G=0, B=0]
1028480,Color [A=255, R=255, G=255, B=255]
1028520,Color [A=255, R=0, G=0, B=0]
1036800,Color [A=255, R=255, G=255, B=255]
1036840,Color [A=255, R=0, G=0, B=0]
1038000,Color [A=255, R=255, G=255, B=255]
1038040,Color [A=255, R=0, G=0, B=0]
1070280,Color [A=255, R=255, G=255, B=255]
1070320,Color [A=255, R=0, G=0, B=0]
1072680,Color [A=255, R=255, G=255, B=255]
1072720,Color [A=255, R=0, G=0, B=0]
1086000,Color [A=255, R=255, G=255, B=255]
1086040,Color [A=255, R=0, G=0, B=0]
1151560,Color [A=255, R=255, G=255, B=255]
1162680,Color [A=255, R=255, G=255, B=255]
1162720,Color [A=255, R=0, G=0, B=0]
1172560,Color [A=255, R=255, G=255, B=255]
1172600,Color [A=255, R=0, G=0, B=0]
1237080,Color [A=255, R=255, G=255, B=255]
1237120,Color [A=255, R=0, G=0, B=0]
