40,Color [A=255, R=255, G=206, B=31]
1440,Color [A=255, R=255, G=255, B=255]
1480,Color [A=255, R=0, G=0, B=0]
1920,Color [A=255, R=255, G=255, B=255]
1960,Color [A=255, R=0, G=0, B=0]
2000,Color [A=255, R=255, G=255, B=255]
2040,Color [A=255, R=0, G=0, B=0]
2960,Color [A=255, R=255, G=255, B=255]
3000,Color [A=255, R=0, G=0, B=0]
3200,Color [A=255, R=255, G=255, B=255]
3240,Color [A=255, R=0, G=0, B=0]
3840,Color [A=255, R=255, G=255, B=255]
3920,Color [A=255, R=0, G=0, B=0]
4880,Color [A=255, R=255, G=255, B=255]
4920,Color [A=255, R=0, G=0, B=0]
5440,Color [A=255, R=255, G=255, B=255]
5480,Color [A=255, R=0, G=0, B=0]
5880,Color [A=255, R=255, G=255, B=255]
5960,Color [A=255, R=0, G=0, B=0]
6000,Color [A=255, R=255, G=255, B=255]
6040,Color [A=255, R=0, G=0, B=0]
6360,Color [A=255, R=255, G=255, B=255]
6400,Color [A=255, R=0, G=0, B=0]
6440,Color [A=255, R=255, G=255, B=255]
6480,Color [A=255, R=0, G=0, B=0]
6640,Color [A=255, R=255, G=255, B=255]
6680,Color [A=255, R=0, G=0, B=0]
7080,Color [A=255, R=255, G=255, B=255]
7120,Color [A=255, R=0, G=0, B=0]
7360,Color [A=255, R=255, G=255, B=255]
7400,Color [A=255, R=0, G=0, B=0]
7960,Color [A=255, R=255, G=255, B=255]
8000,Color [A=255, R=0, G=0, B=0]
8040,Color [A=255, R=255, G=255, B=255]
8080,Color [A=255, R=0, G=0, B=0]
8440,Color [A=255, R=255, G=255, B=255]
8480,Color [A=255, R=0, G=0, B=0]
8600,Color [A=255, R=255, G=255, B=255]
8640,Color [A=255, R=0, G=0, B=0]
9240,Color [A=255, R=255, G=255, B=255]
9280,Color [A=255, R=0, G=0, B=0]
9880,Color [A=255, R=255, G=255, B=255]
9920,Color [A=255, R=0, G=0, B=0]
10760,Color [A=255, R=255, G=255, B=255]
10800,Color [A=255, R=0, G=0, B=0]
11040,Color [A=255, R=255, G=255, B=255]
11080,Color [A=255, R=0, G=0, B=0]
13240,Color [A=255, R=255, G=255, B=255]
13280,Color [A=255, R=0, G=0, B=0]
13680,Color [A=255, R=255, G=255, B=255]
13720,Color [A=255, R=0, G=0, B=0]
13920,Color [A=255, R=255, G=255, B=255]
13960,Color [A=255, R=0, G=0, B=0]
14400,Color [A=255, R=255, G=255, B=255]
14480,Color [A=255, R=0, G=0, B=0]
15080,Color [A=255, R=255, G=255, B=255]
15120,Color [A=255, R=0, G=0, B=0]
15280,Color [A=255, R=255, G=255, B=255]
15320,Color [A=255, R=0, G=0, B=0]
15520,Color [A=255, R=255, G=255, B=255]
15560,Color [A=255, R=0, G=0, B=0]
15960,Color [A=255, R=255, G=255, B=255]
16000,Color [A=255, R=0, G=0, B=0]
22360,Color [A=255, R=255, G=255, B=255]
22400,Color [A=255, R=0, G=0, B=0]
22600,Color [A=255, R=255, G=255, B=255]
22640,Color [A=255, R=0, G=0, B=0]
23200,Color [A=255, R=255, G=255, B=255]
23240,Color [A=255, R=0, G=0, B=0]
24400,Color [A=255, R=255, G=255, B=255]
24440,Color [A=255, R=0, G=0, B=0]
24800,Color [A=255, R=255, G=255, B=255]
24880,Color [A=255, R=0, G=0, B=0]
25440,Color [A=255, R=255, G=255, B=255]
25480,Color [A=255, R=0, G=0, B=0]
27080,Color [A=255, R=255, G=255, B=255]
27120,Color [A=255, R=0, G=0, B=0]
27840,Color [A=255, R=255, G=255, B=255]
27880,Color [A=255, R=0, G=0, B=0]
28320,Color [A=255, R=255, G=255, B=255]
28360,Color [A=255, R=0, G=0, B=0]
28440,Color [A=255, R=255, G=255, B=255]
28480,Color [A=255, R=0, G=0, B=0]
28880,Color [A=255, R=255, G=255, B=255]
28920,Color [A=255, R=0, G=0, B=0]
29480,Color [A=255, R=255, G=255, B=255]
29520,Color [A=255, R=0, G=0, B=0]
29720,Color [A=255, R=255, G=255, B=255]
29800,Color [A=255, R=0, G=0, B=0]
30240,Color [A=255, R=255, G=255, B=255]
30320,Color [A=255, R=0, G=0, B=0]
30360,Color [A=255, R=255, G=255, B=255]
30400,Color [A=255, R=0, G=0, B=0]
31080,Color [A=255, R=255, G=255, B=255]
31120,Color [A=255, R=0, G=0, B=0]
31640,Color [A=255, R=255, G=255, B=255]
31680,Color [A=255, R=0, G=0, B=0]
32120,Color [A=255, R=255, G=255, B=255]
32160,Color [A=255, R=0, G=0, B=0]
32720,Color [A=255, R=255, G=255, B=255]
32760,Color [A=255, R=0, G=0, B=0]
32960,Color [A=255, R=255, G=255, B=255]
33000,Color [A=255, R=0, G=0, B=0]
33880,Color [A=255, R=255, G=255, B=255]
33920,Color [A=255, R=0, G=0, B=0]
34040,Color [A=255, R=255, G=255, B=255]
34080,Color [A=255, R=0, G=0, B=0]
34600,Color [A=255, R=255, G=255, B=255]
34640,Color [A=255, R=0, G=0, B=0]
36280,Color [A=255, R=255, G=255, B=255]
36320,Color [A=255, R=0, G=0, B=0]
36440,Color [A=255, R=255, G=255, B=255]
36480,Color [A=255, R=0, G=0, B=0]
37280,Color [A=255, R=255, G=255, B=255]
37320,Color [A=255, R=0, G=0, B=0]
37800,Color [A=255, R=255, G=255, B=255]
37880,Color [A=255, R=0, G=0, B=0]
38640,Color [A=255, R=255, G=255, B=255]
38680,Color [A=255, R=0, G=0, B=0]
39360,Color [A=255, R=255, G=255, B=255]
39400,Color [A=255, R=0, G=0, B=0]
40080,Color [A=255, R=255, G=255, B=255]
40120,Color [A=255, R=0, G=0, B=0]
40160,Color [A=255, R=255, G=255, B=255]
40200,Color [A=255, R=0, G=0, B=0]
40320,Color [A=255, R=255, G=255, B=255]
40360,Color [A=255, R=0, G=0, B=0]
41360,Color [A=255, R=255, G=255, B=255]
41400,Color [A=255, R=0, G=0, B=0]
41600,Color [A=255, R=255, G=255, B=255]
41640,Color [A=255, R=0, G=0, B=0]
42480,Color [A=255, R=255, G=255, B=255]
42520,Color [A=255, R=0, G=0, B=0]
43640,Color [A=255, R=255, G=255, B=255]
43680,Color [A=255, R=0, G=0, B=0]
44200,Color [A=255, R=255, G=255, B=255]
44240,Color [A=255, R=0, G=0, B=0]
44560,Color [A=255, R=255, G=255, B=255]
44600,Color [A=255, R=0, G=0, B=0]
45200,Color [A=255, R=255, G=255, B=255]
45240,Color [A=255, R=0, G=0, B=0]
46080,Color [A=255, R=255, G=255, B=255]
46120,Color [A=255, R=0, G=0, B=0]
46400,Color [A=255, R=255, G=255, B=255]
46440,Color [A=255, R=0, G=0, B=0]
46680,Color [A=255, R=255, G=255, B=255]
46720,Color [A=255, R=0, G=0, B=0]
47600,Color [A=255, R=255, G=255, B=255]
47640,Color [A=255, R=0, G=0, B=0]
